Source: CPS Annual Social and Economic (March) Supplement 201603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,305757689,4704815,519808,6279085,2868411,36858947,5193306,3476599,941510,657383,19535974,9823527,886484,1622709,12512267,6382380,3040975,2704860,4267386,4458210,1296523,5618854,6627755,9561561,5244151,2889184,5812939,957700,1791649,2591027,1259070,8752116,1675718,19077076,9486876,703033,11114127,3255742,3809525,12199183,1014373,4709134,745351,6456955,26531319,2888627,597814,7977705,6593423,1752685,5480783,551075
 -> Total -> Total Male,149749946,2284625,266747,3052267,1409546,18299874,2607543,1696908,463933,314920,9398137,4724928,433311,814454,6136170,3108257,1504066,1349582,2105408,2160704,642754,2694689,3223689,4708185,2595332,1386410,2824238,477934,876858,1257863,613244,4281281,819790,9302309,4570520,368858,5416740,1618901,1877741,5916868,496017,2245469,380667,3162737,13028694,1451956,289388,3878742,3327661,858107,2746472,278452
 -> Total -> Total Male -> Total Hispanic,26626340,92206,15504,1142069,89726,6864398,558233,250328,46108,31520,2443123,459435,25106,112262,996689,247018,119054,178650,76244,109475,12070,319861,311764,244166,138172,26959,145475,13102,97066,334964,15860,814021,406468,1603297,521972,9978,223493,202759,305513,446545,78228,124559,13804,203257,4842410,199216,4002,413812,408901,11198,250468,25832
 -> Total -> Total Male -> Total Hispanic -> Total White Only,25248083,89883,15183,1119081,86118,6628899,545693,200535,43034,27719,2319219,433353,14971,110597,956438,241264,113864,166016,57364,103463,8419,277558,287422,242778,134735,26112,139882,12911,95657,326461,15154,755815,400974,1280807,492865,9555,191877,194766,303927,370219,73152,105766,13025,200070,4766506,199216,4002,386285,380855,9639,243496,25483
Children,6720156,33072,2810,306355,17652,1675919,169684,62668,13196,6471,505935,141489,2010,37911,279027,74574,38663,46699,18490,27914,1299,73006,86150,58394,36309,7319,48842,3631,33164,85721,3996,173572,99519,291168,164311,4820,73449,65842,81008,114881,19102,27084,2815,47359,1294779,57458,1205,101264,117527,2265,75161,7197
Less Than 1st Grade,161296,0,0,3541,1023,66410,0,0,0,306,6279,0,0,757,1579,3177,0,0,1853,0,0,7796,2781,0,0,0,1677,0,1615,0,0,0,2156,1338,5675,151,0,752,8077,1506,883,3350,496,3692,31361,0,0,0,1384,394,1287,0
"1st,2nd,3rd,or 4th grade",578466,926,558,20371,2167,185301,6631,0,608,1466,21131,3305,0,3940,11556,3174,1158,8442,0,1755,0,10042,12683,1720,1525,1960,3354,0,2397,4138,0,18843,6088,26501,7463,0,5235,10913,10002,1573,2438,1028,365,8631,139099,702,0,6319,15289,326,7343,0
5th Or 6th Grade,1213800,4419,169,38014,4136,407049,12286,4771,2134,1938,84354,27251,0,5666,66923,17974,10789,6050,2981,2159,0,3163,9050,10862,6170,1121,4836,393,2007,20943,778,36331,14183,34835,26782,338,6659,6638,22006,18744,5184,4644,0,17812,208499,7450,0,11359,24080,0,9282,588
7th and 8th grade,1026184,3366,193,36800,7105,224463,10904,4833,2253,971,53871,19071,295,5186,41814,16334,5894,9219,1416,4262,0,14138,6879,6245,9857,549,3299,474,4316,8471,352,39982,11547,80914,38717,0,7041,4835,10410,12236,2957,4103,0,21355,233932,4466,0,10533,19131,0,20249,946
9th Grade,1147775,1091,806,53938,6298,258810,24250,8090,1235,879,82043,33787,303,5929,30669,11776,4274,7065,5666,4452,0,14559,9868,13051,14781,534,8381,143,5473,10741,828,29642,18850,60155,41327,0,8870,6452,8910,22120,5028,3147,1698,10227,258572,8553,800,19854,11491,581,10372,1406
10th Grade,877465,4301,469,55027,4147,228486,18763,6270,1618,303,60466,13411,0,4022,39762,2471,1088,9319,1310,3920,0,6978,10698,3907,4203,334,4486,236,4539,13830,770,16398,15382,44538,18066,196,1807,8843,12468,12924,600,2464,243,2671,190560,8713,410,13520,11410,0,10479,639
11th Grade,1068824,3765,647,60993,4142,307265,30247,9254,2221,142,77082,25964,324,5099,46586,4315,7679,9341,0,4577,1693,3220,13034,10564,5720,898,3077,837,6262,7076,422,29690,16976,59028,9915,825,3454,6896,14935,27057,3907,3398,532,4068,179245,11535,479,14355,24634,0,4600,849
12th Grade No Diploma,661231,4522,319,36576,1533,222506,17668,4151,1777,542,51645,22658,756,2491,10721,4408,0,7938,2791,1802,0,4221,1688,4068,4294,367,2030,199,969,3950,0,14566,8551,37429,5233,0,2620,5143,10690,8634,3078,3319,0,5641,111655,3981,0,13396,10439,0,0,266
High school graduate-high school diploma,5725124,16948,3503,272410,18037,1547226,127468,68031,12854,4257,584669,74067,4749,24093,202796,56708,26634,27536,9790,29536,2616,59164,77369,67478,30733,4497,37282,2747,15701,96942,3206,203643,102055,304973,85204,1949,38910,50979,54578,83777,14839,25584,3106,45557,940104,48450,0,75647,81149,4063,45162,6348
Some College But No Degree,2716846,6661,3026,118568,11105,788768,55487,9424,1557,1588,240348,27707,1958,7168,93783,23812,6972,17235,1637,13526,1734,17098,26867,45869,4478,4221,14104,3532,12022,43657,597,93666,49637,110838,31901,378,27055,13078,38894,28054,7014,15250,1411,6815,549504,27035,688,56045,19077,722,31811,3464
Assc degree-occupation/vocation,472178,1902,362,15825,1907,96915,6595,4123,505,0,60558,8320,1440,1283,14210,7060,2037,2471,4868,4962,0,0,0,3327,3128,932,0,0,597,4586,303,11464,6116,24068,9314,203,3299,2396,4669,14377,1185,1026,861,5239,97421,6247,0,12252,7156,0,15928,741
Assc degree-academic program,612543,4570,620,21134,1132,141263,12178,5280,543,141,126588,0,363,3541,30489,3049,1206,3542,0,1096,0,0,6134,6853,2886,1735,3159,0,513,3898,905,19349,12758,41877,16395,0,0,0,5839,0,1370,0,0,3078,106967,1379,0,12826,5931,340,0,1616
"Bachelor's degree (BA,AB,BS)",1598846,3499,862,55821,3901,369587,27261,9413,1357,3510,259911,25132,2206,2987,70276,6601,3124,7238,4127,1316,603,47503,11583,6959,7770,1141,5355,191,5507,16054,2684,57060,25605,99586,20815,470,7706,7717,12971,15368,4629,3393,942,8325,303909,10231,420,21249,28009,302,5932,728
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",468794,841,627,9081,755,65808,24434,2995,1176,3722,74267,9568,302,0,7168,1501,3335,3070,1247,0,0,16670,9323,1871,1488,504,0,327,0,5656,313,9857,7326,38941,11747,225,2093,4282,6562,5815,420,5847,556,6889,99436,2304,0,12595,4148,354,3009,339
"Professional school degree (MD,DDS,DVM,L",106553,0,0,11201,1078,17622,0,0,0,445,18401,0,265,0,3330,0,0,0,0,819,0,0,987,1610,1393,0,0,201,575,798,0,1752,2361,15001,0,0,2136,0,0,1444,0,0,0,1385,19532,712,0,3213,0,292,0,0
"Doctorate degree (PHD,EDD)",92002,0,212,3426,0,25501,1837,1232,0,1038,11671,1623,0,524,5749,4330,1011,851,1188,1367,474,0,2328,0,0,0,0,0,0,0,0,0,1864,9617,0,0,1543,0,1908,1709,518,2129,0,1326,1931,0,0,1858,0,0,2881,356
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1131178,2323,321,19993,0,105004,12540,45533,3074,3590,113521,20923,758,0,35848,4185,5190,11619,18880,3891,2907,34973,20250,1388,3437,847,5593,191,1409,5718,0,51155,5494,314381,21965,423,25897,1596,1586,76326,5076,11591,779,3187,70974,0,0,23299,26152,1559,5483,349
Children,369228,0,0,4780,0,39872,2645,18182,434,1624,28741,15590,0,0,11084,2229,1349,3073,0,2101,0,10122,3112,0,1972,0,0,0,0,1783,0,24152,556,100515,4480,0,9520,1596,0,24463,1214,4642,440,3187,27225,0,0,12815,2318,0,3412,0
Less Than 1st Grade,6543,2323,0,0,0,0,0,0,0,0,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",23232,0,0,0,0,0,0,0,496,256,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12704,0,0,0,0,0,0,0,0,0,0,8160,0,0,0,0,0,0,0
5th Or 6th Grade,43314,0,0,0,0,3493,0,0,0,0,10773,0,0,0,0,0,1213,0,13291,0,0,0,0,0,0,0,0,0,0,0,0,3375,0,5986,0,0,0,0,0,0,505,0,0,0,2340,0,0,0,2338,0,0,0
7th and 8th grade,41723,0,0,4936,0,2370,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,13659,0,0,0,0,0,7878,793,2930,0,0,5619,0,0,0,0,257,0,0
9th Grade,28853,0,0,0,0,3301,0,2701,0,0,7683,0,0,0,0,0,0,1565,0,0,0,2998,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932,0,0,0,4789,0,0,0
10th Grade,32471,0,0,0,0,3700,0,0,0,0,3507,0,0,0,0,0,0,3361,0,1109,0,0,2189,0,0,0,0,0,0,0,0,0,0,10225,0,0,0,0,0,4427,0,0,339,0,0,0,0,0,3614,0,0,0
11th Grade,37152,0,0,0,0,0,0,2459,0,0,8906,0,0,0,0,0,0,3620,0,0,0,0,2266,0,0,0,0,0,0,0,0,0,541,12884,0,0,0,0,0,3713,0,0,0,0,0,0,0,2763,0,0,0,0
12th Grade No Diploma,34772,0,0,0,0,3016,0,0,0,0,0,0,0,0,2994,0,0,0,5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17443,0,0,0,0,0,0,0,0,0,0,3692,0,0,0,2038,0,0,0
High school graduate-high school diploma,207393,0,0,0,0,15679,4350,12493,951,1034,17544,5333,0,0,8525,1956,0,0,0,0,2907,12689,2072,0,0,0,3123,0,0,0,0,7647,2905,42469,6721,0,5901,0,1586,23031,449,4019,0,0,13407,0,0,2970,5212,0,2071,349
Some College But No Degree,159318,0,0,2835,0,14259,2822,7670,1193,0,24242,0,758,0,8185,0,1131,0,0,681,0,4535,5943,0,1465,847,0,191,1409,789,0,8400,1141,48352,3970,423,4566,0,0,3679,0,0,0,0,6047,0,0,2483,0,1302,0,0
Assc degree-occupation/vocation,14773,0,0,5935,0,7175,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,25296,0,0,1507,0,3099,0,0,0,0,5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9613,1619,0,0,0,0,0,1470,0,0,0,0,0,0,0,2083,0,0,0
"Bachelor's degree (BA,AB,BS)",72685,0,321,0,0,3181,2723,2028,0,0,4151,0,0,0,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7581,351,34060,5175,0,5910,0,0,0,0,0,0,0,0,0,0,0,3760,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",25369,0,0,0,0,5859,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,2470,0,0,1640,0,0,0,3949,0,0,0,0,0,5424,0,0,0,0,1552,0,0,2268,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
