Source: CPS Annual Social and Economic (March) Supplement 201603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctorate degree (PHD,EDD)",6233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,0,0,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,247079,0,0,2995,3608,130495,0,4260,0,211,10383,5159,9377,1665,4403,1569,0,1015,0,2121,744,7330,4092,0,0,0,0,0,0,2785,706,7051,0,8109,7142,0,5719,6397,0,0,0,7202,0,0,4930,0,0,4228,1894,0,1489,0
Children,67154,0,0,0,1126,33899,0,0,0,0,0,3026,2761,735,2841,0,0,0,0,1370,0,3009,0,0,0,0,0,0,0,668,0,2420,0,3260,0,0,5719,1883,0,0,0,1791,0,0,0,0,0,2646,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,7716,0,0,0,0,5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,7663,0,0,0,0,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0
9th Grade,2588,0,0,0,747,0,0,0,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,7510,0,0,0,0,7228,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,8631,0,0,0,0,2307,0,0,0,0,0,0,295,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198,0,0,0,0,0,0,2262,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,15709,0,0,0,850,9306,0,0,0,0,2128,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,38627,0,0,2995,885,20993,0,2183,0,0,2526,0,2924,0,1562,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,0,0,0,0,0,0,0,0,0,0,1894,0,0,0
Some College But No Degree,34853,0,0,0,0,19062,0,0,0,0,0,2133,615,369,0,0,0,0,0,0,744,4321,0,0,0,0,0,0,0,762,0,1998,0,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,2996,0,0,0,0,1951,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0
"Bachelor's degree (BA,AB,BS)",44857,0,0,0,0,27374,0,2077,0,211,3888,0,300,561,0,0,0,1015,0,0,0,0,2440,0,0,0,0,0,0,1355,706,0,0,0,0,0,0,0,0,0,0,0,0,0,4930,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",4052,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,123123606,2192419,251243,1910198,1319820,11435476,2049310,1446580,417825,283400,6955014,4265493,408205,702192,5139481,2861239,1385012,1170932,2029164,2051229,630684,2374828,2911925,4464019,2457160,1359451,2678763,464832,779792,922899,597384,3467260,413322,7699012,4048548,358880,5193247,1416142,1572228,5470323,417789,2120910,366863,2959480,8186284,1252740,285386,3464930,2918760,846909,2496004,252620
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96272302,1534436,214191,1682902,1076394,7608418,1852505,1238904,306380,123890,5247628,2606293,140213,683264,3961689,2529874,1302147,1059167,1835941,1311790,608381,1420634,2443077,3688710,2202356,804824,2314729,457344,716322,700730,570701,2440463,376561,5682878,2994125,341426,4405188,1249194,1468530,4638890,359845,1501320,356918,2371844,6042209,1207255,278967,2477311,2518165,815290,2255011,247078
Children,15850986,264485,33296,239067,213480,1113407,299143,169418,41600,12947,692390,446843,22934,134298,624148,482624,234215,208008,357542,231095,87954,226056,355036,597044,419357,144514,430235,80555,127817,94919,91923,415266,53119,888821,478950,58829,746090,204884,243460,712186,53730,258515,65290,428771,1069686,295166,43211,431038,391161,144129,345171,47163
Less Than 1st Grade,110622,7985,0,3323,0,5171,0,2211,0,0,0,0,428,0,7160,3557,0,2388,2468,0,1035,2756,6294,0,0,867,3230,0,685,0,0,0,738,31895,4563,381,2588,1977,2411,0,572,0,0,0,1650,961,0,5259,8069,0,0,0
"1st,2nd,3rd,or 4th grade",127076,1428,453,1029,1042,17161,0,0,0,0,7271,5661,278,0,4862,0,0,0,9532,4572,0,0,6167,1945,0,4966,3128,0,1344,0,0,2232,855,12315,2777,0,3522,0,0,7212,1442,2495,0,3407,12957,0,0,0,0,3711,3051,261
5th Or 6th Grade,232097,6536,441,4681,2322,21885,2185,1906,0,0,5655,5417,0,397,3258,2841,1044,0,5453,11651,0,5510,6559,0,3881,1053,8718,0,708,0,536,0,0,23706,10371,393,7802,5082,4679,8511,1995,15537,0,15018,11504,2826,364,11158,3595,4974,1945,0
7th and 8th grade,1508517,40120,1863,24757,23761,68138,13949,14834,5301,432,88071,36002,1532,11875,58927,50272,17287,15510,60144,30990,16145,21006,20249,47408,43231,23755,44186,8603,8068,10577,10255,17734,2782,53968,44536,7495,94298,16200,15290,75258,3634,38426,9240,47914,70364,10284,5964,50434,30693,27441,65737,3577
9th Grade,1729281,55248,3174,12414,28566,100001,22859,14732,4692,1073,94280,60592,895,11739,70917,50906,25078,17061,43208,30198,15574,28080,33155,75039,39946,28454,39816,5177,18873,6398,9468,28685,3274,85368,55425,3959,75833,25971,23055,113322,11929,36778,5111,45076,93550,18470,3833,48333,38003,30215,29754,5724
10th Grade,2346845,53815,2987,27065,38214,93759,32236,37495,6112,639,99452,81818,1215,12824,72176,87072,40647,30248,70588,51669,17299,18577,50527,82344,51452,23452,79775,10117,20630,12515,15467,83138,3913,145090,104828,3552,122648,32290,34417,113499,9980,39798,6944,65632,126195,30705,4263,37482,70262,32743,52431,4849
11th Grade,2356129,41106,5612,27135,33455,172980,36946,29756,6702,753,117878,84879,391,17940,115296,77876,32521,21607,58733,36764,16945,15343,45062,86253,45107,22898,62782,16612,20145,4097,12918,38342,7289,149613,69029,6080,133418,39235,31466,141797,4005,30277,5757,76434,101936,39538,8370,47304,71702,24151,57514,6380
12th Grade No Diploma,1039067,8911,1776,17039,11949,120889,14429,11326,3095,175,66237,68069,368,5042,26835,34407,5675,7860,15260,14452,1394,5701,27483,39471,8007,12544,14472,3751,8666,1753,5042,17840,4615,67299,27480,4985,33587,16927,20167,27571,3698,24343,2182,37947,70675,9023,4619,35220,31879,4179,30195,2558
High school graduate-high school diploma,22604184,418218,55972,325980,300168,1321213,358197,319985,95053,3001,1285424,562577,26739,136539,783250,733736,351057,212985,535344,329106,180441,309643,533398,991857,430835,211963,623425,104645,163101,184255,141891,577022,75131,1200567,723800,79782,1324207,362921,336145,1360073,90070,323780,91967,640282,1136039,226643,73490,464593,551860,290073,580693,65048
Some College But No Degree,14540025,216185,36700,371907,168942,1457779,241355,156445,40712,4311,888153,435280,28444,149040,641232,360487,196477,184450,224350,208729,87583,174957,264961,652556,260850,131426,290040,79051,103606,139026,71432,275261,75242,716228,436020,57040,640490,217230,268972,474040,48395,245322,48444,311743,989267,193312,33101,350556,369940,85839,398150,38967
Assc degree-occupation/vocation,3469050,52938,3184,70680,29529,205719,74643,29578,6665,285,181762,62897,4009,32977,120002,93055,80318,47475,61897,49828,20307,46348,46246,153694,199947,35818,82939,22700,31342,15343,18464,49395,12535,150756,121711,23136,100751,38111,44789,198072,12753,63899,27276,86144,200093,38775,9307,70545,104506,20888,201119,13900
Assc degree-academic program,3935745,65919,8178,65958,33083,380140,86787,49720,19881,1184,341589,67678,2024,22887,150827,75979,49082,37081,44415,25890,29584,42277,86286,161064,91831,31379,73698,14099,33572,44559,21963,89848,20665,299644,127813,18598,173190,44092,59847,170048,16704,48185,14974,82778,266694,49503,11920,71655,107525,23317,67251,12880
"Bachelor's degree (BA,AB,BS)",16701145,180925,42454,322861,132487,1554061,467422,255761,43963,43993,883621,446652,29142,97559,823664,267758,204133,175442,212933,183321,82031,326854,594026,471900,401458,93531,381088,75809,117483,135232,101866,518011,59444,1105869,459135,57409,581477,164095,236060,804157,59850,248094,54970,333123,1264169,175138,55001,477961,475339,83146,312431,26836
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6499499,74437,12320,116685,29640,642209,125525,107263,22063,33205,343982,153777,10494,33119,311105,147641,41980,64170,92275,56324,39249,121560,238447,222403,157639,28776,125936,22355,47801,30531,50421,203137,32995,468501,227707,12591,249844,51179,94332,291646,32294,80974,13952,143600,420834,85328,16874,258914,195484,26383,78225,11373
"Professional school degree (MD,DDS,DVM,L",1492259,18559,3029,14672,10382,157164,37414,22657,5759,12008,77179,50808,3441,4451,75130,27556,1124,14986,14606,20983,8609,31567,51557,37375,16117,3676,20474,5624,5220,12083,7082,69921,9830,168592,45370,2560,51032,9077,24235,54223,5107,21109,3175,18231,98664,15902,4144,65112,31739,6368,13420,3156
"Doctorate degree (PHD,EDD)",1729775,27621,2752,37649,19374,176742,39415,15817,4782,9884,74684,37343,7879,12577,72900,34107,21509,19896,27193,26218,4231,44399,77624,68357,32698,5752,30787,8246,7261,9442,11973,54631,14134,114646,54610,4636,64411,19923,29205,87275,3687,23788,7636,35744,107932,15681,4506,51747,36408,7733,17924,4406
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18410130,613058,13048,133848,216008,1106324,112051,141091,94987,143853,1483419,1437991,21274,6819,772952,272816,51010,66855,149574,687984,9366,799478,244327,630192,172547,520067,316551,3593,44817,116713,9170,546281,24973,1269496,942511,11657,662700,137827,38802,636802,38258,582237,7395,509184,1504552,20823,3356,759279,125992,28349,163696,4177
Children,4286922,143357,2585,27597,54184,212888,23449,24045,23824,27619,356201,352181,4651,4052,201238,82553,21497,13805,17626,174135,2184,175200,62172,159664,38104,131124,82279,361,12842,38030,2501,118451,4483,249671,229101,2574,162314,36543,11732,135960,7151,142084,737,114789,380993,10368,1094,145307,16164,4906,39438,1114
Less Than 1st Grade,28441,0,0,0,1551,2094,0,0,1230,989,0,6413,0,0,0,0,0,0,0,1433,0,0,0,0,2196,1144,0,0,0,0,511,0,0,1598,0,253,0,4159,0,2126,0,0,0,0,2549,0,195,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",64157,0,0,0,2144,2013,0,2045,364,0,10045,6228,0,0,0,0,0,0,1841,3877,0,4817,0,0,0,2585,0,0,0,0,0,0,0,9217,2288,0,0,0,0,3734,1736,2360,0,1454,2102,0,0,3984,0,1323,0,0
5th Or 6th Grade,97961,2018,0,2046,0,3534,0,0,1233,1152,9392,12522,0,0,2249,0,0,0,0,5233,0,2418,0,0,0,4081,0,0,0,0,0,2433,0,10510,4411,0,7189,0,0,1971,0,9019,0,3020,8663,0,0,1763,2433,671,0,0
7th and 8th grade,336132,6197,0,1734,2561,13549,0,7770,0,4028,24659,20473,0,0,0,1970,0,0,0,26628,0,22597,5435,17618,6282,6915,2001,0,643,0,0,5966,0,15274,31056,349,19485,2787,0,20323,0,11131,0,10621,16367,0,0,22730,3547,453,4720,263
9th Grade,405648,14826,384,3889,7093,18656,0,3876,1242,1854,55962,34128,0,0,6680,3829,2065,4532,1792,19497,0,10993,3518,11312,3324,19729,5794,0,2107,4760,456,5932,0,12102,34055,555,15189,2702,2570,10478,0,20694,461,9196,23584,0,342,20819,4016,366,0,289
10th Grade,625868,32824,0,2372,13505,9417,4055,10118,2530,3696,25342,72108,830,0,20129,5000,3429,2122,17393,33819,0,18434,1370,15440,12797,23344,6940,0,1128,5469,426,9850,0,38368,44560,0,14813,2697,991,23835,966,24151,289,33342,50102,1256,443,33946,1590,632,0,0
11th Grade,832398,31539,0,0,13535,27951,0,6290,5946,6140,88261,69782,460,0,16209,9039,0,3080,2232,40609,0,27974,8411,35659,2717,37863,22794,0,2308,1377,0,29005,2366,43571,26990,0,46998,1442,1957,27751,1360,35167,352,26885,66313,0,0,41158,6300,287,13504,816
