Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
High school graduate-high school diploma,6327316,22244,3396,264887,24786,1565600,104103,69287,7289,1739,655254,108149,1424,40193,272283,114319,17886,30230,14478,24239,0,62333,85527,58657,26373,4227,38446,4027,27072,75780,2436,180094,119206,283616,112516,2204,42752,65149,41038,86363,19831,36062,3200,58291,1237132,74321,0,89453,84951,1619,57161,5693
Some College But No Degree,2969075,3441,1863,126848,12227,878755,47140,28438,2218,1457,286878,44765,3641,10793,119459,41367,12355,14645,9048,9117,0,22827,40826,27415,11848,4415,13924,2882,13088,49145,1821,50325,63292,170647,33373,848,10171,15625,20734,28991,5294,5055,1204,14731,590315,15778,885,44190,34699,1376,14508,4388
Assc degree-occupation/vocation,525682,645,0,34819,1697,105465,17625,5526,0,554,85541,7678,328,3091,32548,3183,3009,2307,0,2777,2011,0,4877,0,1467,1269,6138,656,392,2883,343,12992,13902,12327,3520,185,2086,1008,4732,5731,0,2003,276,1112,115770,1560,133,1996,12694,330,6035,461
Assc degree-academic program,667182,2421,508,23672,2281,168707,27209,2275,1733,129,117000,5755,1080,3289,11096,1917,2184,4736,0,2668,1470,3382,7577,9123,0,570,0,0,1155,7170,1204,9177,11451,27826,13639,0,0,4488,6319,17825,2306,1310,0,0,138692,2258,180,4179,12224,0,4997,0
"Bachelor's degree (BA,AB,BS)",1959489,10381,1880,76362,2752,439738,31078,17581,2670,4475,354218,36765,4778,4101,93889,17808,5080,9079,14706,7524,1614,23687,20619,9540,6847,1145,14793,1622,3674,20390,2563,83931,25879,114445,38970,0,10287,4981,11570,18590,4944,1563,3730,16426,311411,16615,653,25377,23051,2556,1809,1342
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",540240,6431,449,11969,690,101107,5223,7305,425,3584,108097,19311,0,418,18817,9188,2858,1435,3360,1415,1573,6415,12885,3218,1324,1009,1734,408,0,5790,0,19131,11469,51371,3004,0,1551,1969,3076,0,0,2200,0,1107,81913,3609,843,14864,7017,331,0,347
"Professional school degree (MD,DDS,DVM,L",102263,0,0,2805,540,19266,0,0,0,515,24776,0,0,0,1842,3776,944,2130,0,855,0,0,1219,0,0,0,0,0,0,2549,0,1449,871,9901,1535,0,1460,785,0,2061,0,1260,0,0,21724,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",99699,1134,0,1549,0,28301,3222,0,0,1414,19941,3586,0,409,0,0,3199,1152,0,640,0,0,3563,1967,0,0,0,0,0,797,537,3436,2739,7850,1620,0,1571,0,0,2259,0,0,0,1625,4781,720,140,0,1547,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1484402,11200,1389,13935,4962,160756,26495,30358,7593,7476,144282,65819,1439,1593,24627,5930,2193,0,1907,15187,0,92516,28533,0,0,2538,4219,394,3039,8109,1636,88162,9479,451559,14103,300,23878,1177,3604,29971,17416,16712,1162,24247,107689,2813,181,18671,3583,1570,0,0
Children,414441,7124,0,4400,4218,42645,14651,14735,1895,1668,26292,17680,0,765,5117,1633,0,0,0,6364,0,15720,13742,0,0,1098,0,394,1712,3645,0,24591,7341,97796,4633,300,4192,0,0,15100,4773,5141,903,13913,40880,1521,0,7509,0,350,0,0
Less Than 1st Grade,345,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",21251,0,0,0,0,0,0,0,0,0,4934,0,0,0,0,0,0,0,0,0,0,5087,0,0,0,0,0,0,0,0,0,0,0,7506,0,0,0,0,0,0,1045,0,0,0,2679,0,0,0,0,0,0,0
