Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
11th Grade,2343580,51721,2143,24969,37201,114794,47960,34443,11188,1365,125311,51503,2693,14302,114213,58987,23959,28997,63059,29020,17144,36310,51503,128822,59177,28406,86381,7275,18316,14714,15859,66295,5352,113181,56251,7268,137580,37532,32663,133910,10194,34395,5418,53135,108690,34815,4502,41028,63752,29727,60349,5808
12th Grade No Diploma,925482,15282,1575,18637,13708,83051,19717,10149,4858,0,62484,24295,605,2588,25020,18955,5641,8840,13108,18767,5233,3508,9103,46009,27216,20537,24919,6217,7736,4683,4633,11711,5085,53531,38680,2197,58338,15460,15157,26147,3886,24070,4225,22524,62766,16506,4437,14553,14674,7952,14558,1951
High school graduate-high school diploma,22041861,394728,52442,362197,281097,1227804,340268,237174,79687,3913,1366886,660432,29665,165503,742451,690318,357316,215846,598765,325798,172116,339757,534131,926570,491997,186480,555007,118517,152573,196387,158138,501491,83037,1133185,743805,76768,1198713,315329,349755,1248681,88117,363540,75415,623242,1094664,206231,71188,442560,493590,283383,615030,70174
Some College But No Degree,13925135,250016,44866,387088,141552,1175149,317723,117460,32386,5015,730493,322273,23448,130276,630057,339848,145172,168802,253037,176483,81191,187970,293001,574531,260927,121271,312981,75181,108806,186979,78494,325614,72820,600163,446804,44248,600817,195295,251390,455270,38442,209980,41277,333811,1071749,225896,28720,324401,420163,100350,425942,39507
Assc degree-occupation/vocation,3431769,60984,7086,63835,35152,219780,83418,31649,7898,729,164989,72364,4103,27221,159698,78926,89713,48819,68772,58582,30120,21839,41207,131233,202792,41075,89013,22069,40978,30784,17174,51713,21917,98919,116259,26492,140972,34534,50435,149763,7347,66638,28063,71725,184996,42702,8964,47639,119816,19920,176575,14378
Assc degree-academic program,4047819,59086,9658,75043,34338,353331,81646,26913,16349,0,356767,107170,6998,32897,135567,79073,79153,49218,37295,44848,21807,27348,75733,148722,117470,47881,56836,13685,25856,37652,29306,65956,26828,292828,130681,12314,174653,47957,77457,222897,17796,81256,12389,119888,183288,56603,11262,84689,142518,19766,68043,11104
"Bachelor's degree (BA,AB,BS)",18259050,247813,34077,469500,137888,1828762,447136,207034,49984,42366,1175046,411317,36967,107823,681585,352834,219603,181071,198900,192143,81402,344659,572508,616326,496077,103417,431833,77021,125303,114617,127223,640314,66133,1160333,553427,57261,681422,157069,307687,851510,81674,298419,58853,385486,1125062,195582,52375,531817,472261,79348,362970,27812
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6972486,66241,13214,178994,36864,652710,217520,107547,23783,33822,412315,151867,20253,31154,340730,140767,60662,64440,84841,70577,29440,155875,255607,242950,157446,36979,143611,25053,45284,51507,44749,208615,36113,531184,202539,9410,222595,72840,101761,341663,23848,97202,14917,111475,414424,74248,23778,270274,197656,18156,91224,11762
"Professional school degree (MD,DDS,DVM,L",1476938,24292,1446,21713,13019,163705,42547,29371,5661,16446,64385,48159,3873,6109,73210,20816,4192,10451,10557,10485,4694,45676,48254,35399,18771,8551,24506,4124,7493,9726,2168,41007,5115,126416,73877,3328,58990,9956,23919,60786,4924,24375,4055,32173,109520,14931,6405,45489,25717,3777,20549,1830
"Doctorate degree (PHD,EDD)",1918638,19707,5731,40866,17762,226428,44821,26213,2776,7389,96877,52561,4105,10765,51550,29853,2802,25276,13640,19566,8109,65782,78434,62023,21292,3638,38567,6059,7995,11805,12658,57851,15301,135585,62478,3223,89278,18985,48703,71439,5466,36280,4781,46941,132284,15292,8479,61825,53111,8429,25551,2306
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18627611,579623,12605,160908,188858,1024123,71469,157849,104150,140839,1480428,1540304,15830,3331,797668,296073,63465,80989,178489,649714,10904,747505,274105,639263,195493,504873,311012,3826,42748,128404,6827,547182,19380,1144718,1015328,14301,645472,136453,45730,665772,21204,603868,7403,523023,1645771,20470,4780,799819,158881,28653,163954,3774
Children,4246806,131894,1612,40069,49357,205472,8808,30763,20619,29499,377424,355222,1307,553,189028,59345,9796,24830,46012,166691,5334,153392,42695,142768,59638,122881,81607,0,12137,44104,2590,104794,3532,222156,233570,3951,175777,31135,8480,154555,6994,138172,3327,100714,371003,0,826,162768,29224,8393,69671,2317
Less Than 1st Grade,51617,1172,0,0,0,2162,0,0,0,786,13463,0,0,0,0,0,0,0,1758,2821,0,0,0,0,9685,0,3418,0,0,0,0,0,0,0,0,0,0,5415,0,6063,0,0,0,4874,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",42266,3816,0,0,771,0,0,0,0,0,3137,7637,0,0,0,0,0,1252,2040,2659,353,0,0,0,0,2007,0,0,0,1616,0,0,0,5657,4032,0,0,2548,0,0,0,1182,0,1220,0,0,0,2339,0,0,0,0
5th Or 6th Grade,53872,3227,0,0,885,2495,0,0,0,200,0,1426,0,0,3227,0,0,1072,0,1847,0,0,4616,6665,0,3762,0,0,1429,2040,0,1621,0,2130,4106,0,0,0,0,1983,0,5794,0,0,1442,0,0,1805,0,0,2100,0
7th and 8th grade,297069,3261,0,2935,3247,10615,0,0,354,1891,29865,10787,0,0,10653,7353,4162,0,1097,21782,0,10325,7268,10142,8807,13903,5086,0,1611,970,0,9133,0,20975,9582,186,11360,1334,0,18228,0,5786,244,22353,20327,0,0,5637,5451,359,0,0
9th Grade,363931,13568,275,0,6991,0,0,1678,2646,2250,22541,27272,0,0,2845,1867,2252,0,6052,9677,0,17080,19459,17868,2238,14954,11228,0,1981,3890,469,6181,0,26031,36821,643,10338,2953,2445,10707,1350,10968,247,5544,41080,0,530,10196,2381,803,5632,0
10th Grade,660116,26058,339,9239,6922,21931,0,0,2463,5743,54727,59525,0,0,19496,25378,1936,4349,12697,37448,0,12739,14269,40610,7336,20868,11625,0,2464,972,409,19211,0,37220,25564,161,12562,5056,0,40795,0,22854,884,15199,29430,0,0,44855,6464,318,0,0
11th Grade,737501,33615,757,10554,7893,19517,0,4676,2956,6575,49652,49800,0,0,29232,18816,4689,4361,4127,43192,1019,43271,10541,27847,0,32923,17894,189,0,7230,0,16021,1273,33353,54776,0,13487,4099,0,26643,0,24372,332,18654,70727,1796,192,29765,0,2926,7759,0
12th Grade No Diploma,380415,18779,0,0,3083,20833,5885,3608,1807,3003,37037,24353,0,0,9084,4403,1324,2130,2259,20228,0,2411,7921,9991,3962,11980,6189,0,1716,5546,0,11562,0,28247,41385,983,6882,3926,2091,6930,843,16718,0,4284,19420,0,0,25740,3872,0,0,0
High school graduate-high school diploma,4970298,194443,3585,30311,54843,220814,19486,68296,33102,39149,332844,458345,2173,1737,189185,79881,21220,19263,45616,175862,700,171205,88577,190066,47207,142514,81444,1959,10050,25079,645,154462,3469,309920,251863,3283,160974,35617,5749,195690,4440,217629,333,174163,399473,4207,1419,220844,34744,6012,36011,395
Some College But No Degree,2692769,69594,3804,26825,26628,203234,10755,22563,14316,15774,144614,173717,6488,479,114966,41410,12391,7624,20820,94244,1726,128015,35247,71227,33872,73997,38856,1400,4922,19895,737,81623,5976,169072,178276,2283,110261,26154,7574,80736,1924,78993,978,72297,311237,6604,645,95558,24869,3771,13220,578
Assc degree-occupation/vocation,529334,14973,0,1558,4991,47388,0,6424,1311,670,48053,49062,963,0,21299,11664,0,1742,1486,15977,0,11520,3184,16975,12742,16459,11415,0,869,956,0,9970,604,25644,16532,409,17019,6718,0,20678,1126,15618,0,24462,54761,1417,0,24033,5354,862,2446,0
Assc degree-academic program,669605,18422,331,4366,4203,33537,6246,4178,4449,1105,78444,63586,3418,0,29763,13107,1057,2114,9619,7589,851,20284,4891,17369,0,13637,5907,0,1479,2584,0,22682,1663,62426,27721,484,39085,1473,4837,29034,1610,16724,226,12845,60747,0,338,24014,7503,1341,2316,0
"Bachelor's degree (BA,AB,BS)",2045538,31739,1659,22792,15015,163821,12031,13663,12777,18491,228676,177321,1481,562,127709,26189,3377,5591,17377,40503,921,116548,22927,64915,8270,22969,19036,278,2066,9942,1977,88195,1324,133464,93917,1219,51247,8807,7363,47225,1388,40342,558,28883,199243,3042,830,104821,21554,2181,19312,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",704316,10014,243,7757,2634,66989,8258,0,5881,11413,50762,70145,0,0,37481,6660,0,5919,7529,6299,0,49226,8375,17364,0,10616,13771,0,1395,2764,0,14228,1028,58726,30776,699,22655,1218,1658,16813,1529,6115,274,32928,51631,870,0,38954,17465,1056,3714,484
"Professional school degree (MD,DDS,DVM,L",58779,1173,0,0,0,3547,0,2000,0,1625,2305,4747,0,0,2398,0,1261,742,0,0,0,6492,4135,0,0,802,0,0,629,0,0,3621,0,3851,2362,0,0,0,2364,6254,0,0,0,0,5228,1239,0,2004,0,0,0,0
"Doctorate degree (PHD,EDD)",123379,3875,0,4502,1395,1768,0,0,1469,2665,6884,7359,0,0,11302,0,0,0,0,2895,0,4997,0,5456,1736,601,3536,0,0,816,0,3878,511,5846,4045,0,13825,0,3169,3438,0,2601,0,4603,10022,1295,0,6486,0,631,1773,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,9236749,27289,26335,165858,20659,2724330,112959,83483,17854,11580,296461,273697,248457,12919,383980,66165,29018,22568,28408,34281,5519,182517,226274,221269,139699,6888,46570,2576,29359,92493,12670,437331,3796,960011,180057,4604,173540,37419,65021,221872,23827,38162,5180,52095,702659,19791,6258,308363,373950,9451,59115,2112
Children,1613081,6542,3488,37227,3389,432235,24385,6249,2815,1755,43106,50488,35272,5359,72380,22144,3373,2615,1899,8033,966,23924,29763,42787,31526,720,1682,609,5756,15377,2506,101251,650,169403,44175,1377,39989,8912,12424,28121,2483,8712,610,4925,145251,652,1512,54450,63664,619,5531,0
Less Than 1st Grade,41008,0,349,0,0,8100,3830,0,0,0,0,3046,0,0,0,0,0,0,0,1062,0,2471,0,0,4181,0,2658,0,0,0,0,1163,0,0,0,0,4491,3276,0,0,532,0,0,0,3217,0,208,2424,0,0,0,0
"1st,2nd,3rd,or 4th grade",43016,0,0,0,0,20656,0,0,0,170,2160,0,1237,0,0,4358,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,9380,0,0,0,0,0,2331,0,0,0,0,0,0,0,0,1737,0,0,0
5th Or 6th Grade,74222,0,282,0,0,30059,0,0,0,0,2445,3948,1791,0,2356,0,0,0,0,872,0,0,0,0,0,0,0,0,0,1010,0,2247,0,18531,0,231,0,0,0,2360,531,0,0,1513,1965,0,0,2294,1787,0,0,0
7th and 8th grade,133004,1991,311,2798,0,29788,0,0,0,0,2072,5557,2834,0,0,1908,1151,0,0,0,914,0,6469,2170,1986,0,2596,0,0,0,0,6764,0,28291,9083,0,2933,0,1343,3746,0,0,634,0,5709,0,0,1723,10093,0,0,140
9th Grade,133037,0,833,4878,567,42095,0,0,324,0,1905,6216,1495,731,1443,0,0,1486,0,1717,0,1831,3616,7626,0,0,1545,0,0,1012,0,4057,0,30598,0,0,2432,1185,0,0,0,0,0,1409,3844,0,269,1786,7749,388,0,0
10th Grade,169726,1998,876,3167,0,50934,1544,1885,0,196,5075,3490,3463,0,3175,0,0,0,0,571,0,1756,1420,1165,0,734,1827,0,0,1763,1025,12567,0,22377,0,213,11053,0,975,2746,0,1112,281,0,8553,0,0,10492,7380,0,5913,0
11th Grade,164900,0,1344,0,0,47637,1664,0,325,368,12120,8918,3502,0,5368,0,0,0,0,717,0,0,5061,1818,2477,736,3801,0,0,3219,0,13072,0,17162,1382,0,1812,762,2157,10114,396,1112,0,1038,3933,0,0,3589,6707,0,2424,165
12th Grade No Diploma,116604,1383,573,0,0,31238,0,1849,0,0,7603,8494,1903,0,1572,0,0,2282,0,0,0,0,0,0,4459,0,0,0,0,2970,0,1709,0,22479,2385,0,0,0,1057,2275,1046,0,0,979,11749,646,228,4197,3528,0,0,0
High school graduate-high school diploma,1198606,3523,6749,11342,3560,327253,3722,14401,3808,0,43847,60421,60093,944,25152,5311,2437,6202,5621,9770,0,27291,29090,16706,22595,2169,6150,570,2126,19310,2134,39630,540,150540,32967,436,23051,12517,6514,27488,2839,1867,687,2850,66422,0,448,13923,76832,1242,15038,478
Some College But No Degree,966467,1082,5588,14098,0,334136,9983,8766,0,960,35772,28594,41415,1496,26873,9463,3361,1753,7292,3074,1985,14325,11673,25477,18545,647,3142,237,4329,22255,891,42298,694,84356,6161,486,19805,1225,12456,14878,1465,1624,1701,4886,72972,2211,427,20392,35013,391,5647,167
Assc degree-occupation/vocation,162165,0,901,4103,749,69755,0,0,0,0,0,5111,14155,0,9049,0,0,0,0,0,0,0,1587,3482,0,0,0,304,0,1247,0,1950,0,23092,0,0,0,0,0,2432,1370,1447,0,1654,6189,950,210,4836,7367,0,0,225
Assc degree-academic program,278841,0,0,0,0,104772,0,2240,0,272,22840,2136,12899,0,20448,0,1134,0,2352,0,0,2215,3129,0,1685,0,1976,309,1467,4425,0,4179,0,31460,0,501,1759,1287,2875,7412,1944,1171,0,0,14372,939,0,4114,18544,0,3985,0
"Bachelor's degree (BA,AB,BS)",2257345,8204,4282,47968,5281,743295,43560,14846,5493,3008,88401,52832,48493,986,110632,10926,3344,3879,0,1524,0,39838,58940,50461,35334,617,13478,0,7713,10534,2893,115681,448,207488,19535,206,27493,7244,15142,56632,5334,6809,0,22484,181928,6795,1457,87558,69299,2423,6233,394
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1312899,2566,445,30950,6354,342004,18353,19207,3436,2586,19730,26933,14020,2195,59372,7902,12610,4351,9749,1137,588,51328,48424,51765,13011,1265,7715,547,5148,5651,846,70488,874,99274,44286,508,14524,0,7509,35432,4261,4543,930,2994,127739,2965,866,66182,51246,2358,5510,222
"Professional school degree (MD,DDS,DVM,L",162104,0,0,4681,0,23178,0,2653,427,958,2580,5058,3692,0,10994,1892,0,0,0,0,0,5522,8137,1602,0,0,0,0,1313,803,1365,5281,590,22168,9775,0,8808,0,0,6624,608,4381,0,1240,11994,1103,0,13699,0,813,0,165
"Doctorate degree (PHD,EDD)",409724,0,314,4646,759,87195,5918,11387,1226,1307,6805,2455,2193,1208,35166,2261,1608,0,1495,4817,1066,12016,18965,16210,3900,0,0,0,1507,2917,1010,14994,0,23412,10308,646,15390,1011,2569,19281,1018,5384,337,6123,36822,3530,633,16704,13004,1217,8834,156
 -> Total -> Total Female,158329577,2427258,253019,3331964,1482878,18817699,2724310,1742562,482253,354399,10581267,5237095,451046,856687,6198702,3246767,1525612,1360289,2203200,2274626,645286,2973646,3414825,4925189,2696315,1487274,2954451,492852,935644,1361315,662542,4480337,896081,9685867,5040987,335576,5752821,1636361,1962203,6315933,516878,2591759,386136,3344608,13908357,1496626,309357,4134409,3489758,873968,2804584,265999
 -> Total -> Total Female -> Total Hispanic,28155223,105194,17179,1162292,114733,7103349,584496,291316,41618,37866,2837215,532031,29980,117711,1082813,270219,102987,163719,91668,118062,10782,281951,374640,192473,119399,30654,144087,12407,122060,314701,21139,755193,482647,1666931,465785,8671,175827,222248,225939,471632,88869,143987,13695,224446,5482748,209946,4061,413944,493856,15095,136092,24870
 -> Total -> Total Female -> Total Hispanic -> Total White Only,26296052,98209,15380,1141831,109416,6804116,563712,245042,33990,26772,2671681,455650,16362,117279,1043789,252997,98715,156340,81818,102518,10358,180781,322778,189207,116250,25439,139484,12407,117835,299338,19913,681196,471924,1200370,444694,8185,164540,216990,215080,413270,71780,125433,10875,198490,5357888,203177,4061,386254,480395,13445,133728,24870
Children,6632926,36027,5600,258281,42730,1739098,133786,51839,10528,5386,506773,138104,4992,39188,277648,76434,31433,47717,32336,24801,3494,41334,80094,65417,42059,8180,38675,4102,41855,76168,6577,151730,118339,235511,140049,1821,45710,65337,68045,100719,14549,38834,2077,56072,1397387,66810,1091,76490,127544,4990,41397,7768
Less Than 1st Grade,145500,0,0,3401,1320,53400,0,0,0,0,10279,3945,0,531,3606,3652,0,777,2704,460,0,0,0,0,1940,711,0,0,438,942,0,3167,536,17196,0,0,0,0,4230,0,0,0,0,2481,21508,666,0,1538,6072,0,0,0
"1st,2nd,3rd,or 4th grade",489218,0,275,18977,1981,195453,9708,2016,313,570,24462,6080,0,3505,24194,4412,1021,875,0,0,0,5250,7040,2163,0,759,0,0,4469,2525,426,1461,6429,22851,13213,0,3735,761,5947,3701,1647,3046,0,1012,88067,687,0,13758,4544,0,1885,0
5th Or 6th Grade,1111552,1841,182,53149,3702,373855,12119,9724,3596,1434,87044,18502,0,6907,41579,2638,7562,7606,0,3714,0,3930,5142,6667,10828,1181,0,0,6582,11092,344,27528,13123,63421,27745,0,0,5090,12354,10412,2906,1891,0,4879,207727,5686,0,17596,29963,0,0,311
7th and 8th grade,838695,0,221,29334,2785,206722,25499,7593,379,979,51228,26763,290,3276,31250,10461,4014,7050,1403,1987,0,10739,9672,5053,0,0,5252,0,5854,9814,0,29058,12704,29991,18949,567,5700,7135,2644,28880,2255,4274,0,4680,184073,4055,0,10091,21579,476,12934,1032
9th Grade,1159432,7854,0,61287,2511,304278,25355,12863,396,928,57235,15575,0,4991,36275,10346,6681,8498,4830,1492,597,8255,8219,4064,1577,0,1416,0,6034,15016,0,24005,16354,48689,19182,0,17629,13798,5609,17751,2825,4378,1211,11794,302581,6873,0,27726,26364,659,4490,941
10th Grade,872874,3334,804,51424,1751,183536,29975,10588,1101,319,79242,8000,0,4154,27180,10473,4155,3276,11896,4636,874,11468,4831,5377,1774,0,5533,500,5042,6245,285,20238,16416,48622,12001,239,5613,13114,5646,10072,2681,2527,0,5126,202887,5930,0,16167,21024,380,5774,644
11th Grade,923550,6169,212,48557,5884,227001,17114,17315,346,257,43030,5710,0,6392,53846,12502,3198,7234,4707,3744,779,4634,11714,7798,5402,630,7633,0,5830,9105,509,15253,18050,35940,17781,0,5091,11319,4344,14437,8734,6798,269,3450,218840,6475,365,13987,21667,0,2264,1234
12th Grade No Diploma,556273,998,208,36047,1730,182256,13286,1207,738,463,41502,11409,0,3419,19928,3699,2182,1994,1500,2287,0,0,2753,3342,0,469,0,245,6021,9277,0,7182,9174,23734,10215,261,1795,3215,3887,11843,2411,4115,515,1520,106992,7957,0,6314,7866,0,0,317
High school graduate-high school diploma,5377222,20522,1914,239216,21571,1332210,114843,62215,3658,2042,581677,108417,3787,24440,220271,74069,13931,32987,2996,27992,578,26648,72142,19289,21515,4700,39934,2858,15046,51472,1979,200084,96269,259427,91432,1600,27446,45726,41537,79190,12788,18941,2085,56270,1060420,45400,642,77634,87865,1660,20245,5642
Some College But No Degree,3147555,6571,1019,167226,8661,934028,55376,23541,5905,1628,274704,35282,1889,9183,137562,16411,10622,18048,6207,8448,1235,24926,42480,10010,11084,2932,19628,2899,11838,54589,2506,82950,82200,135671,25699,2211,15380,17084,26070,37550,11322,11816,2009,30671,632752,27064,448,29135,51049,2668,14585,2783
Assc degree-occupation/vocation,708341,0,1375,37750,1435,146238,18949,1300,1084,135,94726,14876,372,2438,47097,3269,3213,7542,2939,3552,732,1890,4797,0,1945,0,3785,0,0,7785,0,6126,14371,26841,6982,0,3974,4865,5397,25145,377,3121,796,1088,170131,4417,0,7436,10143,0,7357,550
Assc degree-academic program,947573,0,0,41843,3271,213318,35160,6697,718,135,199620,14216,1600,909,24521,10040,1007,4042,0,2265,0,4244,9359,13186,0,3252,2933,268,2161,13794,1061,13962,19541,51150,9327,443,4466,8934,7470,17694,3951,0,239,3281,163663,2403,0,8284,12427,383,9098,1237
"Bachelor's degree (BA,AB,BS)",2374961,8093,2193,70737,7233,515476,55662,24067,4875,5492,433244,35500,2132,7204,58833,12640,5706,4791,7916,9945,1421,28659,32375,33729,13159,1865,14695,1345,4545,21811,4933,74658,30948,132429,37079,861,15318,11272,16787,45481,4330,14047,1674,9310,434620,13703,658,48879,38139,1620,11017,1855
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",806232,3131,1377,19947,475,169740,14825,10035,353,5083,125623,13271,1300,742,30187,1951,2960,3903,2384,6021,648,8804,24502,6819,4967,760,0,190,1198,8007,1293,19077,14020,62247,13481,182,10724,5080,4054,6075,1004,4528,0,6856,144702,3594,450,27764,10733,609,0,556
"Professional school degree (MD,DDS,DVM,L",91224,2829,0,1578,0,11202,0,1151,0,670,30217,0,0,0,5636,0,0,0,0,551,0,0,5404,3174,0,0,0,0,0,851,0,1790,2269,5010,1559,0,1959,1915,0,2061,0,0,0,0,10748,650,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",112924,840,0,3077,2376,16305,2055,2891,0,1251,31075,0,0,0,4176,0,1030,0,0,623,0,0,2254,3119,0,0,0,0,922,845,0,2927,1181,1640,0,0,0,2345,1059,2259,0,7117,0,0,10790,807,407,3455,3416,0,2682,0
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1577908,6985,565,18197,5317,167845,12668,31979,7628,10474,160371,73927,1597,0,31604,17222,4272,6219,4610,14757,424,101170,49904,3266,0,4060,4603,0,3364,12836,1226,73997,8544,436476,13927,486,11287,5258,0,53197,17089,18554,2381,25956,108769,5726,0,24663,11043,1101,2364,0
Children,417743,2798,0,5047,3317,35987,3291,13370,1616,3644,29624,19058,0,0,9195,9195,1041,0,4610,1574,424,25122,17617,0,0,2444,0,0,1326,4062,430,12151,1584,113861,2729,297,5362,0,0,16330,5886,5479,829,7421,37381,0,0,6495,7146,0,0,0
Less Than 1st Grade,8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0,0,2144,0,0,0,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,2426,0,0,0,0
"1st,2nd,3rd,or 4th grade",16017,0,0,0,0,2227,0,0,0,263,0,2753,0,0,0,0,0,0,0,0,0,5087,0,0,0,0,0,0,0,0,0,0,0,2834,0,0,0,1787,0,0,0,1066,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,18283,0,0,0,0,0,0,0,0,0,2233,0,0,0,0,0,0,0,0,0,0,5229,0,0,0,0,0,0,0,0,0,0,0,7548,0,0,0,0,0,0,594,0,0,0,2679,0,0,0,0,0,0,0
7th and 8th grade,51343,0,0,0,0,8614,0,0,0,0,2280,0,0,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,484,28464,0,0,0,0,0,0,1190,1887,747,0,6225,0,0,0,0,337,0,0
9th Grade,67023,0,0,2963,0,4217,0,0,717,340,4791,1925,0,0,0,0,0,0,0,1115,0,10211,3250,0,0,0,0,0,0,0,0,0,1496,33250,0,0,0,0,0,0,540,1949,259,0,0,0,0,0,0,0,0,0
10th Grade,60862,0,0,2928,628,8130,0,1996,0,0,4460,2650,0,0,5411,0,0,0,0,1002,0,2145,0,0,0,0,0,0,0,1997,0,3131,0,8296,2206,0,3158,0,0,0,1079,0,0,5462,5801,0,0,0,0,382,0,0
11th Grade,57575,0,0,0,0,5274,0,0,0,1212,4559,5213,881,0,0,0,0,0,0,0,0,4839,1615,0,0,0,2299,0,0,0,0,2625,0,20046,2206,0,2767,0,0,0,1665,0,0,2374,0,0,0,0,0,0,0,0
12th Grade No Diploma,35851,0,0,0,628,9778,0,0,0,845,2362,2921,0,0,0,0,0,2130,0,0,0,3406,1343,0,0,0,0,0,0,0,0,0,0,7393,0,0,0,1639,0,0,539,0,0,0,2867,0,0,0,0,0,0,0
High school graduate-high school diploma,291662,0,0,2197,0,32192,6628,7140,1903,1466,49775,15858,716,0,3094,2403,1038,4089,0,4888,0,5129,10435,0,0,0,0,0,1424,908,0,17701,2451,71414,4533,0,0,1832,0,11405,1922,2201,546,6897,14079,2819,0,0,2197,382,0,0
Some College But No Degree,216745,1327,262,0,744,16076,2749,4895,0,1096,26269,16660,0,0,13904,2683,0,0,0,3851,0,12859,3944,0,0,0,0,0,0,1004,0,15314,523,35955,0,0,0,0,0,19648,1333,1699,0,1841,17296,2907,0,10206,1700,0,0,0
Assc degree-occupation/vocation,33753,0,0,2197,0,0,0,2120,0,0,0,2238,0,0,0,0,1127,0,0,0,0,2337,3376,0,0,1616,0,0,0,912,0,0,0,12481,0,0,0,0,0,0,0,0,0,0,0,0,0,2985,0,0,2364,0
Assc degree-academic program,59136,1422,0,0,0,9588,0,0,0,354,7092,0,0,0,0,0,0,0,0,0,0,5254,0,0,0,0,0,0,614,0,0,2969,1009,17608,0,0,0,0,0,0,0,1272,0,1961,9993,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",149063,1438,303,0,0,26011,0,0,3392,321,19531,4651,0,0,0,2941,1066,0,0,1212,0,11843,4832,0,0,0,0,0,0,918,796,12732,997,34022,0,0,0,0,0,3012,1045,3001,0,0,12448,0,0,2551,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",82451,0,0,2865,0,9751,0,2458,0,683,7395,0,0,0,0,0,0,0,0,0,0,5250,0,3266,0,0,2304,0,0,891,0,5009,0,36039,2253,189,0,0,0,2802,1296,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",11682,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,2459,1855,0,0,0,0,0,0,0,0,2365,0,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,281263,0,1234,2264,0,131388,8116,14295,0,620,5163,2454,12021,432,7420,0,0,1160,5240,787,0,0,1958,0,3149,1155,0,0,861,2527,0,0,2179,30085,7164,0,0,0,10859,5165,0,0,439,0,16091,1043,0,3027,2418,549,0,0
Children,67858,0,0,0,0,35946,0,2155,0,0,0,0,3446,0,0,0,0,0,5240,787,0,0,0,0,0,0,0,0,861,0,0,0,0,11885,0,0,0,0,1842,2865,0,0,0,0,2831,0,0,0,0,0,0,0
Less Than 1st Grade,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
