Source: CPS Annual Social and Economic (March) Supplement 201503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,303490577,4674835,517121,6154964,2795305,36682084,5116333,3512826,903802,639809,19335104,9677961,845307,1549341,12596707,6317020,3037961,2721158,4245733,4438502,1250705,5689014,6464702,9573835,5145252,2918313,5801928,945060,1812167,2526207,1302326,8730196,1716771,19064355,9357594,691168,11185083,3225416,3722445,12184365,1016373,4682055,754938,6334081,25748844,2822339,604444,8033816,6547139,1776153,5551872,549748
 -> Total -> Total Male,148567559,2235185,264378,2998261,1361117,18166564,2588620,1724416,435795,302355,9322382,4657751,408944,758837,6199408,3070349,1510142,1349955,2066220,2141804,600192,2764180,3118184,4715727,2540375,1412540,2818776,471169,908139,1253599,643124,4279153,837364,9243160,4553005,353073,5491703,1544634,1845339,5940106,492209,2245315,389465,3075897,12629642,1402110,296179,3936178,3285515,875381,2766161,277482
 -> Total -> Total Male -> Total Hispanic,26189045,100529,24219,1162858,98493,7078058,506780,210728,45249,30706,2320120,465463,19695,108312,1016726,249215,89053,151417,105106,142293,6669,211245,302625,249761,148580,49322,100038,10396,102690,335568,19963,794856,393230,1612439,465721,11034,184566,171858,258514,370262,55503,135590,7961,190128,4859563,181366,5003,336689,452743,11083,205970,23089
 -> Total -> Total Male -> Total Hispanic -> Total White Only,24727866,98102,20212,1143248,98493,6765539,498280,157400,37935,24763,2212145,425580,13424,107759,946829,242450,82947,143193,95722,133206,6066,177200,276952,247311,144494,49322,100038,10396,99010,330941,19963,734543,388043,1247609,432590,9324,157887,169708,256953,326097,42659,125673,7961,187526,4777750,181366,5003,306718,434643,10856,193784,22253
Children,6674972,34818,5558,318909,28933,1698852,157500,41368,12064,4968,453583,138264,2584,37942,265190,87243,36208,45561,25498,36123,1763,59340,74990,71711,42139,7208,44395,3120,29515,85674,8492,180590,94990,300960,131998,2943,57249,54954,67604,118096,9691,30505,3045,59539,1352724,58439,1367,90564,127373,2261,65268,5299
Less Than 1st Grade,214222,737,0,13234,2463,48736,717,0,0,662,10462,2351,0,806,6420,2255,0,1070,1489,0,0,1673,4677,0,0,580,1403,0,1686,631,0,2504,353,23222,2766,474,3188,586,3423,4557,1638,2358,0,4856,52506,1242,0,2063,6434,0,0,0
"1st,2nd,3rd,or 4th grade",587491,3047,730,19345,3968,191911,15854,3089,1154,1791,33098,7862,271,6073,21194,2997,745,5763,1278,4755,0,4185,6445,0,0,646,1347,0,4084,2975,328,15747,7592,18487,11238,0,4237,9176,3616,5999,2994,7218,0,7850,129357,1286,0,8363,2767,0,6629,0
5th Or 6th Grade,1312279,5871,548,45852,5878,403141,23292,7022,2335,1841,87159,31573,346,7222,62415,14277,1581,5965,3957,8908,0,15154,7746,12534,21807,5787,3079,0,3512,14363,0,36494,8790,55152,32865,649,8308,16029,11523,3272,1771,9811,0,17424,274367,6914,0,6194,14946,0,3994,611
7th and 8th grade,939353,4054,691,36112,8596,262338,14502,4697,3346,337,63160,18098,0,3452,42840,12030,3012,6217,6616,5151,0,5228,12748,2891,2715,617,6752,370,3199,6780,344,34559,11951,51248,23306,312,2938,7985,14634,10371,1982,1271,436,1219,198313,4661,171,7093,22858,0,6435,717
9th Grade,1208117,2869,0,76844,6906,282834,34624,7788,1810,1660,79285,26770,0,10627,35583,5207,3139,10012,7218,8502,210,10150,17657,10036,7280,1345,0,196,5087,19969,618,25127,10778,42266,35559,0,0,9531,11584,12200,4333,7107,184,6883,311228,8252,0,10073,32335,1125,5037,289
10th Grade,904733,4319,455,57230,2564,229495,16516,3675,770,340,73376,13124,357,6733,43240,10980,1717,10774,1343,2357,0,4302,8295,16192,3361,1610,2863,1414,4218,6442,1216,31171,18573,40059,15506,195,4109,8434,15263,8862,777,8656,236,8629,155181,7212,181,14384,22929,301,14049,748
11th Grade,971581,2199,0,62368,2861,279037,19402,2123,2634,271,64552,17983,0,5239,40725,3388,2009,6765,2337,1195,0,7323,7775,7163,5202,0,1681,193,3779,14410,925,29800,16948,54308,18236,0,1353,5783,8527,13609,835,5110,0,5449,183862,9811,0,21119,25360,273,5781,1878
12th Grade No Diploma,675974,3906,0,34085,2522,247249,16271,2498,197,143,40613,18822,652,1935,15486,9533,0,1353,4549,3499,0,7616,1690,1599,3517,3301,3203,0,3040,16428,0,31669,8940,40254,7860,177,1619,6914,7545,0,483,5872,324,4983,77395,8521,0,10677,12084,0,6363,587
High school graduate-high school diploma,5387437,15948,7052,224317,19932,1530842,104473,46842,7179,3433,568253,79198,4153,15898,230629,60762,12411,24815,21768,29807,2601,27409,72378,56841,32999,5293,18552,2744,23861,87638,4695,149947,103343,268739,70100,3301,40207,29146,60354,71946,8434,35398,1868,40008,925367,44651,903,47303,77553,4579,56113,5454
Some College But No Degree,2741221,8670,3097,155873,10391,864389,41359,18830,1541,553,207431,32309,1454,3704,99990,16833,11188,13096,11931,17337,598,8098,24302,43265,11635,5284,7045,877,11668,40864,240,70131,55406,143064,31510,0,19916,13582,34337,37443,3501,3404,226,9353,529401,19059,146,35491,43805,683,13723,3188
Assc degree-occupation/vocation,459767,1771,626,17641,0,116554,7375,1153,290,411,64742,4471,822,1127,15212,8066,723,0,1460,4945,0,871,2717,6835,0,5791,1294,0,527,5029,294,13923,9933,20301,5035,0,0,784,4138,9047,0,4226,417,3450,101686,2094,0,5409,4913,0,2757,907
Assc degree-academic program,567858,3224,613,10086,1595,140328,10129,1864,479,126,115213,5989,740,1414,8376,1402,1493,2731,0,2704,0,818,6816,5320,3852,1403,4638,0,413,8429,301,27145,6773,44355,10741,211,0,1057,3706,1282,489,1030,483,4296,100331,3210,155,10220,7651,526,3279,422
