Source: CPS Annual Social and Economic (March) Supplement 201503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's degree (BA,AB,BS)",1508787,3074,842,62321,1884,368853,29199,12748,3666,3605,249616,17510,1449,5171,34666,5931,3900,5935,4091,5716,894,11979,14071,11137,7881,5354,3786,1482,3823,19294,1158,69295,24331,96432,21492,707,9713,4658,8164,17686,4797,3707,0,11355,272020,5154,1715,24464,28179,244,2245,1393
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",395498,3595,0,7514,0,72284,6249,3053,470,3209,68585,11256,0,416,13131,0,3764,2486,1077,1533,0,10515,11452,0,704,3320,0,0,598,1353,505,11373,7720,32378,7156,355,0,1089,2535,7263,0,0,742,2232,76419,860,0,13301,4118,595,0,293
"Professional school degree (MD,DDS,DVM,L",107755,0,0,0,0,19088,818,650,0,504,15967,0,260,0,5993,0,0,0,1110,674,0,0,0,0,1402,1783,0,0,0,662,0,5068,1622,16384,5810,0,3541,0,0,1486,547,0,0,0,21993,0,0,0,1338,0,907,148
"Doctorate degree (PHD,EDD)",70821,0,0,1517,0,9608,0,0,0,909,17050,0,336,0,5739,1546,1057,650,0,0,0,2539,3193,1787,0,0,0,0,0,0,847,0,0,0,1412,0,1509,0,0,2978,387,0,0,0,15600,0,365,0,0,269,1204,319
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1236837,2427,4007,16909,0,181851,8500,53328,7314,5791,101897,39883,0,0,69897,5384,6106,3982,0,9087,0,34045,19705,2450,4086,0,0,0,3213,2391,0,56848,5187,357529,33131,1710,18475,2150,0,44165,10488,8726,0,2602,60006,0,0,29971,10347,227,12186,836
Children,370149,0,2183,4262,0,61976,0,16823,3118,1453,32196,12649,0,0,21733,0,1349,1026,0,3952,0,16304,3993,0,0,0,0,0,2679,1593,0,17801,0,89593,2525,422,11303,0,0,18342,4491,2400,0,2602,23933,0,0,3782,0,0,5259,407
Less Than 1st Grade,1747,0,0,0,0,0,0,0,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",16218,0,0,0,0,2107,0,0,440,269,2696,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,4981,3399,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,16173,0,245,0,0,2791,0,0,0,390,0,0,0,0,2349,0,2663,0,0,1984,0,1453,0,0,0,0,0,0,0,0,0,0,0,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,47760,0,0,0,0,2672,0,4209,0,0,8686,0,0,0,0,0,0,1004,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,21833,0,0,0,0,0,4975,528,0,0,0,0,0,0,0,1630,227,0,0
9th Grade,40296,0,0,2796,0,4677,2494,982,0,345,0,0,0,0,0,0,0,1110,0,1155,0,0,0,0,0,0,0,0,0,0,0,2686,0,13733,2459,0,0,0,0,0,1050,0,0,0,5141,0,0,0,1668,0,0,0
10th Grade,75706,0,269,0,0,4878,1263,1106,351,0,18699,0,0,0,0,1903,0,0,0,0,0,0,1920,0,0,0,0,0,534,0,0,5829,0,36431,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,0,0,0,0
11th Grade,52989,0,0,0,0,6447,0,4974,0,314,0,6166,0,0,2987,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,12079,2602,0,1838,0,0,3244,1160,0,0,0,5366,0,0,0,0,0,3744,0
12th Grade No Diploma,28967,0,0,0,0,12457,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,2809,2120,0,0,0,0,0,0,0,0,0,0,9159,0,0,0,0,0,0,990,0,0,0,0,0,0,0,1081,0,0,0
High school graduate-high school diploma,273709,2427,463,2668,0,45999,3836,7481,2365,1517,18748,1564,0,0,14979,3481,689,0,0,0,0,2792,2545,2450,0,0,0,0,0,0,0,11076,2489,81445,14048,1288,0,2150,0,14734,1294,6326,0,0,11838,0,0,4717,5968,0,1903,429
Some College But No Degree,180337,0,376,5909,0,20499,907,9383,1040,224,4799,11831,0,0,25140,0,0,0,0,0,0,2371,4196,0,3105,0,0,0,0,798,0,14409,2035,43491,3397,0,5334,0,0,2870,434,0,0,0,1420,0,0,16369,0,0,0,0
Assc degree-occupation/vocation,16937,0,186,0,0,0,0,3561,0,261,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,7575,0,0,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0
Assc degree-academic program,28809,0,0,1274,0,3128,0,0,0,0,9601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0
"Bachelor's degree (BA,AB,BS)",59990,0,0,0,0,8404,0,4809,0,504,1409,2918,0,0,2709,0,0,842,0,0,0,5078,3146,0,0,0,0,0,0,0,0,5047,0,17843,4701,0,0,0,0,0,0,0,0,0,0,0,0,2580,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",21020,0,285,0,0,3712,0,0,0,163,2613,3008,0,0,0,0,0,0,0,0,0,3238,0,0,0,0,0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0,0,0,0,6459,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",6030,0,0,0,0,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3926,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,224342,0,0,2701,0,130668,0,0,0,152,6078,0,6271,553,0,1381,0,4242,9384,0,603,0,5968,0,0,0,0,0,467,2236,0,3465,0,7301,0,0,8204,0,1561,0,2356,1191,0,0,21807,0,0,0,7753,0,0,0
Children,65750,0,0,2701,0,32237,0,0,0,0,0,0,451,0,0,0,0,0,6603,0,0,0,2254,0,0,0,0,0,0,2236,0,3465,0,0,0,0,8204,0,0,0,0,0,0,0,7599,0,0,0,0,0,0,0
Less Than 1st Grade,2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2486,0,0,0,0,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,7166,0,0,0,0,2670,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,5136,0,0,0,0,2906,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0
10th Grade,5306,0,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,5557,0,0,0,0,4176,0,0,0,0,0,0,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,8522,0,0,0,0,0,0,0,0,0,1614,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,5782,0,0,0,0,0,0,0
High school graduate-high school diploma,47929,0,0,0,0,33857,0,0,0,0,2522,0,2794,0,0,0,0,0,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,0,0,0,0,0,2484,0,0,0,1930,0,0,0
Some College But No Degree,25846,0,0,0,0,18634,0,0,0,0,0,0,748,0,0,0,0,739,0,0,603,0,3714,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,2128,0,0,0,0,1575,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,3802,0,0,0,0,3445,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",35462,0,0,0,0,22636,0,0,0,152,0,0,815,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,1191,0,0,5942,0,0,0,3101,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",2537,0,0,0,0,2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",2654,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,122378514,2134656,240159,1835403,1262624,11088506,2081840,1513688,390546,271649,7002262,4192288,389249,650525,5182682,2821134,1421089,1198538,1961114,1999511,593523,2552935,2815559,4465966,2391795,1363218,2718738,460773,805449,918031,623161,3484297,444134,7630721,4087284,342039,5307137,1372776,1586825,5569844,436706,2109725,381504,2885769,7770079,1220744,291176,3599489,2832772,864298,2560191,254393
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96026020,1518217,206533,1589264,1024421,7516920,1916670,1261338,285823,120907,5316442,2607420,139113,633281,4060956,2462992,1341609,1060471,1775511,1289473,571295,1600742,2315248,3682141,2087017,839040,2361362,455130,737794,711537,595031,2569940,406523,5472432,2966903,328095,4556576,1213243,1447218,4796816,387637,1483561,367764,2328914,5717337,1162762,284196,2571312,2445757,828391,2359296,247649
Children,15958223,271311,40312,244179,195518,1140527,301551,198407,46463,14733,760906,480328,17051,131988,672535,451083,244087,199887,314197,224414,91472,263695,360459,587824,363120,155516,424351,77706,132470,98995,91851,424866,59811,855802,503917,59717,764173,201158,236959,733766,57857,269303,70188,390037,1018407,298916,44483,436594,371810,137009,377291,49223
Less Than 1st Grade,123577,7945,0,3690,2429,3503,1775,0,0,0,3079,0,281,1220,5693,0,0,1342,0,1349,0,4430,0,0,0,493,2083,552,1208,1927,873,0,379,34116,16862,461,6620,0,5237,0,0,0,0,2883,2019,1327,0,1491,4663,2076,1571,0
"1st,2nd,3rd,or 4th grade",173544,1384,0,0,3004,20220,0,733,0,139,27523,3164,0,1180,8945,0,0,730,5029,6417,0,0,3024,8765,0,4118,6413,0,0,0,0,9864,745,4085,12010,565,9693,0,0,13205,3239,3879,0,4208,5912,0,0,3172,0,2179,0,0
5th Or 6th Grade,248777,10394,0,1943,915,22643,0,6070,847,0,3467,3252,258,1308,2843,11349,734,4044,14588,8364,1797,0,3280,8057,3561,3866,0,1335,0,0,554,5516,1611,20881,2800,784,15279,4789,8786,16156,1243,13190,0,19667,8590,0,385,8733,2596,2302,0,0
7th and 8th grade,1475117,37162,844,19254,20862,43243,14753,13108,4076,508,48377,42710,0,4432,60646,57509,24436,18727,66055,34401,19378,7962,27633,37994,36794,30065,47743,9593,12952,6920,8854,25642,915,46583,52758,9140,99343,20307,29973,101470,9792,24595,11673,67489,69791,7253,6961,34342,27529,25137,45196,2237
9th Grade,1689731,43130,2208,25773,21364,64313,18007,15767,4120,237,107024,46889,948,15895,44278,52159,20610,20844,38321,33866,11333,15081,42363,70682,45490,29132,41545,15520,13234,8316,12183,43520,5099,73158,69847,3223,60225,28405,30411,108025,14207,24947,8710,48866,100226,18565,4501,57598,45522,21378,40005,2661
10th Grade,2313351,61148,4046,41353,26395,124200,32674,28769,6220,156,117264,62895,652,16688,98246,81102,36759,14021,44019,51983,16369,31677,45770,70455,46151,27205,75382,8338,14070,8721,14219,50822,2761,115019,81683,7676,154014,36978,26989,134564,5882,44256,6691,86580,94871,25777,6799,72721,59519,36230,52956,3616
11th Grade,2449486,47208,4916,19789,29630,185680,16407,27289,6767,975,127849,75273,1697,15609,82913,90347,30267,26734,60290,19197,22978,28308,53847,92838,34761,30809,52292,11846,16346,12144,15238,47066,10018,133109,80056,8526,177099,44829,45255,112651,12468,53417,4976,95959,120682,30082,7765,50919,69940,34827,61577,8021
12th Grade No Diploma,1049421,27393,910,18062,16457,102488,10020,13924,929,0,74999,36693,864,8538,34894,26634,10931,23684,8382,17905,6996,16059,23716,39226,27075,11530,22448,6033,12590,7121,3395,44576,4061,37941,43128,5700,33831,25112,20722,45610,3901,12700,4088,22080,59738,15696,919,19899,14721,5975,16088,3039
High school graduate-high school diploma,23298097,367547,53937,296903,297817,1462599,336034,289263,77420,1701,1390289,654363,27594,122286,863214,724717,377722,231260,528309,354833,174100,358822,529814,1000977,387483,207441,633855,104548,168332,157523,147165,654749,63223,1267687,710498,75880,1407342,331767,316782,1435529,88009,369936,93495,623798,1172822,202359,80422,552837,566406,282990,604727,68971
Some College But No Degree,14527853,206347,35003,312235,164787,1357189,339252,181757,38625,5754,791859,408113,25910,124067,637500,330659,196149,178435,246470,196799,71872,209038,264550,641786,297722,136109,354565,79436,119242,167435,93455,309342,94155,658829,443977,44270,609370,192196,248246,535294,46619,240268,51784,328453,960872,212188,32323,353617,407611,111759,393143,41417
Assc degree-occupation/vocation,3260142,68420,6047,75467,45346,210857,64401,36587,6351,477,169658,58847,7838,28848,149557,96521,74258,43327,51479,45986,25413,44560,28268,157748,174282,43896,66519,27366,36475,11077,15151,47121,15864,150733,91101,27442,97638,32117,54737,182342,15226,53035,26418,53529,154986,36965,8929,52606,102975,16102,158024,11225
Assc degree-academic program,3738826,55081,10351,36517,24302,346888,61293,26838,14761,1154,250281,83940,5071,19980,166316,52803,63621,33724,54761,24924,20707,45565,81315,193295,99171,29526,90136,10754,36865,42062,25064,65170,18507,253464,115125,19211,200305,49413,55030,145908,19587,46057,17006,92830,262004,47951,12578,102274,107104,14122,77614,10500
"Bachelor's degree (BA,AB,BS)",16410051,187146,31408,323222,127190,1494202,445420,259787,52775,42384,928691,447751,30499,89731,822985,295608,196416,150540,227675,187343,66116,342742,511597,499997,377965,75554,368575,69272,111136,111368,112659,541814,61673,1098281,469107,48803,573872,170559,239274,810417,71867,213436,53382,286572,1190880,155147,52868,459240,402119,90977,400565,31444
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6121636,72829,9286,122107,27748,603381,173538,100481,14594,29540,328418,120484,15583,33842,268840,123596,49526,72662,78921,41518,29539,146700,228298,202531,134283,38853,110373,20967,42894,44948,38655,190405,39126,463812,201126,11478,241026,58094,78302,271561,23541,73981,12751,107432,351582,81575,14899,238626,192291,34691,99059,11343
"Professional school degree (MD,DDS,DVM,L",1601668,31970,3261,10984,6202,186768,39105,35164,4109,12293,113100,66270,1756,7501,82745,36899,4662,16071,23814,15012,6875,51886,37109,29933,31012,4921,41266,5910,6624,11803,5657,49771,10524,168337,40326,3854,32649,5383,18999,71264,7496,19407,1592,35986,63945,15240,4324,63964,39409,4432,12263,1821
"Doctorate degree (PHD,EDD)",1586520,21802,4004,37786,14455,148219,62440,27394,7766,10856,73658,16448,3111,10168,58806,32006,11431,24439,13201,25162,6350,34217,74205,40033,28147,10006,23816,5954,13356,21177,10058,59696,18051,90595,32582,1365,74097,12136,31516,79054,6703,21154,5010,62545,80010,13721,6040,62679,31542,6205,19217,2131
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18063868,582770,9600,136789,215186,994985,109659,152943,86632,140497,1452524,1399271,15812,8119,780210,278988,46398,76134,149113,662448,12313,795093,242929,626190,162603,502884,324362,3748,42505,122902,9219,539300,15215,1197987,968285,7818,647416,134689,41731,620017,29860,594750,9420,513519,1519451,19088,2276,725994,143703,32467,153731,4325
Children,4286320,127504,1715,24478,54203,187026,38909,25950,19382,27151,333918,351529,0,562,176815,82448,13198,21498,60752,175098,4048,171578,57265,149663,31518,127744,80315,594,9372,41360,1296,123663,2412,254703,234710,3037,163045,50948,3653,156891,2653,143725,930,128466,366546,7715,0,152486,32209,10434,49355,1850
Less Than 1st Grade,30896,3499,0,0,2175,2983,0,949,0,709,1633,0,0,0,0,0,0,0,0,1933,0,0,1254,2359,0,484,0,0,0,0,0,0,0,4534,3955,0,0,0,0,0,0,4429,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",59096,0,305,0,0,0,0,0,0,437,7601,5840,0,0,0,0,0,0,0,1790,0,0,1217,4783,0,4511,1905,0,0,0,0,0,0,5568,6333,0,0,877,0,0,0,7071,0,1969,5448,0,0,0,0,0,3441,0
5th Or 6th Grade,110315,2626,0,2024,554,5768,0,799,692,164,16173,10556,0,0,4877,0,870,0,0,2164,0,4032,4362,2033,3202,5476,0,0,0,0,0,1962,0,8396,4299,135,2286,0,0,0,431,3406,0,0,8810,0,0,9450,1341,0,3427,0
7th and 8th grade,325029,11672,0,1129,3260,11270,0,6631,816,2613,16819,26997,474,0,12766,4588,562,0,1969,19244,0,24446,5389,6025,4559,12387,5815,258,530,675,1160,9006,0,25848,22569,326,8570,985,0,8237,1638,13267,0,10081,24437,0,0,12812,4869,330,0,0
9th Grade,394399,21849,0,0,8202,18879,3385,7075,1056,3850,41751,36613,919,0,10077,7422,945,805,4062,18410,0,11237,5334,9643,3605,13644,5740,0,1651,5408,0,6958,446,20483,20348,0,11328,2248,2330,6761,1147,13875,0,8093,25697,935,0,29809,1019,0,1360,0
10th Grade,650953,35980,904,2026,5049,15532,3101,0,3284,2866,41716,65017,1065,0,24294,10117,3030,4269,1433,36157,0,24494,6354,39846,8903,19875,9167,0,3564,2875,0,17313,0,42136,31132,0,17706,2923,0,35948,870,17375,178,24202,51158,0,352,22464,3730,1038,11510,0
11th Grade,743204,41532,204,4196,5447,30471,0,5198,3816,7282,77771,53389,535,776,25746,14295,3061,925,3172,29071,0,27039,5590,49543,4569,27684,14807,0,1745,1990,0,10161,623,39964,44228,228,36312,3498,0,24912,2511,34979,0,9142,67761,0,0,19804,4368,0,4575,284
