Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Some College But No Degree,3072069,10576,3650,139801,8479,916316,46656,22593,5023,1691,292192,29922,3597,12811,87839,25402,11577,22543,12550,9898,0,24179,30419,31134,9499,4561,11906,3107,2933,47799,2589,104815,57524,134682,34461,1076,21042,10804,21410,44259,7001,3510,1062,16958,657363,21578,212,54433,31166,636,13961,2874
Assc degree-occupation/vocation,513538,746,200,31228,1692,141705,20442,4182,1033,337,59928,12465,604,1366,18813,4531,0,2642,0,1506,0,1915,6264,5106,2889,808,1839,453,646,5691,0,7285,10786,8081,10800,694,4843,2781,2151,4762,667,0,0,0,103896,5506,0,3467,9044,0,9056,688
Assc degree-academic program,680843,1528,567,13775,3730,180245,17510,1990,1018,250,135764,1873,691,1091,10814,4266,1887,5020,1975,5764,0,4297,13401,3694,0,3637,0,191,581,6600,0,11383,7613,57712,11930,0,4734,1059,7061,4220,1972,2346,1263,0,121526,4002,0,4120,13557,0,3652,534
"Bachelor's degree (BA,AB,BS)",1951455,6768,1150,72152,6525,451956,28349,19421,4029,5481,334179,31142,1998,4665,118500,10791,9182,10722,6348,14018,0,15129,12409,14584,9041,565,8764,1928,8314,17558,2314,59918,26336,107207,41436,1348,11977,7420,15027,20487,7474,4674,1158,11172,325913,16124,463,41034,18769,1156,3494,886
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",498803,2223,237,10247,1197,116150,8342,8000,271,3157,72667,11629,0,1494,16949,1347,4216,0,3193,885,747,1849,7026,4995,1929,693,6432,0,1185,5507,333,15527,10682,46512,1844,0,6667,1789,3288,5497,894,2104,0,1622,65529,2967,228,27949,10458,303,1811,232
"Professional school degree (MD,DDS,DVM,L",101377,862,0,7850,0,15379,1713,0,0,1054,19059,0,0,0,2222,3175,0,1198,0,795,0,2997,1121,0,0,0,0,0,0,1981,0,0,1617,11786,0,0,0,809,0,2158,0,1004,0,0,12878,1577,0,10142,0,0,0,0
"Doctorate degree (PHD,EDD)",97222,0,0,2149,1130,15494,0,1246,1062,1326,15791,1584,593,0,0,0,2235,1559,0,914,0,0,4375,0,0,0,1331,0,605,2710,0,3653,1842,10951,1503,0,6020,0,996,2111,0,1015,0,0,7694,837,0,5127,1369,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1380714,7389,2192,32647,959,174610,10920,42347,4105,8503,109419,61314,555,0,19578,0,1935,3131,5345,14647,0,59197,42642,1624,0,4485,13565,0,2080,10027,1426,93028,7781,297265,36875,0,45418,0,2506,57910,5903,16641,0,27748,78343,3759,0,39042,15595,0,17758,500
Children,441710,3313,403,12220,959,63872,3444,5077,2548,1734,22718,28563,0,0,5578,0,1935,1411,2638,8330,0,12781,21387,0,0,973,2102,0,794,2482,365,21932,2751,68113,13965,0,17326,0,0,43756,3101,7048,0,20833,16449,0,0,14726,0,0,5824,259
Less Than 1st Grade,524,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
