Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Bachelor's degree (BA,AB,BS)",17768694,246712,27281,394408,123749,1777517,486333,265564,45171,43820,1112419,506256,33919,107148,669183,357022,204807,173519,201040,153852,89568,331066,535650,600761,373592,98885,348308,77171,120850,105271,131163,565590,54812,1216976,551051,47358,667148,190144,332866,842465,70020,279786,56151,411295,1097933,200401,51056,483388,444476,85212,350333,28228
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6708877,67629,13215,138500,38564,659567,219672,122328,17452,31457,369895,140004,22303,38619,270567,114184,61657,72469,71092,56418,31743,189747,210774,261939,127930,30213,116647,24197,27403,30316,39561,210437,40641,557049,225056,11884,247144,55308,92420,300764,30005,107591,11076,127187,445163,60378,21121,248176,186337,20919,87564,6595
"Professional school degree (MD,DDS,DVM,L",1415533,18572,766,28848,9141,118359,25610,26826,4989,15810,61957,45357,2231,5709,85726,21116,13559,11285,17632,13937,1651,31933,50551,52498,22037,10963,38083,6060,1398,3812,3568,78425,7068,148684,26341,4465,48635,11743,17499,53385,3059,34828,2705,37384,81334,11837,7177,33675,29764,3377,23346,818
"Doctorate degree (PHD,EDD)",1927653,33523,4187,36372,10249,247089,47131,40235,4056,9033,119475,46080,4409,7721,56272,23604,10169,22337,20992,25700,7384,52858,91465,60246,15487,5474,21613,5846,10554,9842,8478,72423,15344,143795,45959,2258,60841,22675,45787,81797,7201,27012,4483,46226,135719,18014,4194,50606,49704,6562,24028,5144
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18587840,599947,9974,143350,207325,1047111,93915,171823,100217,138205,1512451,1444510,17413,7684,815212,288677,52149,79382,170436,666102,11397,779910,239553,637557,182728,513993,315098,2992,44251,123739,10165,549185,19839,1311616,983922,12374,669774,154402,37810,631318,30751,609687,10532,483310,1597662,12797,4668,702975,139898,31760,162309,3985
Children,4222961,122050,795,46197,56753,184242,7393,37143,19959,28695,379032,342655,2075,3274,178668,81227,16813,17994,20703,164008,4262,166246,42814,152785,68728,129001,72815,521,13098,21768,2319,111508,4350,273596,224816,2247,150536,32285,11922,136220,7904,133774,2476,98276,393963,3712,748,146465,45307,9017,48655,1151
Less Than 1st Grade,29253,1147,0,0,0,0,0,0,0,0,1654,1775,0,667,0,2013,0,0,0,0,0,0,0,0,3083,0,0,0,0,0,0,0,0,0,0,0,7129,1533,0,0,0,4400,0,0,5852,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",42149,1628,0,0,819,1903,0,0,398,0,8440,3144,0,0,5021,0,0,0,0,3019,0,2116,0,3182,0,1957,0,0,1083,0,0,0,0,4627,4326,183,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0
5th Or 6th Grade,81700,2516,0,0,1537,4407,3411,0,0,580,0,12149,0,0,7857,0,0,0,0,5411,0,0,0,2274,0,3029,0,0,644,0,0,2103,0,5011,9381,0,0,0,0,1893,0,5003,977,0,7948,0,0,3864,0,333,1372,0
7th and 8th grade,300339,13139,400,1522,5221,14766,0,982,834,1785,10108,22408,0,0,7891,0,0,0,1822,17173,0,19161,8591,10026,0,9741,6227,0,0,2194,0,8328,0,23569,16128,0,18674,2087,0,2367,0,14437,562,11362,20116,0,384,21381,0,1076,5877,0
9th Grade,366783,20942,378,0,8522,11857,0,1572,3212,3534,23737,20717,0,0,20965,16765,0,1122,3822,26350,0,12395,8748,21014,4981,9561,1362,0,723,813,422,6782,0,29550,9237,432,19328,6444,2077,3197,0,10962,290,14290,25146,0,731,10074,1737,682,2310,0
10th Grade,573321,26351,1163,1753,9179,17532,0,4116,3806,2507,42612,71679,0,0,14355,10597,1561,1229,6427,28852,0,18001,11819,20201,5102,25024,5240,265,0,0,0,11843,541,17287,29686,235,20904,6534,0,34591,0,30229,0,5836,57868,0,0,17589,5469,1674,3664,0
11th Grade,731990,24410,742,4641,10395,39987,3335,12065,3120,5655,63707,49646,0,0,13345,11195,0,5858,5817,28767,1064,18335,9126,33669,5148,32385,34608,260,2680,6331,776,25536,1667,30456,55581,1613,28316,4394,1896,27715,771,17473,945,13842,42245,0,0,38049,0,806,13344,274
12th Grade No Diploma,402192,11969,0,4387,7716,32625,3362,0,1922,2169,39683,27609,0,489,7335,5671,3984,1167,2171,20354,0,11054,2210,7961,0,15097,7441,0,1068,3841,0,12751,0,50962,23889,514,11149,4680,0,6753,632,16577,881,15300,12739,0,0,17227,0,323,6530,0
High school graduate-high school diploma,4953889,198275,2846,14512,56410,234900,18166,49590,34332,40869,449544,378155,2251,411,231248,63008,10222,19557,65008,196159,2545,145831,58830,169578,51659,148819,70007,774,4975,39794,3643,145664,4644,371938,246898,1670,172478,31729,7913,192881,11861,203679,1688,170643,382427,2922,1440,177799,26639,8533,28141,384
Some College But No Degree,2917840,84742,1818,20800,20958,192583,14357,29931,14969,16534,203995,194908,8235,491,123845,47041,8082,10122,30054,88012,0,156729,51128,128550,20330,68854,43088,670,2934,27945,1609,90075,1741,178503,178340,2776,145615,27806,5906,83615,1091,86293,1059,67394,278595,1288,221,101401,19767,4364,27279,1397
Assc degree-occupation/vocation,463170,19000,211,4866,9130,29797,0,1501,1759,2324,21219,36140,0,0,23534,1731,1213,4416,2492,22209,0,12081,2766,10583,5499,12765,17239,243,1963,3157,0,16847,1136,35605,34144,428,14041,2549,0,10343,563,15005,0,17353,50092,1824,0,10421,3553,0,1428,0
Assc degree-academic program,652921,15740,412,7044,0,66080,7046,4329,3291,2092,51388,46232,1012,0,24653,13622,4081,6466,6736,14042,0,33425,3857,17656,3051,16938,16978,0,5620,3315,503,19110,423,65703,18678,480,11505,13804,997,24340,1835,12006,925,14386,60663,0,0,21082,8386,731,1694,564
"Bachelor's degree (BA,AB,BS)",1956078,34066,948,26019,14734,154216,30390,28252,8863,19197,147166,160461,704,1839,112695,21835,6193,6586,18817,38080,2962,103143,27678,37046,10514,29287,21599,0,6361,10928,469,76663,4583,147078,92496,1591,57627,14385,2740,65268,2530,48211,729,34943,188444,0,779,98417,17622,3336,17373,215
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",688056,15343,261,3932,3667,53809,6455,2342,3752,8475,60180,54282,2507,513,38207,12427,0,3976,3761,10877,564,57693,8831,18670,4633,10824,11544,0,2486,3653,424,15781,381,52506,37794,205,12472,4596,4359,20373,2984,7552,0,19685,59537,755,365,30198,9783,0,4642,0
"Professional school degree (MD,DDS,DVM,L",69004,3733,0,1629,0,0,0,0,0,1927,4961,8719,0,0,0,0,0,889,0,922,0,8894,3155,2363,0,711,0,0,0,0,0,6194,0,8884,2528,0,0,0,0,0,580,0,0,0,5085,1148,0,6417,0,265,0,0
"Doctorate degree (PHD,EDD)",136194,4896,0,6048,2284,8407,0,0,0,1862,5025,13831,629,0,5593,1545,0,0,2806,1867,0,14806,0,1999,0,0,6950,259,616,0,0,0,373,16341,0,0,0,1576,0,21762,0,4086,0,0,6942,1148,0,2591,1635,317,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,9019664,30620,20061,175390,14654,2760493,60193,78597,23152,12038,240604,238952,250994,14086,353176,52217,46372,39799,22433,46032,5796,169247,241821,187457,164603,6784,53859,2675,21144,84948,21600,435723,8761,958354,156563,3662,112945,32061,68348,255199,16492,24551,4459,56841,627229,26592,8111,287958,399226,4400,90446,1946
Children,1552411,3929,2949,23714,1328,420209,5312,12006,3156,830,39591,48367,27870,3096,67402,7255,9067,8962,8307,5668,422,34955,34595,38671,27148,0,10216,1157,2348,13441,2988,112808,1436,179005,36962,398,21605,8875,7640,39309,3540,9025,333,15370,90740,5935,1788,66915,65218,1165,19243,142
Less Than 1st Grade,28771,0,0,0,0,6259,0,0,0,0,0,0,832,0,0,0,0,0,0,857,0,0,0,0,7897,0,0,0,0,1521,0,0,0,3166,0,0,0,0,0,2720,0,0,233,0,0,0,165,0,3515,0,1606,0
"1st,2nd,3rd,or 4th grade",36972,0,0,0,0,16233,0,0,0,0,2212,2030,701,1346,0,3104,0,0,0,831,0,0,0,0,0,0,0,0,0,1274,394,0,0,7159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,0,0,0
5th Or 6th Grade,90659,1035,0,1916,0,30779,0,0,0,121,2601,2415,2120,431,0,3184,0,2904,0,2014,0,0,3113,0,0,0,0,0,0,1890,0,0,0,20593,0,274,0,0,1350,8336,1645,0,0,0,1987,0,0,0,1951,0,0,0
7th and 8th grade,114606,1237,260,9945,0,46135,1960,0,369,0,0,0,2349,540,0,0,0,2709,0,0,0,0,5736,0,2481,0,2869,0,819,0,0,4466,0,10699,0,0,0,0,1417,4756,0,0,0,0,5199,0,0,1474,9019,0,0,167
9th Grade,163826,0,529,4675,0,45464,6026,1977,0,0,6767,8116,4269,0,5574,1937,0,0,2144,2971,0,1909,3024,0,4329,0,6798,0,0,1159,0,2512,0,37701,0,0,5697,2022,1527,0,0,0,0,0,1920,0,466,0,4004,309,0,0
10th Grade,152538,0,320,2298,0,49211,0,0,1300,0,2593,12816,2545,0,3912,0,0,3871,0,3866,0,1869,1406,3422,0,0,0,0,723,0,0,13989,0,7632,0,0,0,1694,2491,13188,0,1210,478,1836,8506,982,317,6160,1967,0,1936,0
11th Grade,163193,1132,550,8226,0,40931,0,1332,0,218,8034,8807,4774,0,6383,0,0,949,2255,0,0,1705,3995,5116,5754,738,0,0,0,0,890,4084,0,28809,3640,0,0,0,2239,2098,1273,0,544,0,8094,0,0,1956,8212,455,0,0
12th Grade No Diploma,131688,1243,873,0,0,41168,0,1619,0,0,0,12255,543,718,3912,3090,1112,0,0,0,0,4495,1201,0,5092,0,0,199,0,3196,0,0,0,19322,4106,0,2142,3018,2603,0,698,0,0,0,2279,785,198,5787,10034,0,0,0
High school graduate-high school diploma,1291675,11130,6609,6379,2532,370453,7919,10027,1376,339,42817,41575,56370,2866,25077,8526,9686,2564,0,8874,544,23362,28655,14499,20566,3196,0,0,3068,18747,3740,45508,626,221975,14769,871,13934,5918,3191,35390,1267,5739,2339,5577,77117,1590,773,26824,78539,0,17632,600
Some College But No Degree,958749,1227,4213,18393,5873,343490,1741,6169,4717,473,26444,17585,37975,1712,45842,5291,6842,6089,0,8919,2205,8398,11659,20555,22306,0,2324,760,1369,16985,2560,18776,1741,68328,19341,1155,8404,2868,17028,29935,1540,0,0,7919,55468,3478,805,27499,48451,736,13161,0
Assc degree-occupation/vocation,160975,0,0,1689,0,67295,3870,0,0,0,0,0,13712,0,6860,0,1290,0,0,0,958,0,0,1651,6072,0,0,0,732,2450,0,2172,543,18274,2353,0,0,0,0,0,1307,1631,0,0,5967,0,162,2189,7570,0,12228,0
Assc degree-academic program,218414,0,0,5421,0,93504,0,3023,0,396,12112,2080,13938,0,0,0,1369,0,0,1390,0,0,1664,5494,2166,0,1813,326,0,4360,915,1573,0,19170,11511,0,0,0,0,0,0,0,0,0,12520,920,0,7116,15633,0,0,0
"Bachelor's degree (BA,AB,BS)",2125769,6260,3133,58747,4921,687121,25054,24327,2948,4848,62725,60803,62875,2181,99616,4645,9605,2157,4672,2907,0,36685,59967,46421,36809,2850,23792,0,3753,12669,2888,119401,1985,178527,31258,461,19899,2964,18441,55401,3557,2181,0,8283,164852,7381,1346,70075,72475,743,10832,328
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1240855,2388,240,30852,0,353853,6355,8443,5517,3060,23856,16168,14384,1196,46649,3678,3536,9594,3324,2776,859,31464,58253,31548,12270,0,6047,233,4481,4980,5096,97460,1798,99709,15945,289,17531,1348,2911,34182,1089,1205,532,12654,145422,3735,1446,55747,50148,668,5936,0
"Professional school degree (MD,DDS,DVM,L",179654,1039,0,1632,0,37376,0,1665,0,613,8697,4324,2977,0,11334,9644,0,0,1731,2972,808,8574,8100,6488,5031,0,0,0,3016,0,545,2250,0,9019,8190,0,4644,0,1273,7322,0,0,0,1819,11969,0,239,7551,8139,324,0,349
"Doctorate degree (PHD,EDD)",408909,0,385,1503,0,111012,1956,8009,3769,1140,2155,1611,2760,0,30615,1863,3865,0,0,1987,0,15831,20453,13592,6682,0,0,0,835,2276,1584,10724,632,29266,8488,214,19089,3354,6237,22562,576,3560,0,3383,35189,1786,406,8665,12663,0,7872,360
 -> Total -> Total Female,157863446,2435609,252714,3269562,1448093,18787097,2674674,1745694,470403,350791,10542904,5241436,455847,831921,6278374,3260263,1529569,1357735,2191335,2324473,647996,3024129,3370739,4919364,2696175,1479048,2958017,483560,934433,1378875,654464,4473510,878783,9816724,4988200,328628,5755536,1638925,1942582,6283331,510932,2542707,368648,3339198,13713525,1487858,302079,4136736,3423660,874405,2800180,262005
 -> Total -> Total Female -> Total Hispanic,27675175,112728,18470,1147711,127731,7133893,582872,255454,50363,33970,2721507,451011,30938,106193,1065017,186903,102912,212792,75132,130587,6433,295384,388643,199295,134595,24749,107162,14913,114349,384510,21067,821359,449932,1629498,531392,11639,172105,201960,225419,489144,88548,129800,15208,129708,5270345,203341,4259,423836,463819,8349,143826,24404
 -> Total -> Total Female -> Total Hispanic -> Total White Only,25890773,96820,17338,1116763,123810,6769254,555220,233214,41443,25251,2592899,405142,17507,106193,1028871,178843,95960,202575,72354,117806,5389,232531,313101,196598,131655,20248,89996,14913,111077,367581,18842,736897,445518,1266799,469391,11202,138138,200215,223082,445395,75134,105698,14519,107691,5153789,200924,4259,390437,440108,8349,130058,23976
Children,6611276,35498,5693,283727,41895,1662224,152598,52007,9530,5237,524499,116427,1923,32290,276523,43824,32427,68857,20148,41681,1067,67145,82682,56365,38737,5362,27819,5557,40875,91881,4193,161554,101599,265799,130676,2886,38272,74610,68561,147896,18495,40511,3703,37371,1375973,56169,944,93148,123199,3150,30163,7906
Less Than 1st Grade,193402,0,0,10814,1697,86403,0,1497,359,108,12879,1796,0,930,5192,0,0,748,0,522,0,0,1407,0,0,0,0,0,1264,1856,0,0,0,4096,2105,175,0,955,0,2408,630,0,283,0,41119,817,0,7396,4480,0,1466,0
"1st,2nd,3rd,or 4th grade",485241,0,0,30842,2903,188586,6779,4832,952,882,21927,7504,303,1763,15992,1674,1087,1437,0,0,0,5230,6831,0,1790,0,0,0,1633,2273,0,7010,2877,25002,24197,0,1596,2760,1915,6032,1858,2949,0,2597,80530,2132,0,8848,7689,0,1870,159
5th Or 6th Grade,1067833,5508,0,55366,4503,342042,9592,1225,1959,1274,65559,17870,273,6763,53005,4462,5998,8164,1664,5083,0,11175,974,5065,11999,516,0,213,5618,11421,0,21055,10608,45043,29368,175,2954,8472,21560,8620,4500,4834,0,5653,223555,6762,495,12181,22440,0,2009,258
7th and 8th grade,875824,4842,202,35145,4018,241342,22516,4727,1108,730,65610,14552,312,2416,23565,6899,2567,4511,3133,3272,0,5462,11798,5133,3977,1114,8962,0,4787,9804,395,27055,13050,41167,14284,0,10203,9800,3765,6113,2737,2973,852,6095,198913,5088,495,11900,18999,0,8710,726
9th Grade,1072763,5339,823,60245,5434,310176,16047,8330,3705,1130,53602,8584,953,3950,49263,8743,3777,5919,3419,3716,0,11879,9030,20159,1719,1637,3599,449,7866,13730,352,21538,11091,49277,19147,0,3446,9654,5031,12687,0,3791,869,8962,252894,6157,223,16242,22027,391,5169,592
10th Grade,816073,3358,0,41604,5845,159505,8468,15006,315,287,63790,14259,0,3889,38999,6165,3098,6088,5178,2594,0,4673,4994,9479,2264,1117,3662,0,1229,13851,378,20872,18650,45781,19901,414,6968,13172,8247,16128,1619,2971,332,1495,192690,9138,0,7324,27506,0,2024,746
11th Grade,942905,5420,0,53283,11020,223553,19328,8215,2292,806,69843,11490,0,7134,47087,0,7905,9355,5350,3994,0,4244,13995,9435,0,0,3553,904,7165,13655,0,22212,20279,44060,13447,946,6796,4261,8795,19299,3104,3082,1062,1674,215021,6932,0,11912,18660,0,1715,622
12th Grade No Diploma,553775,845,0,28767,2807,163499,14605,2086,707,334,50778,20615,0,760,17772,8130,1131,7502,1954,3647,0,3041,8470,1640,0,0,2002,685,538,13697,0,6616,7488,18204,7181,180,0,2169,4791,4263,3020,3063,278,0,112893,6355,0,12272,8707,0,0,283
High school graduate-high school diploma,5270161,15009,4346,161908,20610,1339486,128746,52113,8525,1858,587687,91557,3209,21833,174727,39701,10965,46381,13669,19581,721,47080,84370,41058,29920,3149,26522,2169,17103,85677,6611,224760,101101,214285,87124,2409,32798,43870,36355,117293,12205,20771,3410,20948,1025850,40688,1014,83518,71270,1308,35972,6921
Some College But No Degree,3212766,11238,1748,182312,10412,980244,64109,38003,4385,1314,292048,38894,2774,9971,153527,24606,12389,13273,6654,14996,1175,31820,29708,19241,19592,3383,5532,2973,10812,57277,3270,84378,72828,177253,35429,720,12031,9281,20470,38608,12826,4071,2779,10271,547948,29814,210,45327,35646,1093,21354,2749
Assc degree-occupation/vocation,630374,859,829,34506,1058,135122,11388,1388,288,430,86763,8832,277,2211,25885,10737,5127,7379,0,3032,0,0,1467,1970,3591,0,0,254,2268,10862,369,8113,17582,20579,18138,952,0,3455,5572,3811,1063,4402,347,0,154377,5268,0,10621,13055,307,5840,0
Assc degree-academic program,957020,721,418,31904,3020,240602,25170,4093,1704,0,203754,7705,3242,2686,18759,6832,0,7573,1792,536,527,5212,8593,6840,3992,0,3462,541,3106,10536,392,13315,19150,50456,12239,721,8830,7755,7551,13777,2527,975,334,0,176190,3856,0,8362,17650,333,8009,1278
"Bachelor's degree (BA,AB,BS)",2309285,4301,2592,77192,4326,528015,56512,35321,4286,5353,363538,34973,2959,6508,87992,12772,5293,14570,9393,11766,1899,28878,25562,15207,8827,2730,3381,790,5729,22186,2204,92145,32423,162351,36116,940,6677,8212,20648,35698,8721,9790,270,7914,402605,16515,639,49330,25360,1140,5757,979
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",711197,3033,482,21939,1854,139724,12854,2825,1040,4457,90578,10084,968,1956,31515,2736,4196,818,0,2268,0,6692,19230,5006,5247,689,1502,378,1084,7885,678,17822,13294,84984,18502,450,5904,1789,7890,4889,1304,1515,0,4711,134130,3664,239,8527,18481,627,0,757
"Professional school degree (MD,DDS,DVM,L",102278,0,0,5151,599,13500,3029,0,288,470,21805,0,314,1133,9068,1562,0,0,0,0,0,0,1326,0,0,551,0,0,0,990,0,5070,2192,10315,0,0,0,0,0,5762,0,0,0,0,13221,788,0,1861,3283,0,0,0
"Doctorate degree (PHD,EDD)",78600,849,205,2058,1809,15231,3479,1546,0,581,18239,0,0,0,0,0,0,0,0,1118,0,0,2664,0,0,0,0,0,0,0,0,3382,1306,8147,1537,234,1663,0,1931,2111,525,0,0,0,5880,781,0,1668,1656,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1468886,15908,478,28871,3921,205193,13693,20663,8920,7753,121308,42858,552,0,17760,8060,5542,8518,2778,9028,1044,54655,73687,0,0,4501,14986,0,3272,6752,2225,84462,3749,351400,51401,437,33967,1745,0,43749,13414,24102,0,22017,103088,0,0,33399,5028,0,13768,234
Children,398903,8367,213,7775,1526,41493,4935,6897,1968,2626,25524,10166,0,0,3978,1911,3993,0,1248,3052,0,8246,19758,0,0,959,4148,0,1767,2045,838,24629,565,87715,18329,227,8677,1745,0,11527,5446,8347,0,10332,39737,0,0,15935,0,0,2025,234
Less Than 1st Grade,8960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346,0,0,0,0,0,0,0,0,2707,0,2617,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",21126,0,0,0,0,2691,0,0,0,259,0,0,0,0,0,0,0,0,1530,0,0,1936,2265,0,0,0,0,0,0,0,0,0,0,10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,0
5th Or 6th Grade,30811,0,0,0,0,6274,0,2294,0,603,0,1783,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,2383,0,0,0,0,0,0,8518,3565,0,0,0,0,0,0,0,0,0,3102,0,0,0,0,0,0,0
7th and 8th grade,31467,0,0,0,937,2566,0,1985,373,239,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9190,0,13571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,49954,0,0,0,0,10181,0,2881,1206,0,0,2454,0,0,7891,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,16718,0,0,0,0,0,0,1760,1926,0,0,2926,0,0,0,0,0,0,0
10th Grade,57311,0,0,1807,768,7893,0,2205,659,0,2491,2662,0,0,0,0,0,3803,0,901,0,2900,1812,0,0,0,0,0,0,0,0,0,0,19882,2713,0,3887,0,0,0,0,0,0,0,2928,0,0,0,0,0,0,0
11th Grade,50728,0,0,2267,0,9000,0,0,0,0,2835,2692,0,0,0,0,0,1443,0,1160,0,4194,2696,0,0,0,2525,0,0,1247,0,0,0,16943,0,0,0,0,0,0,0,1429,0,2297,0,0,0,0,0,0,0,0
12th Grade No Diploma,21556,0,0,0,0,3070,0,0,0,551,2616,2812,0,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,520,3028,3511,0,0,0,0,0,0,0,0,0,3473,0,0,0,0,0,0,0
High school graduate-high school diploma,294144,4521,0,4243,0,43030,5614,4401,1591,0,34405,8284,0,0,2779,4302,1549,1552,0,1847,0,7618,22240,0,0,851,3798,0,664,0,468,27739,490,38537,13960,0,8254,0,0,15277,2937,1298,0,3886,20194,0,0,2996,0,0,4819,0
Some College But No Degree,192590,3020,0,2581,690,42832,0,0,1634,568,4662,2667,0,0,3112,0,0,1720,0,0,1044,17152,9265,0,0,825,0,0,0,3460,0,3303,553,42260,6205,0,5718,0,0,6815,1020,1371,0,0,19345,0,0,8337,2431,0,0,0
Assc degree-occupation/vocation,29148,0,265,2366,0,0,3144,0,0,0,0,2375,0,0,0,0,0,0,0,933,0,0,0,0,0,1866,0,0,0,0,450,6533,0,8146,0,0,0,0,0,0,0,0,0,0,3070,0,0,0,0,0,0,0
Assc degree-academic program,77844,0,0,0,0,5774,0,0,0,0,11732,0,552,0,0,0,0,0,0,1135,0,6513,2392,0,0,0,0,0,841,0,0,2696,1105,30738,0,0,3541,0,0,0,1058,3286,0,3521,0,0,0,2960,0,0,0,0
"Bachelor's degree (BA,AB,BS)",133150,0,0,4555,0,22441,0,0,1489,2060,29516,4629,0,0,0,1847,0,0,0,0,0,6096,2521,0,0,0,0,0,0,0,0,5025,516,26515,3118,210,3890,0,0,6706,575,3383,0,1981,6077,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",68493,0,0,3277,0,7948,0,0,0,606,2461,2334,0,0,0,0,0,0,0,0,0,0,2117,0,0,0,2132,0,0,0,469,2640,0,25970,0,0,0,0,0,3424,618,1772,0,0,2236,0,0,3171,2597,0,4721,0
"Professional school degree (MD,DDS,DVM,L",2701,0,0,0,0,0,0,0,0,241,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,315516,0,654,2077,0,159446,13959,1577,0,966,7300,3011,12879,0,18386,0,1410,1699,0,3753,0,8198,1855,2697,2940,0,2180,0,0,10177,0,0,665,11299,10600,0,0,0,2337,0,0,0,689,0,13468,2417,0,0,18683,0,0,194
Children,64244,0,0,0,0,23670,6710,0,0,0,0,0,2429,0,8347,0,0,0,0,1752,0,0,0,0,0,0,2180,0,0,0,0,0,665,8275,0,0,0,0,0,0,0,0,0,0,5551,0,0,0,4665,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,5646,0,0,0,0,2321,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857,0,0,0
7th and 8th grade,629,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,18925,0,0,0,0,11332,2286,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,5602,0,300,0,0,4782,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,13523,0,0,0,0,5050,0,0,0,0,0,0,0,0,4840,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,0,0,0,0,0,0,0
12th Grade No Diploma,2128,0,0,0,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,55761,0,0,0,0,32675,0,0,0,0,4358,3011,3675,0,0,0,0,1699,0,993,0,0,0,0,0,0,0,0,0,2812,0,0,0,0,2911,0,0,0,0,0,0,0,689,0,2938,0,0,0,0,0,0,0
Some College But No Degree,43336,0,0,0,0,21062,2505,0,0,0,0,0,3826,0,0,0,1410,0,0,0,0,1900,0,0,0,0,0,0,0,3050,0,0,0,0,5062,0,0,0,0,0,0,0,0,0,0,1208,0,0,3313,0,0,0
