Source: CPS Annual Social and Economic (March) Supplement 201703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Professional school degree (MD,DDS,DVM,L",75807,0,210,0,0,17844,0,2459,0,836,23409,6359,551,0,0,0,0,926,0,1610,0,1410,1179,0,0,0,0,0,544,787,0,0,1919,3275,0,0,0,0,0,0,0,0,0,1247,8114,1656,0,0,0,0,1472,0
"Doctorate degree (PHD,EDD)",86484,0,0,5028,0,14440,1847,0,207,587,19264,2038,0,0,0,0,0,724,0,633,604,0,4989,0,0,0,1555,0,0,0,0,1789,2864,8606,0,0,0,0,2139,4289,0,1146,0,1202,5364,618,0,4999,1416,0,0,136
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1318180,0,2968,9585,1349,142361,12374,31470,3236,6105,174219,24213,1556,0,11108,1824,7782,1459,7448,14403,2850,71745,43706,15763,2821,1259,7435,0,11864,14552,926,85995,4005,284815,32033,0,34999,3595,887,52280,9317,11059,0,10546,65830,1491,446,54676,16928,478,20951,1468
Children,426570,0,2642,6242,1349,38778,0,12614,517,2145,59782,10414,880,0,3107,1824,0,1459,2086,5570,1827,16601,10750,0,1645,0,0,0,8748,4327,453,14665,2368,96889,4152,0,17316,3595,0,28531,4255,5650,0,9002,13287,1491,446,12288,0,0,18875,0
Less Than 1st Grade,10568,0,0,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3791,0,0,0,0,0,0,0,0,0,0,893,0,0,0,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",32298,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,2294,2179,0,0,0,0,0,0,0,0,2542,0,16004,0,0,0,0,0,0,563,0,0,0,7269,0,0,0,0,0,0,0
5th Or 6th Grade,24315,0,0,0,0,2606,0,0,0,1292,7801,0,0,0,0,0,0,0,0,0,0,2661,0,0,0,0,0,0,0,2754,0,2648,0,2468,0,0,0,0,0,0,0,0,0,0,2085,0,0,0,0,0,0,0
7th and 8th grade,38100,0,0,0,0,2770,0,5527,0,183,2669,0,0,0,0,0,0,0,0,0,0,0,1442,0,0,0,0,0,0,0,0,8900,0,4924,0,0,5004,0,0,0,754,1208,0,0,0,0,0,4719,0,0,0,0
9th Grade,55362,0,0,0,0,0,0,4947,927,0,13875,0,0,0,0,0,0,0,0,1888,0,2063,0,0,0,0,0,0,0,0,0,3962,0,12117,0,0,1985,0,0,8042,0,0,0,0,2715,0,0,0,2841,0,0,0
10th Grade,46013,0,0,0,0,0,0,2247,0,0,11499,0,0,0,3212,0,0,0,0,1075,0,0,2837,0,0,0,0,0,0,0,473,6753,0,14319,0,0,0,0,0,0,860,0,0,0,0,0,0,0,2419,0,0,319
11th Grade,52868,0,0,0,0,5203,0,0,0,319,0,3058,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,27204,3533,0,0,0,0,0,0,0,0,0,5575,0,0,2711,2940,0,0,1149
12th Grade No Diploma,53223,0,0,0,0,10118,0,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,0,0,3700,0,29062,0,0,0,0,0,0,0,0,0,0,0,0,0,4514,0,0,0,0
High school graduate-high school diploma,300826,0,0,0,0,47446,4555,4013,0,279,34431,5896,0,0,0,0,7782,0,0,1886,1023,36174,2830,11573,0,0,2529,0,1131,1529,0,35421,0,40441,10872,0,2405,0,887,2248,738,2832,0,0,14304,0,0,21208,6393,0,0,0
Some College But No Degree,118279,0,326,0,0,27091,3084,0,1456,0,14945,3042,281,0,0,0,0,0,1571,833,0,2561,6749,0,0,689,2447,0,1346,1076,0,2525,1160,19174,8077,0,0,0,0,0,758,1369,0,1544,9007,0,0,4833,2335,0,0,0
Assc degree-occupation/vocation,20485,0,0,0,0,2173,4735,0,0,132,0,1803,0,0,0,0,0,0,0,1139,0,0,0,2151,0,0,0,0,0,0,0,0,0,1481,2051,0,0,0,0,2266,0,0,0,0,0,0,0,0,0,478,2076,0
Assc degree-academic program,41492,0,0,0,0,0,0,0,336,321,20140,0,0,0,0,0,0,0,0,940,0,0,2256,2039,0,0,0,0,0,1656,0,0,0,4482,0,0,5655,0,0,0,1389,0,0,0,0,0,0,2278,0,0,0,0
"Bachelor's degree (BA,AB,BS)",75540,0,0,0,0,4543,0,2122,0,727,7505,0,395,0,0,0,0,0,0,1072,0,1916,12480,0,0,570,0,0,639,2317,0,4879,477,13709,3348,0,0,0,0,6668,0,0,0,0,10048,0,0,2125,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",15216,0,0,0,0,0,0,0,0,707,1572,0,0,0,0,0,0,0,0,0,0,4988,2183,0,0,0,2459,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,1540,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",7025,0,0,0,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,0,2758,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,253648,0,719,0,1021,128944,0,4437,787,0,13726,2053,9383,433,18819,0,0,1007,0,5745,0,3767,6408,0,0,0,0,0,0,3380,0,3093,1968,11492,6008,0,0,0,0,0,0,3117,0,0,7445,9814,0,2202,5765,481,1634,0
Children,76211,0,0,0,1021,26459,0,0,0,0,0,0,4446,0,13797,0,0,0,0,2882,0,3767,2243,0,0,0,0,0,0,1559,0,3093,712,7499,2022,0,0,0,0,0,0,0,0,0,0,2266,0,0,4445,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2094,0,0,0,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,2479,0,0,0,0,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,5092,0,0,0,0,1975,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0
10th Grade,271,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,8937,0,0,0,0,2290,0,0,0,0,0,0,592,0,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,0,0,0,1328,0,0,0,0,0,0
12th Grade No Diploma,8401,0,0,0,0,8401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,54949,0,166,0,0,32230,0,2518,787,0,3006,0,1156,0,2359,0,0,1007,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,3993,0,0,0,0,0,0,0,0,0,0,3296,3099,0,0,0,481,0,0
Some College But No Degree,53729,0,0,0,0,30544,0,0,0,0,10720,0,302,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,850,0,1767,0,0,0,0,0,0,0,0,0,4149,2057,0,2202,0,0,0,0
Assc degree-occupation/vocation,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0
Assc degree-academic program,6642,0,0,0,0,1652,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0
"Bachelor's degree (BA,AB,BS)",22470,0,553,0,0,19081,0,1919,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",5612,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,653,0,0,2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",4721,0,0,0,0,1739,0,0,0,0,0,0,507,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,123340243,2199997,243478,2082613,1288796,11270944,2155871,1465232,395768,287210,7257337,4377222,403634,703183,5033938,2897858,1412990,1172726,1989154,2019279,608906,2440054,2846177,4505696,2414902,1355867,2611473,472825,782290,1005181,621972,3460378,412107,7475823,4144193,348670,5147387,1419457,1647975,5541011,419982,2204354,367506,2957206,8020077,1286020,300396,3333715,2860645,872470,2547896,250402
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96171345,1567813,220679,1828582,1046516,7455004,1931337,1208546,291482,130988,5545452,2660797,142392,683839,3801133,2576345,1320473,1054654,1782564,1294354,597564,1522761,2371907,3707307,2151149,848353,2256332,466619,728369,772610,597353,2491163,373741,5382510,3043663,329091,4400403,1247048,1536203,4676747,369723,1555576,351908,2373098,5778075,1245912,291598,2387930,2382657,833428,2310755,246842
Children,15718355,265453,37379,292760,194141,1021412,352702,179471,39005,13580,726124,487313,16902,141492,630230,505047,232464,188074,329270,243214,94580,248613,350363,611999,379079,152189,416767,77046,128880,103912,92689,410014,47707,838583,503836,58321,760644,188414,227837,723229,41550,270394,63271,399780,1000354,291802,43810,376416,388391,144699,340778,46375
Less Than 1st Grade,81068,0,524,3558,2511,11331,0,0,1081,0,3019,1927,0,399,0,7447,0,1676,2466,2161,0,0,4810,6611,0,0,5453,0,684,1117,1487,0,620,0,0,216,6426,2295,0,2057,689,0,0,0,8082,0,393,0,0,0,1668,360
"1st,2nd,3rd,or 4th grade",105577,2635,0,0,2401,7223,0,0,0,0,13370,0,0,736,3744,3368,0,1152,2350,1217,0,0,7009,0,0,1425,0,203,1088,8353,0,1619,913,7713,5163,0,1912,2048,0,3715,0,1227,0,4584,7007,0,186,5188,0,1779,6101,148
5th Or 6th Grade,220043,1753,0,3554,4751,40860,0,3776,0,0,5462,11538,716,758,0,7761,0,981,11642,3301,1355,0,5176,7895,5975,3880,6865,329,740,3267,0,0,425,11222,11665,0,3099,5671,2387,1944,1061,6743,0,11667,10610,1841,446,14596,0,2593,1738,0
7th and 8th grade,1409516,45107,3791,22868,18200,57626,10374,13048,5947,587,68350,19888,964,7732,37850,49288,28650,15883,65071,34460,14967,37209,28620,35079,33138,15869,43646,6540,8827,8959,6205,29003,3808,59589,43990,4816,91068,25371,17878,79960,4991,29357,8876,56617,51753,11970,4448,29633,25936,30773,50613,4323
9th Grade,1708026,37147,5075,28520,31547,121062,35846,18576,6469,182,91979,29971,1055,12970,43091,62849,14508,14411,51891,33752,5664,27095,36504,70956,31797,20635,44708,7163,7842,6286,10422,28111,6695,77456,40670,5034,104487,27324,22444,113853,6289,24355,6079,42848,97097,22220,4345,50132,38808,33069,41810,4927
10th Grade,2250352,49054,2696,25952,36139,129518,25282,31429,6070,416,136299,68714,1277,25364,67997,99568,26818,19554,45810,41228,22385,43461,42293,69298,58721,33897,68220,12312,14460,12206,18334,53779,6498,104514,88793,4436,114880,22311,30451,116018,5097,17202,6942,72437,111392,23133,5465,74251,66893,32334,53696,5058
11th Grade,2325097,54191,8276,40898,34238,162788,22476,15406,9732,188,108847,91233,1170,17374,69265,58505,41833,20933,73257,30003,13071,21544,54728,117898,52876,20178,83524,8901,17465,22468,10916,27858,3334,108555,86783,10050,96249,30966,40183,106553,9304,41239,7079,71433,121891,37261,11186,45617,73934,32223,72747,6470
12th Grade No Diploma,958494,24646,2814,19338,14640,87377,16396,12808,2866,297,60573,23960,0,4027,33410,23722,6533,6868,23441,16043,3620,0,11779,36570,12242,10390,23153,1122,2733,10587,3457,18546,3325,57866,41653,3492,40987,18533,9567,34529,7963,17915,2188,21500,56258,13985,3147,21505,46372,8785,31543,3423
High school graduate-high school diploma,22728532,419748,52196,290749,282791,1251812,320084,273022,98655,2607,1443900,583763,27464,131104,891195,707294,324052,225116,529794,353711,182804,275332,518895,915851,488446,212786,634596,109590,160225,220629,154355,589627,84816,1219275,671235,85199,1167486,333959,332426,1460034,85484,300292,100488,630595,1255649,233567,87567,462399,516573,286463,676154,66678
Some College But No Degree,14276443,245280,40108,322857,183997,1286096,304703,146938,35683,4847,841152,350967,25349,136848,601262,382841,190041,188845,232258,183094,63448,208917,275805,689266,243176,145008,329656,86455,123374,130553,78175,328764,78353,629459,432068,44328,672665,206621,309437,540559,44489,254090,47416,342537,918073,201931,34360,320891,373328,92547,288071,39457
Assc degree-occupation/vocation,3478798,58402,4490,74325,38233,181124,81741,32880,6582,803,181956,99376,4399,28969,115082,88197,91837,48713,54938,55088,24115,41801,49626,103696,203323,39410,81703,23872,35027,20872,14448,71572,15057,175891,141543,20410,157423,28008,37875,160507,9388,82712,22736,68353,206041,43471,10429,47864,85396,24441,170234,14419
Assc degree-academic program,3926647,46767,8682,81103,39665,337261,67198,55745,9783,637,380685,76591,4298,20632,161525,77646,60100,58719,43427,21901,22674,33468,106896,156811,107411,39821,63847,14592,28742,44674,24268,103590,12833,287725,130634,14519,176658,49530,74799,200764,20856,64168,13266,69521,179731,53278,8167,70351,82120,21943,84983,11642
"Bachelor's degree (BA,AB,BS)",17160416,183381,37422,411729,113036,1741680,463487,267931,39838,52749,939088,546554,32944,95039,699901,328194,221634,181497,184487,174433,93024,356055,488241,505457,372406,111953,320829,81934,151868,114995,126630,536503,53355,1061317,535767,55710,635527,208177,291371,761038,80113,306640,55533,372024,1164382,206045,51826,466837,405462,78917,367048,28408
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6600037,73209,12606,142658,34387,608449,166937,108930,18551,30593,398581,176743,13925,40746,319265,129651,44587,59110,87228,51007,37498,149729,267966,249112,114087,26093,97264,24808,33406,40408,41113,176868,35297,480146,205394,16765,254789,68123,97046,253188,42130,88587,10109,146130,409913,77873,19571,290742,206213,27064,86294,9148
"Professional school degree (MD,DDS,DVM,L",1475392,26535,1581,36913,3497,155379,31858,19445,4403,14437,75010,46372,5564,9559,56647,13654,15998,9759,25178,21583,8329,38556,42374,70639,17633,5976,18319,5766,3390,10263,3290,67381,9198,144360,30113,3160,66138,13588,18943,59485,4494,35539,3224,17253,77190,8485,4059,54458,23655,6730,27182,2850
"Doctorate degree (PHD,EDD)",1748552,34505,3039,30800,12342,254006,32253,29141,6817,9065,71057,45887,6365,10090,70669,31313,21418,13363,20056,28158,10030,40981,80822,60169,30839,8843,17782,5986,9618,13061,11564,47928,11507,118839,74356,2635,49965,16109,23559,59314,5825,15116,4701,45819,102652,19050,2193,57050,49576,9068,10095,3156
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18388297,611759,10386,141464,212819,1036171,112749,170365,88419,143135,1439900,1509694,12681,6462,857461,266871,54882,88244,170549,688274,6984,768920,237523,618508,177201,499294,282629,4159,31948,125486,9988,502999,24131,1266184,977568,14138,628351,137506,39837,624955,30378,596631,10177,523103,1597300,20248,4479,694471,131138,33041,144051,2686
Children,4229158,139513,1665,31823,53131,215931,13982,28245,22185,28196,331224,369375,2615,1871,181330,77024,21805,16087,30844,174679,2342,167423,51600,150532,58355,126325,82251,570,7015,21240,3588,118831,3433,252544,227762,4276,153927,35026,10211,124542,5066,140260,1209,117135,404522,8502,1689,149082,16483,2072,38887,933
Less Than 1st Grade,40131,2060,0,0,0,3440,0,0,0,409,6223,5643,0,453,0,0,0,0,0,1227,813,0,2426,0,0,556,0,0,0,0,0,0,0,5705,0,0,0,3317,849,0,0,1121,372,0,3494,0,0,2023,0,0,0,0
"1st,2nd,3rd,or 4th grade",45792,3357,0,1827,1279,0,0,0,0,0,9060,1699,0,0,0,0,0,0,1236,4215,0,2124,2217,0,0,330,0,0,0,1233,0,0,0,2085,2123,179,0,0,0,0,0,1331,0,10027,0,0,0,0,0,1470,0,0
5th Or 6th Grade,98778,3364,0,0,1067,2291,0,0,0,451,8303,7351,0,0,2369,0,0,0,0,5105,0,4201,3701,3066,1378,3823,0,0,0,1233,499,4571,0,13602,8305,0,0,0,1414,2530,0,6175,404,2731,3268,0,0,7211,0,365,0,0
7th and 8th grade,339661,2901,690,0,3258,12464,0,6490,386,2411,22469,21825,0,594,9846,0,0,2076,3943,21354,0,4326,11175,11692,2770,9386,1957,0,0,3187,0,16531,0,19915,27488,1677,21590,5970,0,13776,865,6474,663,3754,22306,0,226,31725,0,3390,8111,0
9th Grade,414143,13663,0,0,7022,10532,0,9110,1518,1021,33868,25534,349,0,15948,6328,2174,0,3610,18607,0,16041,1390,15251,6756,18509,10682,190,2027,4493,310,8170,432,13370,16255,0,13765,6447,0,24758,1555,27035,178,12943,42972,0,0,15955,2484,1174,1527,190
10th Grade,670482,27272,0,14496,15946,21487,1936,9707,1709,3433,53218,64546,0,0,25405,5602,3586,7541,5777,35217,2530,27562,4826,13700,7970,27859,7373,152,3261,2983,402,13168,619,20612,39419,321,11264,5569,0,29836,1341,39813,551,13592,47102,0,0,38179,4542,1341,7717,0
11th Grade,750066,24317,0,6420,13157,31927,0,8343,5757,6189,57815,79242,423,605,39293,1947,3290,3382,4640,43665,0,30297,8495,28275,6962,30749,11410,0,1277,2294,1187,12806,561,40779,31467,583,35196,5752,1981,31334,0,38858,243,21870,46974,0,0,19256,10368,432,0,248
