Source: CPS Annual Social and Economic (March) Supplement 201703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,307246384,4723500,520538,6533301,2841559,36677084,5265756,3447818,924030,663964,20153724,10013265,885283,1633485,12345594,6347244,3032899,2700645,4282531,4468848,1267076,5719492,6593674,9645638,5204958,2876446,5679136,959933,1831953,2731284,1288192,8732108,1712919,18913349,9642996,688501,11049318,3271952,3886572,12207872,1003885,4821665,759300,6485275,26799634,2943268,605888,7894060,6694278,1779252,5547890,547552
 -> Total -> Total Male,150457739,2286867,264157,3197273,1386408,18237195,2649673,1716516,448322,317497,9749885,4859937,432823,813315,6047829,3093831,1506122,1354150,2099467,2141873,626463,2744689,3199789,4749628,2569360,1385099,2753547,488027,911470,1370637,637064,4241404,846025,9085942,4668581,358500,5372802,1627978,1931888,5924792,493160,2317866,385983,3146593,13151009,1490371,303146,3797244,3324922,884988,2788433,277199
 -> Total -> Total Male -> Total Hispanic,27117496,86870,20679,1114660,97612,6966251,493802,251284,52554,30287,2492548,482715,29189,110132,1013891,195973,93132,181424,110313,122594,17557,304635,353612,243932,154458,29232,142074,15202,129180,365456,15092,781026,433918,1610119,524388,9830,225415,208521,283913,383781,73178,113512,18477,189387,5130932,204351,2750,463529,464277,12518,240537,26797
 -> Total -> Total Male -> Total Hispanic -> Total White Only,25545668,86870,16992,1105075,95242,6694946,481428,215377,48531,24182,2304603,456449,18250,109699,983964,194149,85350,178958,102865,102446,14707,229123,303498,228169,151637,27973,134639,15202,117316,347524,14166,691938,427945,1313812,486347,9830,190416,204926,283026,331501,63861,99336,18477,178841,5057657,193046,2304,406651,441584,11559,217952,25329
Children,6802954,36609,4834,294181,24548,1764802,122451,58488,13503,5019,489216,141573,6021,34937,250785,39878,28220,58625,25493,25908,5087,94573,95413,51940,41763,11264,46877,6321,46824,94824,4485,157080,105174,292949,160578,4123,57701,65328,84652,89879,16414,24665,6806,43030,1386394,58749,1262,121930,129537,3050,60030,9161
Less Than 1st Grade,184118,824,0,7157,2192,69218,1820,1342,0,373,9870,3540,0,0,7210,1300,0,981,2560,2753,0,12302,0,1607,0,0,0,0,0,1436,0,3077,721,1559,1207,0,0,2892,830,0,0,0,374,1233,39789,0,0,3139,2812,0,0,0
"1st,2nd,3rd,or 4th grade",515260,0,401,27769,3667,162487,4804,1644,1237,797,17611,7216,294,3694,32150,1525,1097,1453,1440,5400,1140,3430,3451,1564,8144,420,3299,0,2237,3081,0,4585,2520,23600,16140,164,1575,4182,8518,11794,577,1149,330,6779,108870,0,0,10883,7405,0,4561,176
5th Or 6th Grade,1183066,6842,188,28751,4721,407625,15716,6321,2705,913,59828,30839,316,4116,59793,13010,5490,9788,5123,3822,0,5804,10570,9689,12837,695,0,334,5721,7830,331,28266,18305,46570,21962,225,6147,14657,20112,5487,2732,4766,249,9410,231190,6882,0,16253,21009,0,7783,1343
7th and 8th grade,885468,1955,557,34522,3074,229953,6974,5944,3203,472,38765,15969,0,5021,50829,9120,3837,6393,8894,2875,0,7487,10772,4154,4353,392,9185,660,7483,6001,287,25538,11383,54088,18800,186,4931,7388,13785,8880,3984,4507,737,9050,188672,8245,0,11987,15847,813,16893,623
9th Grade,1078598,5748,204,55322,6645,262817,13863,11379,2692,1029,77248,25842,347,5533,26159,17559,5324,10581,6119,4902,676,7357,7141,4686,5105,0,7261,656,3551,14623,1274,24068,14588,51278,26124,404,2727,7186,19409,9836,3578,1412,1575,8450,266777,4820,0,13592,19203,666,10615,647
10th Grade,938069,1712,981,35812,1706,243386,8960,10738,1498,328,58667,22280,350,2848,29899,4005,0,7246,5629,1599,0,4718,12522,13790,2867,2159,4505,157,4128,14739,352,24582,17439,55391,13323,173,6573,5419,12734,15722,1837,897,1824,4451,229166,6819,0,20083,20986,561,1753,755
11th Grade,949528,3672,449,55418,6735,259005,25496,10916,2789,835,74380,22584,329,4809,27907,4793,4703,7863,1724,3611,629,3150,11187,6544,10004,0,4724,513,4705,9597,422,16711,24172,54443,12156,665,9156,9211,1118,21209,2582,5167,532,0,164164,9295,0,11190,27430,1726,7356,1752
12th Grade No Diploma,646978,0,0,27937,2324,232375,9211,7352,1952,162,59446,11880,904,2083,8033,6311,992,3623,0,2434,683,1665,2501,11176,6100,966,0,0,0,6454,0,8850,8595,21410,10461,165,1532,4910,5844,0,1593,3790,833,2640,141134,2344,0,5384,15726,0,4554,649
High school graduate-high school diploma,5868892,16469,5891,250663,22480,1456835,141202,49280,9852,3572,577360,78887,1941,22330,245338,44129,19236,38637,16709,15547,2189,35723,75434,56971,25133,5657,29486,2403,20963,112541,4335,187133,114566,324597,115941,1636,59741,51265,49153,88546,13715,21212,2084,63362,1119237,43947,0,61079,104166,1176,53515,5628
Some College But No Degree,2937771,8957,2101,175769,10226,863216,57331,14521,4416,1893,227992,21650,3557,12171,102741,27657,8067,10970,17566,14429,3124,15822,33347,33858,16329,3021,11845,2703,10298,41309,330,84758,53739,125261,27885,1630,24008,10551,29496,38615,11396,12190,1692,10757,606286,26653,418,57330,31789,1812,21229,3060
Assc degree-occupation/vocation,486889,725,0,16132,1178,137679,14550,6573,698,187,59921,1539,384,2931,20717,4102,2013,6147,1975,745,0,0,4635,1266,6262,0,1682,169,0,8077,0,7862,9080,17425,10464,0,3913,3049,4131,8964,433,3504,0,1886,86116,4146,0,6439,9286,0,9534,370
Assc degree-academic program,643202,886,219,23621,2215,146506,11891,3016,1040,0,129056,8309,342,3725,28453,5371,2008,4312,1707,6243,0,1877,4074,12206,0,1612,0,169,701,8022,820,32618,7572,51981,9856,0,3824,0,10579,4126,2021,0,0,0,98489,2762,0,3545,6302,571,0,555
"Bachelor's degree (BA,AB,BS)",1764910,2471,815,59048,2359,356738,29764,22976,2129,3961,266097,47172,2580,4388,85166,13917,4363,7760,6515,9055,0,23504,20089,11511,10982,624,9475,961,9603,15154,1225,79835,24146,135305,31196,233,6021,16516,18169,15616,2293,7606,1441,12175,293232,10580,624,42201,18513,1184,17327,295
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",497674,0,142,7945,1172,70020,15548,2428,610,3218,116473,8772,334,1113,8784,1472,0,2929,1411,880,575,10301,6194,7207,1758,1163,4745,156,558,3049,305,5186,11162,46074,10254,226,2567,2372,2357,8538,706,7325,0,3169,84663,5530,0,16617,10157,0,1330,179
