Source: CPS Annual Social and Economic (March) Supplement 201403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,301445380,4735276,552590,6020281,2750340,36191633,5069141,3588156,895883,615967,19124001,9458307,750092,1542205,12361476,6417809,2993831,2567566,4344217,4456005,1306484,5767711,6468345,9883212,5155033,2861611,5768424,902499,1813012,2505131,1270932,8518618,1878271,19065200,9348141,644765,11018563,3079975,3698247,12597740,975732,4572411,742635,6045015,25449626,2818803,610039,8082167,6394074,1745343,5466421,556424
 -> Total -> Total Male,147631192,2310718,283004,2922549,1311601,17909848,2534698,1787211,425807,291065,9350940,4564355,378131,773849,6004053,3189318,1487811,1218335,2216429,2162520,645462,2839857,3185812,4939934,2542942,1344981,2811938,429581,907480,1267948,629932,4089313,935295,9125098,4511665,329312,5311468,1477932,1845140,6229976,474703,2172553,368213,2867986,12550646,1406558,307991,3967298,3207050,846521,2650772,287593
 -> Total -> Total Male -> Total Hispanic,26010089,136153,24222,1079273,74892,6777580,490667,274222,40272,35912,2037985,599781,13284,99470,1059326,161006,82812,136886,90620,113881,9589,259187,205057,232864,129387,17624,66564,22371,125145,322198,31299,889588,543873,1695567,404384,16522,220647,131680,252463,375704,46635,60530,23906,226370,5294378,258314,5424,321188,315550,0,150648,27189
 -> Total -> Total Male -> Total Hispanic -> Total White Only,24500208,136153,20147,1033885,74892,6583474,459574,222831,28834,29107,1896722,510521,12345,99470,1022070,161006,82812,117373,90620,113881,9589,245504,148988,232864,120250,17624,53948,22371,121878,318440,27752,704395,540644,1397889,369226,15704,220647,121358,252463,295366,35964,50901,23906,226370,5184265,258314,5424,296275,315550,0,143433,27189
Children,6658210,37171,8201,295157,30510,1762303,149116,61595,7683,4310,330484,100165,2617,24764,287618,56252,21839,35758,28183,18964,2734,59585,53836,41394,36552,9887,7837,10371,44978,101783,10774,195071,124507,357728,96592,1009,62706,25250,93575,98740,5954,7795,8106,99536,1567687,71466,2616,72929,75367,0,43716,5439
Less Than 1st Grade,220690,5305,0,0,0,43756,3491,0,1157,0,7415,4266,0,1562,58195,0,0,3105,0,0,0,0,0,3525,4198,3814,0,0,0,0,0,0,0,0,6039,0,0,0,0,9032,0,7528,869,7048,50385,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",582069,8054,0,0,6240,126266,3208,11096,853,1686,38592,53704,0,6489,16550,8525,4694,0,6213,0,0,4923,0,0,0,0,0,0,2304,4483,0,19526,11398,0,40223,0,22785,4153,2957,11806,3848,0,0,0,132657,0,0,5908,6932,0,15996,0
5th Or 6th Grade,1357334,21860,0,55877,5959,322956,26104,21125,1080,4529,120249,73023,0,6576,28420,11694,1755,4197,27099,9103,0,36703,0,9507,10255,0,0,0,4139,16582,1326,14057,6447,22822,33640,0,12658,0,25738,17904,0,0,529,12603,297733,9986,0,54057,22676,0,4736,1630
7th and 8th grade,985593,0,579,20775,4348,306534,14869,3566,4246,589,67031,15432,0,3507,55120,0,0,4687,4369,0,0,15696,0,9837,4169,0,10283,1965,3401,6061,0,23279,30745,46614,29719,0,9450,8140,20936,9418,2642,4670,983,7704,192448,18124,0,13880,3040,0,5700,1037
9th Grade,987371,0,0,43320,0,231171,9933,7568,0,886,33666,46532,0,7097,63672,14434,0,15236,10545,0,1231,17508,0,14263,0,0,5504,0,8806,22941,0,15284,4170,49397,6226,0,4931,7348,20071,28461,1292,12970,5227,14827,223144,6102,0,26728,6415,0,0,465
10th Grade,1059562,11424,0,40878,15618,307835,18827,12279,1319,0,49426,49794,0,7273,39445,0,3888,1657,3869,0,0,5087,0,22325,7591,0,5857,0,2463,9342,3725,0,19960,47689,23880,542,0,19072,0,0,4527,0,983,0,281430,5043,0,14078,16383,0,3852,2201
11th Grade,1009257,20652,0,80400,2318,246592,9405,10518,1173,0,86801,8950,0,1657,52575,6142,0,4907,0,0,0,5491,6789,14427,3536,0,0,0,4651,7318,1335,56464,30392,77153,17273,1133,13482,0,7970,5972,2180,0,0,0,195591,11346,0,5605,7227,0,0,1832
12th Grade No Diploma,535482,0,0,22433,0,190815,0,9717,720,0,45158,26601,829,3034,0,0,8181,0,0,18598,0,2379,0,0,0,3923,0,0,1920,11021,0,28036,4736,48087,0,0,0,0,5888,0,1028,0,0,0,72859,9020,0,4469,15169,0,0,861
High school graduate-high school diploma,5325082,12655,8026,192633,5089,1463548,117906,55900,6234,2869,497353,97442,2567,10115,211911,57711,27344,33482,7597,24196,3141,31318,60662,26796,21619,0,9562,5073,30100,67513,3522,181014,144351,304936,69167,9658,68163,21722,38446,50705,4344,13811,6135,71357,1031640,72693,0,38095,45987,0,52043,6931
Some College But No Degree,2856743,0,3341,154225,4810,939887,34342,12220,0,1815,128613,18053,3769,24362,109974,6248,12468,9504,0,28797,1211,30672,8631,47880,17728,0,6350,1415,9509,37562,0,49865,91149,152747,28538,1981,14328,12653,18388,21009,3594,0,0,5520,657146,35869,597,33463,66002,0,7847,2661
Assc degree-occupation/vocation,416802,11641,0,51062,0,69845,12156,0,0,0,45278,0,1497,0,14201,0,2643,0,0,0,0,0,0,6666,0,0,4333,0,8220,6088,0,16113,10937,16175,0,1381,0,4798,4373,8868,1523,0,1074,0,102271,0,0,0,11270,0,3649,740
Assc degree-academic program,574195,0,0,26298,0,148889,22319,2307,0,0,130961,0,0,0,6167,0,0,0,2745,0,0,4594,0,9457,3396,0,0,0,0,15100,0,6671,19501,62877,0,0,0,14020,0,0,994,4127,0,7775,64071,4072,978,0,16322,0,0,554
"Bachelor's degree (BA,AB,BS)",1427803,7391,0,50827,0,312961,34483,11090,3065,6915,211195,5192,1066,3034,71963,0,0,4840,0,14223,0,25039,12300,19253,6875,0,4222,3547,0,8330,2698,58851,37382,174130,5840,0,6297,4202,10799,22407,0,0,0,0,240519,14593,0,8826,16175,0,5894,1379
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",267686,0,0,0,0,77932,3415,3850,0,5508,41244,11367,0,0,6259,0,0,0,0,0,0,2620,6770,0,0,0,0,0,1387,4316,2329,19041,4969,18685,0,0,0,0,0,0,4038,0,0,0,27675,0,0,18237,6585,0,0,1459
"Professional school degree (MD,DDS,DVM,L",119868,0,0,0,0,24692,0,0,0,0,55070,0,0,0,0,0,0,0,0,0,0,3889,0,0,0,0,0,0,0,0,0,8817,0,8974,12089,0,5847,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0
"Doctorate degree (PHD,EDD)",116461,0,0,0,0,7492,0,0,1304,0,8186,0,0,0,0,0,0,0,0,0,1272,0,0,7534,4331,0,0,0,0,0,2043,12306,0,9875,0,0,0,0,3322,11044,0,0,0,0,47009,0,743,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1286218,0,4075,19595,0,77357,31093,51391,11438,6805,81951,89260,0,0,28430,0,0,15312,0,0,0,13683,56069,0,9137,0,12616,0,0,0,3547,185193,3229,297678,35158,0,0,10322,0,80338,10671,9629,0,0,110113,0,0,24913,0,0,7215,0
Children,384977,0,3446,19595,0,29472,0,16388,6024,1401,50037,55212,0,0,15782,0,0,6326,0,0,0,4138,0,0,0,0,0,0,0,0,3547,38785,3229,51355,0,0,0,10322,0,31247,1436,0,0,0,37235,0,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,51094,0,0,0,0,9367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,0,0,0,0,12616,0,0,0,0,13559,0,10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,94030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32614,0,43486,0,0,0,0,0,0,0,0,0,0,17930,0,0,0,0,0,0,0
9th Grade,121201,0,0,0,0,0,4473,3194,1040,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64210,12317,0,0,0,0,9959,2291,0,0,0,22696,0,0,0,0,0,0,0
10th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,70709,0,0,0,0,0,9661,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30453,0,0,0,0,0,20818,1452,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,24402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,238874,0,0,0,0,13593,9661,14686,1807,0,31914,20558,0,0,0,0,0,0,0,0,0,0,48573,0,0,0,0,0,0,0,0,9784,0,32240,0,0,0,0,0,18314,5492,0,0,0,32252,0,0,0,0,0,0,0
