Source: CPS Annual Social and Economic (March) Supplement 201403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some College But No Degree,143201,0,629,0,0,17767,0,4167,2567,1005,0,0,0,0,0,0,0,4542,0,0,0,4076,7496,0,3355,0,0,0,0,0,0,23288,0,27414,12353,0,0,0,0,0,0,9629,0,0,0,0,0,24913,0,0,0,0
Assc degree-occupation/vocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,13961,0,0,0,0,0,0,4631,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",83913,0,0,0,0,7158,7298,0,0,1246,0,13490,0,0,0,0,0,4444,0,0,0,0,0,0,5782,0,0,0,0,0,0,13281,0,13511,10488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7215,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",59856,0,0,0,0,0,0,0,0,0,0,0,0,0,12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29480,0,17728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,223663,0,0,25793,0,116749,0,0,0,0,59312,0,939,0,8826,0,0,4201,0,0,0,0,0,0,0,0,0,0,3267,3758,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children,102477,0,0,19216,0,32491,0,0,0,0,37859,0,0,0,8826,0,0,0,0,0,0,0,0,0,0,0,0,0,3267,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,939,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,40192,0,0,0,0,28650,0,0,0,0,7784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some College But No Degree,20828,0,0,0,0,20828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",41357,0,0,6577,0,34780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",13669,0,0,0,0,0,0,0,0,0,13669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,121621103,2174565,258782,1843276,1236709,11132268,2044031,1512989,385535,255153,7312955,3964574,364847,674379,4944727,3028312,1404999,1081449,2125809,2048639,635873,2580670,2980755,4707070,2413555,1327357,2745374,407210,782335,945750,598633,3199725,391422,7429531,4107281,312790,5090821,1346252,1592677,5854272,428068,2112023,344307,2641616,7256268,1148244,302567,3646110,2891500,846521,2500124,260404
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,96031788,1552712,238313,1582583,1032836,7562458,1885856,1215186,294112,112182,5620100,2434831,137309,651183,3887663,2712891,1309648,969110,1956883,1355487,617349,1614043,2547045,3944816,2068809,802598,2414348,403928,721421,713744,576099,2463855,377172,5317156,3055147,298876,4413727,1176974,1494729,5114525,356830,1500208,332516,2136443,5208098,1078830,297671,2666506,2464166,814954,2269775,258087
Children,16096916,300474,38442,249294,192087,1131104,275739,177622,45976,10222,862643,433137,7765,143724,691643,524920,229619,193726,385515,250716,100409,256971,369866,667532,339658,161922,481071,70600,120281,100449,94783,374794,42429,847684,539603,48885,809050,188286,208939,830457,42049,257775,62988,371811,765426,290913,45142,450889,409401,127325,427773,47387
Less Than 1st Grade,130845,0,0,0,0,38134,2134,0,1393,0,0,0,0,3703,0,0,0,0,5226,7539,0,0,0,0,4727,0,0,0,0,4330,1960,0,0,13536,0,0,8478,0,8199,0,0,0,0,0,12596,9281,1696,0,7913,0,0,0
"1st,2nd,3rd,or 4th grade",178819,0,0,0,0,20422,0,5054,0,0,25468,14119,0,0,5225,0,3314,0,11235,0,0,3377,13280,12869,0,0,0,0,0,0,0,0,0,6987,0,0,0,0,4212,0,1593,25839,0,16129,0,2344,1113,0,0,1847,4392,0
5th Or 6th Grade,157880,9481,1271,0,0,34383,2772,3044,0,0,0,0,0,0,7281,0,0,0,8677,0,0,0,9377,0,0,16024,0,1958,0,0,0,8179,4058,13384,0,0,0,0,0,17904,0,0,858,13500,0,0,0,0,0,5729,0,0
7th and 8th grade,1763014,58743,2636,15409,22009,36183,43092,13975,7061,0,48819,76283,0,15277,52495,84010,39981,9186,46092,28155,20437,30249,34726,83680,23264,34955,75832,5945,10759,1737,12352,58134,5052,38422,42461,8437,185912,19487,22054,66759,3023,18685,3758,97956,87021,9111,4076,88089,13051,31532,19503,7149
9th Grade,1679244,6792,2725,31262,29324,39237,37568,5664,6565,0,94254,46541,2837,17208,21321,50950,24109,15046,16491,30569,8593,39523,70858,81519,23858,51149,42732,8904,11979,15488,13067,21286,4131,112192,27998,3309,61408,11186,36677,125501,14943,51636,5123,59649,98783,16385,4404,61360,33368,42840,38749,2183
10th Grade,2310645,26106,2439,23854,46155,183264,31839,18273,10421,380,124839,85645,770,8549,88260,91650,50151,6181,69190,25646,20771,47818,96068,113713,34570,49892,96648,9849,16128,11603,13611,54781,0,47054,100660,3002,97765,55841,25238,115016,15874,30301,13307,65976,77270,19741,9223,61475,42715,32746,36415,1962
11th Grade,2288134,41431,4268,25815,40564,119366,25089,30126,5904,0,91817,65592,0,22201,58279,131107,30216,23133,41914,12732,15511,41370,51885,112050,50496,33115,74774,12995,19517,20564,12375,65733,10643,126077,74954,4740,119084,38742,32675,97690,8626,61993,6271,51412,134935,28260,4741,45865,59739,29058,66931,5759
12th Grade No Diploma,849595,0,5636,19837,5904,57647,17180,10360,3312,0,57043,6138,0,10068,68643,28298,1554,2924,27538,0,4670,4575,33050,0,13692,9363,0,0,10041,4546,5000,18052,11828,93464,26201,1362,15532,27228,26076,44051,2281,0,1870,21147,46128,15335,2255,0,62568,13443,12281,1474
High school graduate-high school diploma,23397549,463270,61824,299413,325300,1274017,285192,309870,63501,3347,1475596,510205,25605,153595,930302,672075,337422,261333,647724,338941,182153,336760,468467,931680,451461,133125,617759,107983,159119,189352,146825,614496,65289,1149514,948175,68121,1363834,334120,346130,1602444,85455,431407,80036,535497,1118279,139944,99189,693229,577575,263477,648364,69758
Some College But No Degree,14816155,241585,50649,379151,152090,1582259,327433,159635,38195,5407,784773,386288,32648,92688,620969,401689,241008,160428,269947,217152,98270,181876,467111,725895,320740,95261,410503,52321,91780,121560,66450,286544,62824,854450,474375,48830,563769,156154,304232,534099,42233,215229,45930,305152,839701,194695,39543,326268,336017,65372,290599,54378
Assc degree-occupation/vocation,3297410,48393,11130,31667,56177,198610,64386,39619,10740,1276,133478,70869,3816,20629,164085,144040,70471,12651,57382,60850,25008,41802,24577,122488,227355,51792,90257,16036,39916,10210,19905,28519,19488,166647,131279,24544,167747,62125,40392,171344,6261,33510,26850,37130,215953,27792,6511,39570,58078,10051,142807,11197
Assc degree-academic program,3599541,45912,4780,52149,15011,307746,73572,12387,12200,0,384812,107478,3825,15303,67982,47770,31432,14851,33070,23412,16065,35400,93229,115966,90092,36633,58971,4724,44415,30989,33714,72770,32005,207328,64060,14708,166525,30935,63932,273385,15150,47188,6864,96995,184098,66231,7912,161607,159820,54053,47526,12559
"Bachelor's degree (BA,AB,BS)",16124774,155665,32952,296931,118419,1425105,396048,280927,56060,52956,1042189,444942,32389,95194,708662,317808,196688,161787,222217,245657,75338,376664,490546,550019,313272,85280,299602,87706,144131,121886,101530,503886,47000,973955,448076,58352,570492,170929,244060,840859,63751,223873,53119,248862,1138320,171244,45449,431198,449974,79409,400928,32468
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",6114129,73458,13066,105312,17337,676448,213407,107353,16635,21339,268312,120771,20329,30111,305630,96847,42236,82024,89298,74575,38245,141377,173370,284498,114524,29675,107611,19606,35901,40320,39626,241563,60384,514316,109990,11220,179064,51155,97871,250599,40247,75558,14862,136287,311817,61384,13453,229561,179761,43692,85032,7072
"Professional school degree (MD,DDS,DVM,L",1429473,64310,1816,0,4690,167495,54714,21788,6537,10791,151099,38653,2720,13569,22971,33313,4156,15099,18459,10276,3945,36745,53843,61877,32741,8901,17392,1424,5930,17543,8205,52717,8177,41243,32429,1340,76883,8462,9366,102426,5617,6615,2286,18809,59873,16921,7448,58185,18305,4722,3223,3424
"Doctorate degree (PHD,EDD)",1797665,17092,4679,52489,7769,271038,35691,19489,9612,6464,74958,28170,4605,9364,73915,88414,7291,10741,6908,29267,7934,39536,96792,81030,28359,5511,41196,3877,11524,23167,6696,62401,3864,110903,34886,2026,28184,22324,24676,41991,9727,20599,8394,60131,117898,9249,5516,19210,55881,9658,45252,1317
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,17692138,587541,10465,133746,190231,1043800,77007,155625,72418,137199,1430108,1368522,14056,8367,853851,268399,41009,68207,150608,651369,11648,802540,205287,646406,158561,487086,292022,3282,40822,122369,9994,320148,10170,1242965,933074,6871,639363,122211,43199,607603,32871,568211,8066,483806,1480611,26526,3114,769892,151735,31567,167590,0
Children,4273623,134045,0,46008,49321,202990,40961,32123,16517,28879,326244,319594,0,0,204472,74230,17792,28280,8663,200431,0,170501,66101,152894,49320,141005,82171,0,17145,15283,0,56880,3932,278526,246277,3264,171445,49661,10727,136688,9858,144554,5282,126906,353488,0,1062,172030,46557,10950,20566,0
Less Than 1st Grade,45223,0,0,0,1506,0,0,0,0,0,10559,0,0,0,4500,0,0,0,0,0,0,2038,0,8427,0,0,0,0,0,0,0,0,0,0,0,0,0,8529,0,0,0,0,0,0,5692,0,0,0,3972,0,0,0
"1st,2nd,3rd,or 4th grade",47771,0,0,0,0,7664,0,0,0,0,0,0,0,0,5475,0,0,0,0,3928,932,0,0,0,0,4896,0,0,0,0,0,0,0,7034,0,0,0,0,0,4423,0,0,0,0,13419,0,0,0,0,0,0,0
5th Or 6th Grade,117842,0,0,0,0,0,0,0,0,1166,17375,5726,0,0,0,0,0,0,0,0,1021,2769,0,0,2531,0,0,0,0,0,0,4997,0,61135,4829,409,11273,0,0,0,0,0,0,0,0,0,0,4611,0,0,0,0
7th and 8th grade,337631,14171,0,7925,0,6221,0,1383,2855,3182,81535,51070,0,0,14764,0,870,0,0,15523,723,12894,5032,10707,3887,13553,0,0,5116,0,0,0,0,4882,23147,0,9933,0,0,0,0,12951,0,15744,19563,0,0,0,0,0,0,0
9th Grade,440004,19390,2875,3815,0,30568,0,2029,1303,2686,78384,39010,0,0,10268,0,0,0,10251,0,0,34286,0,4417,2709,8893,6780,0,0,0,0,12015,0,29227,43254,0,17445,2696,3674,12016,1858,12068,0,2746,23966,0,0,13161,3615,0,4599,0
10th Grade,626875,12768,0,0,14515,46363,0,3573,1561,5049,32122,42948,0,0,23517,0,0,2505,5467,16483,0,27472,0,62000,2645,25527,0,0,2229,2360,0,12342,0,22462,54978,0,8038,0,0,38778,1149,63408,0,11365,45193,0,0,22035,4150,0,13873,0
11th Grade,953457,34710,651,5920,27986,26217,8898,11858,3845,6527,119546,37230,0,0,53624,11573,8035,3502,5437,53409,697,40844,25234,35839,5306,39771,8146,0,0,0,0,45179,0,83774,40925,0,29718,3526,3674,5059,1474,25498,0,22576,61099,0,0,43528,0,0,12622,0
12th Grade No Diploma,323349,24271,0,0,0,8051,0,1400,3407,1475,22591,16046,2135,0,33593,0,0,0,4469,0,0,3741,6875,15600,4845,21371,10585,0,0,0,0,7654,2062,25767,15702,0,12252,0,0,31067,1198,20059,0,0,17823,0,0,9310,0,0,0,0
High school graduate-high school diploma,4575133,205952,2116,37263,55218,213570,11993,36803,17453,22399,345428,385394,7164,6326,179871,117042,4142,16998,67282,202526,3700,189402,37055,222036,34910,134305,77631,0,6359,36769,4287,62418,2225,253265,253117,1639,215909,22745,11885,187007,8353,171200,652,142731,302014,0,0,168365,31683,13673,44858,0
