Source: CPS Annual Social and Economic (March) Supplement 202103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th Grade,1075126,972,0,43308,4698,292047,23834,4582,986,846,65095,19584,301,8174,40988,3398,9948,6208,1684,6277,0,17751,7578,9718,5382,0,4055,0,6221,13712,943,19316,15661,74176,27729,337,10317,7613,4740,6150,2372,6521,0,6774,263300,7725,0,6835,9381,0,6696,1193
10th Grade,856902,1971,0,53131,8295,199628,12386,17302,1658,578,57865,21860,676,3123,48006,4064,4978,7482,3579,2818,0,1617,8422,12943,1702,875,4329,291,2826,3706,1193,12585,11687,44973,22351,207,4928,9912,5332,16016,1330,1117,283,7932,195365,6637,0,11029,9466,0,7480,968
11th Grade,929631,4944,193,33782,2221,232504,9680,6007,829,325,85643,31708,0,5258,22445,9617,7491,9332,6817,8182,0,1392,8505,5812,2438,0,5003,511,5420,11810,461,12711,16881,71907,19855,510,10356,12336,10168,14282,2413,4186,265,9390,182937,4044,0,9921,21018,387,7317,417
12th Grade No Diploma,774494,872,212,38761,1351,248686,15041,1365,289,0,34793,14453,514,3543,3016,13044,5790,3217,0,0,0,2382,3615,4099,6255,1680,13281,633,2222,3081,0,17756,2864,31838,13112,250,0,7365,5124,6395,3915,1121,0,34798,182326,10963,0,5654,23789,0,3601,1428
High school graduate-high school diploma,6589985,14916,5369,265622,40473,1782665,116286,64888,8545,4515,721285,84935,6324,27996,228225,46942,32787,35891,12190,25117,688,42499,63115,37042,43989,7185,28903,2853,17679,107216,2017,180657,101681,353874,115617,3427,73803,77490,49050,118028,14372,33081,3490,66974,1214197,32908,447,70762,103486,1504,87395,9585
Some College But No Degree,2844171,6213,2583,129022,10513,894307,49087,25559,2869,1286,271753,27069,6026,8936,126011,6981,8419,12416,4358,12004,0,8130,9383,21725,8362,9623,16064,2567,9976,42838,2604,67646,52316,118305,52249,2038,41255,15364,24491,32308,4039,7567,409,14316,535902,19079,0,48924,42494,5212,20902,2671
Assc degree-occupation/vocation,665113,4300,238,35995,2045,146947,14568,12288,0,217,108026,8178,0,2670,26472,0,0,2643,4685,3219,0,3586,3685,4110,0,1604,1936,194,358,14469,0,8410,11190,24387,14576,1053,0,3222,6041,2044,2424,5691,361,6777,153448,0,0,4460,6949,0,11480,167
Assc degree-academic program,783087,5073,1007,41120,629,200705,2307,6307,1455,0,144137,16509,1527,2407,17336,2044,2103,3899,5949,1732,0,2178,9902,5191,1788,0,3952,497,575,9158,1107,22919,12822,25941,9885,451,3406,3142,997,6687,535,3149,0,9703,166853,2311,0,10913,12614,0,0,165
"Bachelor's degree (BA,AB,BS)",2204243,4332,1733,84698,6756,518799,28152,21190,1430,4900,405452,28196,3983,3621,82823,15909,5028,8862,3237,10828,743,17684,17112,13299,3187,1984,14144,865,8020,26039,331,112853,23971,122581,48226,209,11404,13639,14244,17889,4201,9918,0,17154,378237,13724,398,28057,26224,836,16178,963
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",665408,1788,502,31084,1367,131103,26369,6171,367,2189,101702,10637,1120,0,25783,5481,0,2716,0,4703,797,19207,7660,5457,7491,0,1350,565,1315,8037,0,25937,10802,44462,5312,0,0,0,4647,15081,0,5594,1329,2831,112148,5601,0,9566,10898,497,4534,1208
"Professional school degree (MD,DDS,DVM,L",121655,0,0,6072,0,20185,1507,4401,0,507,26536,1998,0,381,3911,0,0,4793,0,0,0,0,2864,2007,1807,0,0,0,511,999,1236,0,2676,4783,2258,236,1853,1113,0,4440,0,0,320,0,15055,0,235,8971,0,0,0,0
"Doctorate degree (PHD,EDD)",96230,0,214,1813,0,11230,1818,1642,303,842,11406,4614,466,0,3739,0,0,632,0,0,0,0,4271,3336,0,608,0,0,0,0,0,6032,1545,0,0,0,1948,0,2306,6419,1096,0,0,1523,20619,1574,262,5833,0,0,0,139
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1433598,4542,1378,1997,4289,181066,3135,29858,6330,6221,158704,80428,1226,868,34938,2320,0,7202,1518,19138,0,26439,41193,10746,3857,682,4495,1323,2447,17495,0,62100,6127,310378,48338,1161,26627,2212,6618,74538,9251,9519,0,16180,133006,8619,0,40240,5737,2296,16816,0
Children,446127,0,0,0,3631,61956,3135,8322,2071,3065,46344,22229,0,0,15194,2320,0,0,0,11425,0,3614,13442,5656,0,0,0,0,0,7554,0,20622,2808,85641,8565,829,14439,0,2186,16470,3109,0,0,7054,47258,5637,0,10347,0,1696,9508,0
Less Than 1st Grade,14692,0,0,0,0,10295,0,0,0,0,0,2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",5910,0,0,0,0,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,30770,0,0,0,0,3836,0,0,594,0,2465,0,0,0,0,0,0,0,0,0,0,0,3818,0,0,0,0,0,0,0,0,0,0,16863,0,0,0,0,0,0,0,0,0,0,0,0,0,2594,0,600,0,0
7th and 8th grade,49615,0,0,0,0,5465,0,2048,0,0,0,3443,0,0,0,0,0,0,0,0,0,0,3464,0,0,0,0,0,0,0,0,0,0,13786,4227,0,0,0,2034,10051,0,0,0,0,0,0,0,0,0,0,5097,0
9th Grade,47810,0,0,0,0,0,0,0,0,0,2344,6504,0,0,0,0,0,1077,0,0,0,3466,1322,0,0,0,0,398,1380,0,0,4197,0,10261,6032,0,2452,0,0,3964,829,0,0,0,3584,0,0,0,0,0,0,0
10th Grade,36974,0,0,0,0,5183,0,0,0,0,3000,6881,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,2291,0,3350,0,0,3727,0,0,0,5259,3861,0,0,0,0,0,0,0
11th Grade,81262,0,597,1997,0,7397,0,0,0,0,10280,2174,0,0,4910,0,0,0,0,0,0,3045,5775,0,0,0,0,0,0,0,0,7364,1061,8497,2116,0,0,0,0,10989,0,1188,0,0,7251,0,0,6621,0,0,0,0
12th Grade No Diploma,25612,0,0,0,0,1817,0,2274,0,225,2924,6195,0,0,0,0,0,0,0,0,0,0,2821,0,0,0,0,0,0,0,0,0,0,9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,295691,0,0,0,0,47041,0,12647,1734,547,37615,15598,1226,868,0,0,0,2073,1518,3459,0,0,3812,0,0,0,1883,380,1067,1418,0,22192,0,79800,9980,0,0,2212,1534,6454,656,3888,0,0,29596,2108,0,4385,0,0,0,0
Some College But No Degree,136368,0,247,0,658,4608,0,2069,665,0,8203,7731,0,0,7149,0,0,3008,0,0,0,2874,5046,2644,0,0,0,0,0,2555,0,7725,1374,31139,10584,138,4017,0,0,6031,0,1159,0,0,15982,0,0,7637,3125,0,0,0
Assc degree-occupation/vocation,28388,0,0,0,0,0,0,0,0,0,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,3857,0,0,0,0,2446,0,0,0,9876,2407,0,0,0,0,0,0,0,0,0,4560,0,0,0,2612,0,0,0
Assc degree-academic program,48537,0,0,0,0,7927,0,0,0,0,5379,4729,0,0,3054,0,0,0,0,0,0,7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10091,3844,0,0,1344,0,0,0,2644,0,0,2211,0
"Bachelor's degree (BA,AB,BS)",128985,4542,534,0,0,12077,0,0,1266,1883,20889,2059,0,0,4631,0,0,1044,0,990,0,3159,1693,0,0,0,0,315,0,2040,0,0,884,36774,2136,0,2369,0,0,6761,0,1772,0,2523,12632,0,0,6012,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",50062,0,0,0,0,11393,0,2498,0,0,12887,0,0,0,0,0,0,0,0,1083,0,2967,0,2446,0,682,2612,230,0,0,0,0,0,3305,0,0,0,0,864,0,813,0,0,0,8282,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",4802,0,0,0,0,0,0,0,0,184,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",1993,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Asian Only,355802,0,917,5203,0,167085,1379,4480,0,1186,45976,4981,6610,0,22855,2445,0,0,4915,4428,0,0,3071,2500,7117,0,0,0,0,17571,0,13916,767,12585,0,0,0,0,6435,0,0,0,0,6332,5480,3632,0,3936,0,0,0,0
Children,91689,0,0,0,0,39526,0,2694,0,0,10933,0,1651,0,0,0,0,0,2204,3834,0,0,0,0,4410,0,0,0,0,4579,0,13916,0,6639,0,0,0,0,1303,0,0,0,0,0,0,0,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,13044,0,0,2339,0,9681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,6511,0,0,0,0,5757,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,7300,0,0,0,0,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,13566,0,0,0,0,2573,0,0,0,0,3885,2446,0,0,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0,0,0,0,0,0,0,0
11th Grade,8299,0,319,0,0,2848,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484,0,0,0,0,0,0,0
12th Grade No Diploma,4979,0,0,0,0,0,0,0,0,200,2789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0
High school graduate-high school diploma,86439,0,0,2864,0,26524,0,0,0,456,12634,2535,1242,0,15110,2445,0,0,2711,0,0,0,3071,0,2707,0,0,0,0,5166,0,0,0,0,0,0,0,0,4069,0,0,0,0,0,0,2775,0,2130,0,0,0,0
Some College But No Degree,46379,0,0,0,0,30263,0,1786,0,0,5159,0,666,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,1245,0,0,767,2903,0,0,0,0,0,0,0,0,0,0,2996,0,0,0,0,0,0,0
Assc degree-occupation/vocation,3882,0,326,0,0,2703,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,16600,0,272,0,0,6893,0,0,0,0,6284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",31087,0,0,0,0,20252,0,0,0,288,2166,0,927,0,5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,0,0,857,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",18535,0,0,0,0,12765,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0
"Doctorate degree (PHD,EDD)",2643,0,0,0,0,0,0,0,0,0,2126,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic,124180072,2205475,241865,2273498,1258791,10943211,2202608,1336684,411306,304007,7379033,4287693,401352,753440,4959412,2964746,1436410,1185327,2002366,2010491,650353,2566322,2857621,4436320,2455091,1362928,2684054,497144,813892,1068397,655266,3389668,458499,7181546,4231774,341902,5272941,1389371,1660832,5491994,445238,2233268,381806,3006023,8351303,1360757,294695,3599811,2895383,815606,2539081,233471
 -> Total -> Total Male -> Total Non-Hispanic -> Total White Only,95957166,1566937,207810,1996550,1039214,7201980,1982837,1074235,288384,152398,5489032,2571253,152333,734791,3743482,2582618,1304169,1068051,1780474,1288020,635704,1478153,2361517,3625946,2135727,843960,2282265,492887,761912,816667,615739,2298030,422467,5100234,3014538,322540,4480533,1197008,1509110,4663306,395891,1608216,363360,2435297,6009210,1312454,287700,2593552,2339776,779859,2319131,229909
Children,15045681,255844,32114,289657,174643,968464,302742,141133,41973,17293,699107,424301,16329,140431,626696,438190,242012,194644,292381,235100,96664,247285,300725,593709,348217,142145,386279,84690,139290,115087,79226,388261,54968,817235,428683,57643,716256,204849,249864,756817,53129,239671,61758,392768,974172,270727,41864,430613,322466,121983,355894,39689
Less Than 1st Grade,71956,3026,0,2219,2020,10548,0,0,0,0,0,0,0,0,1163,0,0,1089,0,0,0,0,0,5179,6912,0,0,0,0,0,818,4004,2299,3949,0,0,3632,1141,7524,5372,0,0,0,0,9561,0,0,0,1500,0,0,0
"1st,2nd,3rd,or 4th grade",92087,5207,0,7518,1526,8494,6842,0,572,234,8161,3390,0,593,2042,0,2324,0,2896,1459,0,0,1968,0,1758,524,0,0,1212,1989,862,0,0,2177,13882,0,3160,0,1131,1957,998,0,0,2440,0,0,0,2398,0,4140,0,233
5th Or 6th Grade,150720,6743,0,0,2027,8810,4330,4146,0,266,10669,5900,513,0,3312,0,0,1459,1594,10849,3168,0,3016,3311,0,4596,0,0,634,2804,0,7220,998,23485,1389,187,0,0,2083,5537,0,7387,0,6936,2590,0,687,8272,2724,3078,0,0
7th and 8th grade,1238191,26257,435,30871,18202,46661,15692,13756,3456,855,53019,20513,605,5806,25797,37556,15030,5241,71715,26777,11508,30089,28718,47265,31493,15079,34327,9486,14860,7631,5285,17600,5136,25313,50092,7652,138762,17848,6584,84876,3585,16076,5103,49086,36089,11906,2541,26562,19810,18104,37666,3815
9th Grade,1484455,32575,3049,16942,14651,72790,19596,23202,1713,248,60942,46349,518,11886,43132,47479,15699,22586,36303,34034,8356,27009,34107,57234,39710,22999,56489,9574,11306,6313,15829,28890,3819,60601,61588,3787,87942,15411,20853,70644,14604,26181,4341,49158,79394,27977,6158,42040,33763,19755,31786,3143
10th Grade,2019086,43065,2476,31406,27998,132970,36922,15551,4973,942,93991,89509,1565,12165,96616,97238,21904,30212,62245,43918,12323,23601,39411,74749,31227,32309,48486,11532,9875,13946,9059,35694,7355,88490,83058,5205,109827,27691,25937,93379,7256,28284,5629,56331,107635,30078,5267,47748,46053,24887,25083,6015
11th Grade,2140553,40554,3650,39022,31862,188595,25937,20265,7819,188,90336,94726,834,14905,65392,53024,31496,22446,45157,48259,9719,34654,28680,93213,45286,24684,60401,9955,10875,15301,12858,44255,5152,95517,58452,6637,139837,42925,25035,82803,10094,39253,9112,71463,99125,39244,6847,75665,41098,19694,51806,6446
12th Grade No Diploma,862399,21696,1553,13928,10404,74385,9326,2419,2390,694,75194,15442,1083,3963,35964,18601,6926,4703,18362,20553,2506,12257,4431,41214,18490,15620,23466,2868,5761,5901,3623,20600,3695,65388,45376,870,29622,13848,11585,33274,1974,10258,2548,25039,51483,20563,2976,13426,13878,6311,14642,1320
High school graduate-high school diploma,22299513,393816,58739,362951,311178,1276226,326389,268633,88799,3320,1303538,598103,30448,187269,732583,703671,351957,243456,523754,337687,206176,283668,486913,819436,385650,215019,632419,126432,165240,187822,158669,458410,78386,1091258,678792,78341,1358727,333317,328892,1384463,79768,439533,83653,635426,1164080,222542,73139,505004,561935,277420,636314,60152
Some College But No Degree,13477919,248859,30915,336033,136013,1195866,316591,136215,39397,5252,807647,320205,27003,119456,517744,367473,220431,163661,240682,152332,75553,153324,277906,565123,279485,126352,339506,77821,105470,153301,84658,282938,62649,522585,396016,39035,678277,172767,218422,473052,35958,191989,53198,337565,1011800,211138,33173,331258,315897,90412,362653,36863
Assc degree-occupation/vocation,3473782,82600,5415,58825,38033,157131,42177,28021,8371,348,179219,119152,4510,24197,94432,136687,57238,55008,63353,65391,25168,30823,55926,111616,183526,47029,67765,12216,52987,38187,17888,57476,18674,109126,137767,28253,134238,45192,70799,177673,6565,81759,41911,78186,183737,40650,12474,46531,88997,29745,207632,13158
Assc degree-academic program,4107699,54685,6809,85402,36135,298918,68172,24609,14339,922,373447,120588,5909,25568,153569,72513,52815,34826,92517,26363,21249,61777,105233,201986,106202,42763,87430,14384,30108,47782,30637,122012,21552,264756,112835,19334,167456,29119,63507,169984,24273,51766,17188,115589,227393,65763,7550,87027,145359,24959,56350,16270
"Bachelor's degree (BA,AB,BS)",18905361,237466,40882,433614,151353,1672580,556577,244422,49690,52447,1190472,505167,40343,115614,843694,437170,206682,188048,177882,205456,108676,343115,554087,627145,467696,100220,341268,88369,142167,138159,125986,509063,79295,1105290,633445,56709,594705,202800,314190,889737,116943,306978,58758,407782,1367106,229518,61310,568995,537724,86516,366101,25949
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",7199862,79642,14183,200039,53116,734977,177551,104977,16048,36335,359613,121926,15139,51099,351138,118775,53165,68536,78698,45693,37010,158125,314890,271007,129057,38535,130909,30577,51496,49770,42546,233640,48868,565379,222848,12745,206893,55590,98293,285451,28374,118043,13179,133344,510496,102110,19726,286339,154490,37190,119860,12432
"Professional school degree (MD,DDS,DVM,L",1519897,14256,2576,33596,17872,161178,32216,29262,2753,19045,102321,43181,3165,8780,87269,24730,15375,15409,38028,11170,6887,15707,62453,38889,32357,5016,22602,6122,9075,11779,14555,46067,12645,97674,24826,3305,65923,12301,29563,69593,3818,15843,3222,33944,80094,15349,6138,53549,21492,6609,28659,1659
"Doctorate degree (PHD,EDD)",1868005,20646,5014,54527,12181,193387,41777,17624,6091,14009,81356,42801,4369,13059,62939,29511,11115,16727,34907,22979,10741,56719,63053,74870,28661,11070,50918,8861,11556,20895,13240,41900,16976,162011,65489,2837,45276,22209,34848,78694,8552,35195,3760,40240,104455,24889,7850,68125,32590,9056,24685,2765
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18994346,607371,11865,183062,197289,1040978,123704,175854,98488,139957,1594364,1475955,9481,8396,824507,308318,81831,82335,181400,677899,13963,854798,254662,632963,180422,514437,325198,3164,43412,140913,5632,548441,21317,1195828,1060668,11152,674969,136339,42731,622881,31143,582447,10530,523046,1655962,22094,4668,731818,155648,30538,136667,2841
Children,4230094,138906,3128,34284,52972,174403,33140,37414,18861,27165,362898,351442,0,3871,167656,88307,22627,24673,50488,159915,2703,175297,57779,149327,62609,119283,83703,650,8018,33486,2724,107053,1117,234738,226102,4118,149428,37101,4125,160469,11573,128004,1796,114261,381837,7082,547,157087,16288,9119,30024,496
Less Than 1st Grade,26103,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,2792,2065,0,1802,0,0,2436,812,0,0,3484,0,0,0,709,0,0,0,10035,0,0,0,0,0,0,1753,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",32629,1149,0,0,0,0,0,0,0,266,0,1582,0,346,0,0,0,0,0,2808,0,0,1629,2567,0,912,0,0,0,0,0,0,0,2886,0,0,0,0,0,6055,0,1134,0,0,0,0,0,5936,0,0,5359,0
5th Or 6th Grade,41383,4488,0,0,793,0,3088,1814,0,212,5657,0,0,0,0,0,0,0,3694,2108,0,5058,1367,0,0,4127,0,0,0,0,0,0,0,2508,1880,0,0,0,0,2495,0,0,0,0,2094,0,0,0,0,0,0,0
7th and 8th grade,258680,8025,0,0,1370,10254,0,0,1542,2531,20125,21297,0,0,20245,0,0,1181,4278,22597,0,0,1352,4346,2521,6251,0,0,0,2344,1591,17705,0,17046,11066,142,18850,0,0,2696,0,8773,355,2249,27637,0,362,17386,0,0,2563,0
9th Grade,390134,10649,0,0,8850,13379,8377,4923,3120,1628,36821,39274,0,0,12714,5048,3832,1038,988,11977,0,20295,3283,16270,2521,15151,4842,198,1301,0,0,12029,0,5227,18085,548,15064,1981,3405,10694,957,25787,1020,3616,44336,947,308,16456,2773,422,0,0
10th Grade,546026,28148,0,3606,9847,15051,5249,1871,2952,3812,59325,35942,0,972,19742,19249,0,2221,2468,36782,0,13510,1725,14947,7426,18202,10665,0,912,1512,1317,6466,1402,29111,47120,184,21291,0,0,13483,1006,28513,3333,18249,31138,0,0,20962,0,1971,3966,378
11th Grade,625350,23717,0,5602,3819,27322,0,3201,4272,3299,63871,26279,0,0,37876,13479,1750,1220,4473,33536,0,30389,3137,20234,4265,25630,6542,0,0,2285,0,0,622,38631,22032,183,42737,4760,2360,17672,0,13358,0,28732,74151,0,0,26014,0,388,7284,228
