Source: CPS Annual Social and Economic (March) Supplement 202103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 -> Total,311810442,4755514,499252,6997945,2853512,36924202,5353435,3415155,935676,696001,20949643,10206919,892753,1756585,12207032,6417017,3076708,2703889,4263986,4462080,1322873,5775399,6440470,9535110,5279136,2887035,5830669,1016605,1841302,2922708,1351424,8567867,1775591,18390820,10017753,688644,11244897,3239352,3881388,12197922,1026904,4949221,784675,6700316,28185243,3105092,602054,8159549,6823478,1695016,5677424,527201
 -> Total -> Total Male,152897859,2299086,260126,3475161,1392524,18347362,2667886,1648988,448078,335846,10241919,4902429,441657,871928,5992032,3148140,1535402,1349178,2102279,2151154,655355,2780485,3128190,4648943,2594834,1400863,2839689,511033,930020,1468898,676100,4166504,873897,8835375,4867623,357265,5552056,1627724,1877450,5924783,507337,2378714,392243,3288199,13865735,1553584,297852,3985161,3388457,831260,2817702,263353
 -> Total -> Total Male -> Total Hispanic,28717787,93611,18261,1201663,133733,7404151,465278,312304,36772,31839,2862886,614736,40305,118488,1032620,183394,98992,163851,99913,140663,5002,214163,270569,212623,139743,37935,155635,13889,116128,400501,20834,776836,415398,1653829,635849,15363,279115,238353,216618,432789,62099,145446,10437,282176,5514432,192827,3157,385350,493074,15654,278621,29882
 -> Total -> Total Male -> Total Hispanic -> Total White Only,26928387,89069,15966,1194463,129444,7056000,460764,277966,30442,24432,2658206,529327,32469,117620,974827,178629,98992,156649,93480,117097,5002,187724,226305,199377,128769,37253,151140,12566,113681,365435,20834,700820,408504,1330866,587511,14202,252488,236141,203565,358251,52848,135927,10437,259664,5375946,180576,3157,341174,487337,13358,261805,29882
Children,6635616,35620,3915,298023,39954,1567799,110951,82533,6050,4538,496268,169237,9999,33106,226208,54892,13304,42947,37273,27080,2774,50455,58399,60757,32820,9208,42159,3590,34369,86994,8943,167064,101054,307069,173448,4937,80396,51426,50373,80241,9532,38413,3202,61598,1471575,62652,1594,80021,163739,4348,62811,9958
Less Than 1st Grade,208301,0,0,7833,641,77810,0,0,0,141,3910,17561,0,487,12412,2170,0,943,0,3179,0,5380,1408,2202,4705,1177,0,0,0,0,0,1502,3050,6556,1712,0,0,1012,3310,4361,1539,1419,268,0,36738,991,0,2386,1498,0,0,0
"1st,2nd,3rd,or 4th grade",554408,3178,0,19903,1328,187644,14108,9951,3353,615,24640,10709,345,4480,21427,1564,1274,1830,1476,2323,0,0,8837,0,1872,0,3540,0,4680,15346,0,4337,6597,30425,19206,0,4230,7827,5167,6136,1496,1508,334,3213,96112,859,221,3828,14403,0,3937,149
5th Or 6th Grade,1074467,4890,0,50330,6285,364256,7914,8321,386,1925,47489,43838,928,6826,50076,9390,3462,10281,6234,5110,0,3910,6581,3581,3435,1094,0,0,15861,9359,1568,21702,17888,33878,37625,209,0,11790,9967,3931,2190,6765,0,8466,189962,6286,0,19238,18704,574,11591,371
7th and 8th grade,849550,0,0,53966,2888,179685,26756,5459,1922,1008,52206,18241,260,6612,35949,3133,4408,2557,5998,4525,0,11553,4968,8098,3536,2215,12424,0,3648,12671,431,19393,15819,35711,24350,338,8592,12890,7608,17843,1394,9877,176,8215,161172,5222,0,14776,22674,0,17883,500
