state_code,state_fips,zip_code
MA,25,2205
MA,25,2206
MA,25,2210
MA,25,2211
MA,25,2212
MA,25,2215
MA,25,2217
MA,25,2222
MA,25,2228
MA,25,2241
MA,25,2266
MA,25,2283
MA,25,2284
MA,25,2293
MA,25,2295
MA,25,2297
MA,25,2298
MA,25,1921
MA,25,1505
MA,25,2020
MA,25,2631
MA,25,2324
MA,25,2325
MA,25,2301
MA,25,2302
MA,25,2303
MA,25,2304
MA,25,2305
MA,25,1506
MA,25,2327
MA,25,1803
MA,25,1805
MA,25,2532
MA,25,2542
MA,25,1922
MA,25,2138
MA,25,2139
MA,25,2140
MA,25,2141
MA,25,2142
MA,25,2238
MA,25,2021
MA,25,1741
MA,25,2330
MA,25,2534
MA,25,2632
MA,25,2634
MA,25,1507
MA,25,1509
MA,25,1508
MA,25,2633
MA,25,1824
MA,25,2535
MA,25,2552
MA,25,1510
MA,25,2025
MA,25,1742
MA,25,2635
MA,25,2652
MA,25,1538
MA,25,2061
MA,25,2062
MA,25,1865
MA,25,2557
MA,25,2558
MA,25,2653
MA,25,2655
MA,25,1540
MA,25,1960
MA,25,1961
MA,25,2359
MA,25,1463
MA,25,1866
MA,25,2360
MA,25,2361
MA,25,2362
MA,25,2367
MA,25,2559
MA,25,1965
MA,25,1541
MA,25,2657
MA,25,2368
MA,25,1867
MA,25,1542
MA,25,2370
MA,25,1966
MA,25,1969
MA,25,1543
MA,25,2561
MA,25,2562
MA,25,1970
MA,25,1971
MA,25,2563
MA,25,2040
MA,25,2055
MA,25,2060
MA,25,2066
MA,25,2067
MA,25,2070
MA,25,1770
MA,25,1464
MA,25,1545
MA,25,1546
MA,25,1745
MA,25,1772
MA,25,1550
MA,25,2366
MA,25,2659
MA,25,2660
MA,25,2375
MA,25,1560
MA,25,1982
MA,25,2661
MA,25,1561
MA,25,2662
MA,25,2071
MA,25,2663
MA,25,2664
MA,25,2673
MA,25,1562
MA,25,1564
MA,25,1467
MA,25,2072
MA,25,1775
MA,25,1518
MA,25,1566
MA,25,1776
MA,25,1590
MA,25,1468
MA,25,1876
MA,25,1983
MA,25,1469
MA,25,1474
MA,25,2666
MA,25,1879
MA,25,1569
MA,25,2568
MA,25,2573
MA,25,1880
MA,25,2081
MA,25,2571
MA,25,1778
MA,25,1570
MA,25,1571
MA,25,2667
MA,25,2637
MA,25,1923
MA,25,2026
MA,25,2027
MA,25,2638
MA,25,2639
MA,25,2030
MA,25,1826
MA,25,1827
MA,25,2331
MA,25,2332
MA,25,2333
MA,25,1515
MA,25,2641
MA,25,1516
MA,25,2536
MA,25,2642
MA,25,2334
MA,25,2643
MA,25,1517
MA,25,2537
MA,25,1438
MA,25,2032
MA,25,2538
MA,25,2539
MA,25,2337
MA,25,1929
MA,25,2540
MA,25,2541
MA,25,2543
MA,25,1521
MA,25,1420
MA,25,2644
MA,25,2035
MA,25,1701
MA,25,1702
MA,25,1703
MA,25,1704
MA,25,1705
MA,25,2038
MA,25,1440
MA,25,1930
MA,25,1931
MA,25,1519
MA,25,2041
MA,25,1450
MA,25,1470
MA,25,1471
MA,25,2338
MA,25,1936
MA,25,2339
MA,25,2340
MA,25,2341
MA,25,1451
MA,25,2645
MA,25,2646
MA,25,1937
MA,25,1830
MA,25,1831
MA,25,1832
MA,25,1833
MA,25,1834
MA,25,1835
MA,25,2018
MA,25,2043
MA,25,2044
MA,25,2343
MA,25,1520
MA,25,1746
MA,25,1747
MA,25,1748
MA,25,1452
MA,25,1749
MA,25,2045
MA,25,2047
MA,25,2601
MA,25,2647
MA,25,1938
MA,25,1522
MA,25,1523
MA,25,1840
MA,25,1841
MA,25,1842
MA,25,1843
MA,25,1844
MA,25,1845
MA,25,1524
MA,25,1453
MA,25,1773
MA,25,1525
MA,25,1460
MA,25,1850
MA,25,1851
MA,25,1852
MA,25,1853
MA,25,1854
MA,25,1462
MA,25,1901
MA,25,1902
MA,25,1903
MA,25,1904
MA,25,1905
MA,25,1906
MA,25,1907
MA,25,1908
MA,25,1910
MA,25,1940
MA,25,1526
MA,25,1944
MA,25,2345
MA,25,2048
MA,25,1945
MA,25,1752
MA,25,2050
MA,25,2065
MA,25,2051
MA,25,2648
MA,25,2649
MA,25,1754
MA,25,2052
MA,25,2053
MA,25,1756
MA,25,1860
MA,25,2344
MA,25,2346
MA,25,2348
MA,25,2349
MA,25,1949
MA,25,1757
MA,25,1527
MA,25,1984
MA,25,2668
MA,25,1580
MA,25,1581
MA,25,1582
MA,25,1885
MA,25,1583
MA,25,2379
MA,25,1585
MA,25,2669
MA,25,2670
MA,25,2574
MA,25,1886
MA,25,1472
MA,25,2671
MA,25,2672
MA,25,1441
MA,25,1473
MA,25,1985
MA,25,2575
MA,25,1568
MA,25,2576
MA,25,2090
MA,25,2381
MA,25,1588
MA,25,2382
MA,25,1887
MA,25,1475
MA,25,1477
MA,25,1890
MA,25,1801
MA,25,1807
MA,25,1813
MA,25,1815
MA,25,1888
MA,25,1784
MA,25,1601
MA,25,1602
MA,25,1603
MA,25,1604
MA,25,1605
MA,25,1606
MA,25,1607
MA,25,1608
MA,25,1609
MA,25,1610
MA,25,1611
MA,25,1612
MA,25,1613
MA,25,1614
MA,25,1615
MA,25,1653
MA,25,1654
MA,25,1655
MA,25,2093
MA,25,2675
MA,25,2364
MA,25,2347
ME,23,4406
ME,23,4001
ME,23,4606
ME,23,4910
ME,23,4002
ME,23,4535
ME,23,4216
ME,23,4911
ME,23,4732
ME,23,4912
ME,23,4210
ME,23,4211
ME,23,4212
ME,23,4330
ME,23,4332
ME,23,4333
ME,23,4336
ME,23,4338
ME,23,4408
ME,23,4003
ME,23,4401
ME,23,4402
ME,23,4609
ME,23,4004
ME,23,4635
ME,23,4653
ME,23,4530
ME,23,4611
ME,23,4915
ME,23,4917
ME,23,4918
ME,23,4733
ME,23,4612
ME,23,3901
ME,23,4217
ME,23,4286
ME,23,4005
ME,23,4007
ME,23,4006
ME,23,4920
ME,23,4613
ME,23,4734
ME,23,4614
ME,23,4629
ME,23,4537
ME,23,4549
ME,23,4538
ME,23,4570
ME,23,4008
ME,23,4410
ME,23,4411
ME,23,4412
ME,23,4735
ME,23,4009
ME,23,4539
ME,23,4616
ME,23,4921
ME,23,4617
ME,23,4642
ME,23,4413
ME,23,4010
ME,23,4414
ME,23,4415
ME,23,4011
ME,23,4219
ME,23,4220
ME,23,4416
ME,23,4417
ME,23,4922
ME,23,4619
ME,23,4923
ME,23,4843
ME,23,4847
ME,23,4924
ME,23,4221
ME,23,3902
ME,23,4925
ME,23,4418
ME,23,4736
ME,23,4419
ME,23,4015
ME,23,4420
ME,23,4421
ME,23,4016
ME,23,4541
ME,23,4422
ME,23,4017
ME,23,4622
ME,23,4926
ME,23,4019
ME,23,4927
ME,23,4623
ME,23,4341
ME,23,4624
ME,23,4928
ME,23,4020
ME,23,4625
ME,23,4738
ME,23,4021
ME,23,4563
ME,23,4626
ME,23,4543
ME,23,4424
ME,23,4492
ME,23,4223
ME,23,4627
ME,23,4022
ME,23,4628
ME,23,4929
ME,23,4930
ME,23,4224
ME,23,4932
ME,23,4426
ME,23,4481
ME,23,4342
ME,23,4225
ME,23,4739
ME,23,4226
ME,23,4024
ME,23,4544
ME,23,4427
ME,23,4227
ME,23,4428
ME,23,4429
ME,23,4027
ME,23,4228
ME,23,4630
ME,23,4430
ME,23,4933
ME,23,4740
ME,23,4431
ME,23,4028
ME,23,4230
ME,23,4631
ME,23,4029
ME,23,4231
ME,23,4935
ME,23,4030
ME,23,4234
ME,23,4343
ME,23,3903
ME,23,4605
ME,23,4434
ME,23,4936
ME,23,4435
ME,23,4937
ME,23,4938
ME,23,4940
ME,23,4742
ME,23,4737
ME,23,4741
ME,23,4743
ME,23,4744
ME,23,4438
ME,23,4634
ME,23,4941
ME,23,4032
ME,23,4033
ME,23,4034
ME,23,4547
ME,23,4037
ME,23,4344
ME,23,4345
ME,23,4346
ME,23,4939
ME,23,4548
ME,23,4038
ME,23,4607
ME,23,4746
ME,23,4039
ME,23,4236
ME,23,4441
ME,23,4485
ME,23,4442
ME,23,4443
ME,23,4347
ME,23,4444
ME,23,4640
ME,23,4237
ME,23,4942
ME,23,4643
ME,23,4040
ME,23,4943
ME,23,4238
ME,23,4944
ME,23,4041
ME,23,4042
ME,23,4730
ME,23,4761
ME,23,4448
ME,23,4449
ME,23,4644
ME,23,4747
ME,23,4848
ME,23,4646
ME,23,4945
ME,23,4239
ME,23,4262
ME,23,4348
ME,23,4648
ME,23,4649
ME,23,4450
ME,23,4043
ME,23,4014
ME,23,4046
ME,23,4349
ME,23,4047
ME,23,4947
ME,23,4451
ME,23,3904
ME,23,3905
ME,23,4453
ME,23,4455
ME,23,4263
ME,23,4456
ME,23,4240
ME,23,4241
ME,23,4243
ME,23,4949
ME,23,4048
ME,23,4750
ME,23,4751
ME,23,4049
ME,23,4457
ME,23,4849
ME,23,4850
ME,23,4222
ME,23,4250
ME,23,4252
ME,23,4350
ME,23,4650
ME,23,4253
ME,23,4254
ME,23,4255
ME,23,4050
ME,23,4051
ME,23,4652
ME,23,4654
ME,23,4686
ME,23,4655
ME,23,4756
ME,23,4950
ME,23,4351
ME,23,4757
ME,23,4758
ME,23,4851
ME,23,4459
ME,23,4256
ME,23,4657
ME,23,4551
ME,23,4460
ME,23,4257
ME,23,4658
ME,23,4461
ME,23,4462
ME,23,4463
ME,23,4258
ME,23,4852
ME,23,4259
ME,23,4951
ME,23,4464
ME,23,4760
ME,23,4054
ME,23,4952
