export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
11th Grade,2180979,55572,3414,37695,37119,130495,19503,21879,5593,1033,100458,59858,2372,13324,74971,68302,29538,26293,41000,33549,10533,25834,36584,121390,42565,24436,62756,6588,14274,15052,15431,64268,6899,95876,52182,4456,148195,33034,28758,103389,6883,58862,8411,55579,135462,28171,9617,67608,53437,24042,53520,4919
12th Grade No Diploma,981594,8022,1765,36708,9673,101261,16113,2943,2472,964,46971,43945,1994,4810,41017,20851,6806,7630,36181,19155,6838,2371,19724,60047,28179,12348,20498,5072,11071,8377,2548,15198,2823,64406,32142,3023,37752,18382,13953,17805,2432,19392,3661,18220,66694,19537,2746,16910,12532,5594,20028,2010
High school graduate-high school diploma,21895788,401652,48793,395497,273473,1314519,305217,278608,81925,2054,1287467,553041,29250,158203,685259,702546,349319,250825,552673,354498,186934,318344,490832,852448,461163,177837,603973,108918,162384,191664,139453,526212,82765,1029941,725895,83106,1195493,315552,345787,1370433,88158,392750,74426,583048,1182096,206412,70261,425817,536059,285490,593640,63678
Some College But No Degree,13401883,237547,38420,317489,143477,1115763,303224,118332,34959,5007,806275,308402,22576,141281,539475,388736,185718,166757,282465,185757,88781,187135,276713,542701,243775,145225,321629,80160,96937,161496,88704,233689,78780,571852,369615,43947,620117,190977,220321,431173,44531,178752,47267,382184,972979,222740,29727,251170,391267,93176,415204,37499
Assc degree-occupation/vocation,3580598,77314,6930,76444,41176,216288,46871,19623,11702,405,163758,87352,6128,35690,186225,109492,68626,43932,76833,51035,23411,30359,49724,136880,199208,31915,131283,23396,53145,42356,13234,59507,21751,120462,107948,30687,125980,50068,39436,188383,2189,67535,37630,106826,171429,38077,9483,21557,128325,19481,160570,12539
Assc degree-academic program,4153673,51338,9059,72300,15432,347965,77302,18583,14256,1471,355813,82332,6121,34866,142749,84006,68756,47814,53135,37488,32340,43853,80830,194794,94630,37695,76863,14918,34315,41095,38337,56445,18707,250615,157375,15295,142652,54807,89987,190749,30895,88406,26460,89750,283603,71733,10491,102357,164521,23917,59434,15018
"Bachelor's degree (BA,AB,BS)",18762478,225135,39024,405271,147714,1821905,529101,272101,55756,49673,1254838,448051,34439,111752,714051,435810,228369,146312,254384,199237,99285,318149,587407,635234,509036,114560,369264,80633,126123,143928,127576,566525,66568,1141336,607828,58650,633637,204736,299168,881717,82177,321890,48001,364004,1112059,204281,61805,604085,518255,86190,386114,29334
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",7408305,78885,13865,144401,53947,726570,189419,128214,21039,37126,399569,180245,21992,44640,349399,150656,42704,62441,79817,55976,35375,174647,262605,280501,136169,41752,163092,30289,39503,49471,38824,216131,40424,576524,230154,11331,248437,55549,101655,324925,35819,123404,15072,153078,490321,120615,23923,288077,164627,29604,111520,13982
"Professional school degree (MD,DDS,DVM,L",1501296,20205,2419,26626,15703,172833,28699,30764,1752,16457,97830,49214,3520,10213,85963,29144,5085,20149,9798,21603,4298,27612,72013,47336,39093,5324,3385,4762,11174,16592,8481,43500,12053,90607,40792,3311,90165,17011,27786,66296,2107,16306,2716,31291,64754,6833,4940,38717,30054,6653,14866,2491
"Doctorate degree (PHD,EDD)",1911679,21811,3337,68760,21458,239423,61022,21646,8705,11008,96463,13666,7408,11976,61605,30182,4862,18029,15802,28827,9598,70830,64325,49097,28284,12900,53925,10557,13199,13999,13166,34917,22405,117479,72721,3299,54620,15233,49427,48321,13041,38009,3261,47824,126949,22341,9130,69831,33742,10794,28349,4116
 -> Total -> Total Male -> Total Non-Hispanic -> Total Black Only,18842877,585507,11361,163181,187490,1036965,122113,151527,100572,142782,1588165,1462392,13406,8908,826570,303161,66669,77736,162415,690643,10218,806917,259708,641979,184370,507782,340281,3114,47803,131634,12267,584122,18681,1165978,996597,11180,654828,129359,48729,641985,20780,615920,8170,487326,1686259,18514,4799,756076,154701,28191,158590,4456
Children,4233543,134695,3167,37884,48318,199998,13016,25465,23726,28336,357931,347816,3884,2207,181759,79209,17020,14702,52751,153479,3150,172166,62608,149732,69083,119859,74725,364,17914,37213,5422,115881,3701,213379,214065,4277,163577,31164,7959,129160,6004,137954,2479,99113,411866,696,1023,155566,42288,4779,49322,1691
Less Than 1st Grade,23095,0,0,2010,0,2847,0,0,0,0,7066,0,0,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6441,0,0,0,1730,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",34627,2150,0,0,820,1659,0,0,0,0,4427,1797,0,0,4521,0,0,0,0,4230,0,3751,0,2734,0,1534,0,0,0,0,0,0,0,1989,0,0,0,0,0,0,0,1130,0,0,1881,0,0,2004,0,0,0,0
5th Or 6th Grade,74457,4503,0,0,729,0,0,0,0,0,5115,12719,476,0,2993,2223,0,0,6301,3357,0,2371,0,2748,3392,1958,1640,0,0,1021,0,2412,0,2279,5219,0,0,0,0,0,0,4168,0,1677,4786,0,0,2370,0,0,0,0
7th and 8th grade,299533,5053,0,2937,1159,1625,0,0,1025,2606,46668,19005,0,0,5118,2096,1601,0,1831,21126,0,10089,1858,7045,2501,11546,4635,146,2193,0,0,6901,0,13977,18005,224,13723,0,0,11290,2805,28017,0,0,28978,0,0,7983,7016,0,8751,0
9th Grade,372489,14330,0,0,7419,14507,3813,4927,2742,3870,26503,38670,0,0,6560,4528,3132,0,2378,26105,1091,8979,1902,13204,0,16994,19430,0,688,0,680,15415,1007,14981,31304,0,8338,3370,0,18010,641,12543,0,10109,10364,0,0,19518,0,1087,3350,0
10th Grade,585153,27726,0,0,3502,17581,3312,0,634,4082,43951,33711,0,0,21248,3342,4104,5812,2550,34702,0,26315,5085,37312,0,18687,15313,0,0,1553,0,0,0,28209,37859,269,41601,0,2651,14591,0,29362,858,11392,54308,742,177,42694,2238,948,6732,0
11th Grade,704386,31147,639,5464,7206,12638,0,3464,3292,6859,73568,51805,0,352,38512,24339,3052,0,8553,41772,0,25463,4761,49337,4001,23304,8067,250,2362,0,0,0,508,49718,34995,611,23220,5938,0,28983,637,23094,0,22922,55436,1267,174,25768,0,908,0,0
12th Grade No Diploma,377063,8899,0,5892,1773,24345,0,0,2377,4901,34892,23937,0,0,5821,4004,1395,0,0,25870,0,3064,3493,13862,3921,10201,5173,245,0,6620,0,4866,0,33235,19910,0,19460,1921,0,7646,0,19821,0,12580,43873,0,0,17007,2185,0,3874,0
High school graduate-high school diploma,5184638,207607,4869,29706,60659,211464,37170,44293,32369,39789,460306,428895,959,1677,206377,92612,11639,20536,38573,197076,3120,214281,61836,194995,50495,138488,105101,753,9489,41865,3573,199289,3407,301115,267478,1944,170600,30541,8603,206110,3138,188197,2455,166171,421307,3556,825,203957,29115,10756,13707,1795
Some College But No Degree,2797187,63541,236,29851,21297,221757,30318,38543,12749,12633,197504,160347,1710,1652,171007,43724,10751,19749,20256,86670,0,115905,34999,77456,19676,87610,38115,0,3644,26383,1459,68152,3157,193544,170829,2007,98542,36138,11805,91431,1156,63705,1223,86712,256902,7382,259,113151,13930,3602,23721,297
Assc degree-occupation/vocation,473595,17167,1262,10848,8605,19293,0,0,2964,1603,38359,44281,0,0,16131,3652,2329,0,7605,29224,869,7978,4670,7930,6172,23509,10505,1356,3789,1249,0,13290,1114,14528,20114,422,23467,1523,2000,16294,0,15772,311,17029,55905,0,0,7916,10075,0,2270,215
Assc degree-academic program,646919,19009,646,8943,2631,60964,16864,3410,2563,2783,52261,51251,632,530,22733,3201,3824,6354,2629,19776,1146,21550,14485,12533,0,8466,11933,0,1219,5902,0,11045,2274,54849,49450,640,20136,0,0,19452,0,26182,0,3981,60936,1056,518,12451,11970,958,12783,0
"Bachelor's degree (BA,AB,BS)",2119156,32653,542,16147,19695,173054,9310,16399,11940,22902,189962,170020,4167,1169,102222,33797,5682,9338,12702,27462,842,132809,47303,55732,22773,29436,28321,0,2323,7668,1133,115461,1884,149405,101214,232,45242,8428,7232,66966,5725,49173,514,38204,188953,1826,1564,97091,25998,2751,23790,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",664591,15701,0,11166,1637,54559,4368,11003,4191,9893,38592,56900,1578,912,30251,6434,0,0,6286,10144,0,52165,14818,14918,0,13156,7390,0,3407,1326,0,18794,1629,65395,15833,225,17987,4819,2791,10242,0,10705,0,12048,76719,1989,259,42065,6387,1024,4427,458
"Professional school degree (MD,DDS,DVM,L",103677,0,0,2333,658,7658,0,1871,0,1177,8923,18398,0,0,6459,0,2140,0,0,3763,0,5149,1890,2441,0,752,2051,0,0,0,0,0,0,18626,2769,329,6012,0,0,0,0,0,330,0,0,0,0,2621,3499,984,2844,0
"Doctorate degree (PHD,EDD)",148768,1326,0,0,1382,13016,3942,2152,0,1348,2137,2840,0,409,4858,0,0,1245,0,2886,0,4882,0,0,2356,2282,7882,0,775,834,0,12616,0,10749,7553,0,2923,5517,5688,15369,674,6097,0,3658,14045,0,0,3914,0,394,3019,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,9224987,30883,17369,108264,20717,2561531,68155,85682,15027,11502,253977,254866,241086,7468,397548,93869,73498,38727,20355,33780,9921,254765,264028,192705,145537,3974,49366,3719,22427,101947,25260,472496,20821,921470,205239,5732,180883,49095,66424,251392,16112,29785,10494,47380,857540,37364,2102,284671,289390,6582,60439,1623
Children,1577468,9789,1954,9036,4558,369668,18777,19379,2770,1327,35877,35026,24586,872,75025,23522,15848,5607,0,6214,0,35349,39552,39102,29728,0,9233,792,3292,16773,7170,87223,4425,121095,49682,369,57841,9116,10789,52107,1139,10708,2028,6469,201062,7984,255,37806,57432,2170,16828,114
Less Than 1st Grade,45756,0,0,0,0,16837,4532,0,0,0,2429,3585,0,0,0,2008,1377,0,0,0,0,0,0,0,0,0,0,0,0,1780,0,2893,0,5750,0,0,0,0,1176,0,728,0,0,0,0,0,0,2661,0,0,0,0
"1st,2nd,3rd,or 4th grade",43546,0,0,2155,0,17465,0,0,0,0,2445,0,515,0,1623,0,0,0,0,0,0,0,0,0,2884,0,0,0,0,0,0,0,0,5520,0,0,0,906,0,2014,0,0,656,0,3388,0,0,0,3975,0,0,0
5th Or 6th Grade,48485,0,0,1870,0,24834,0,0,0,0,0,0,1284,0,2768,0,0,0,0,0,0,0,0,1707,0,0,0,0,0,0,0,0,0,10537,0,0,0,0,0,2364,0,0,317,0,2804,0,0,0,0,0,0,0
7th and 8th grade,110593,855,0,0,0,21452,0,0,0,0,2353,0,2636,0,1977,0,1346,1289,1435,959,682,2126,6453,0,0,0,0,0,0,3437,0,6082,0,20182,5418,214,0,0,0,5006,0,0,517,0,14431,0,245,4332,7166,0,0,0
9th Grade,132120,0,540,2762,0,31459,1507,1999,545,0,3872,0,1999,587,1654,0,928,0,2148,0,0,5309,3163,1606,1535,0,0,0,1458,2029,0,4497,0,13933,4968,0,0,1340,4174,6485,0,0,0,0,18018,0,0,6286,5524,561,1040,194
10th Grade,199453,2369,839,0,0,48965,0,1877,0,0,4633,5151,4649,0,9885,2718,0,0,0,1689,1559,7433,1270,1631,3337,0,0,0,0,1226,0,19365,0,33055,2052,0,0,1027,1257,6767,0,0,358,0,22547,0,279,6249,4666,0,2600,0
11th Grade,158697,0,238,1610,0,38331,0,0,343,0,6437,4305,4754,0,7216,0,2035,2142,0,1820,829,8778,1246,0,0,0,1971,0,1254,922,893,6237,0,20221,2240,0,2069,1336,1134,0,1320,0,538,1638,18708,2378,0,2812,8517,0,4425,0
12th Grade No Diploma,117345,0,492,0,0,51936,0,0,0,0,5626,2394,3231,0,1657,0,2213,0,0,731,0,6442,3263,5439,3461,0,0,661,0,2491,0,2316,0,8914,1832,0,0,0,2432,0,0,0,467,0,9704,0,0,0,1643,0,0,0
High school graduate-high school diploma,1145139,2563,7132,4318,608,312175,0,6775,341,716,39428,50034,67075,1187,34406,14909,7907,7516,2264,7007,800,13673,40671,11891,35483,1307,9185,372,2232,17495,5227,24445,1367,142563,20920,561,36262,16824,4618,27529,4217,0,0,6341,87248,10715,327,18507,26553,358,10508,579
Some College But No Degree,877911,1000,1630,20082,976,295539,10144,10004,1139,935,17957,14997,32866,1644,41982,3692,13621,3930,7828,5616,2611,20051,17702,19053,14927,0,2568,994,2336,21500,1013,37774,2639,72794,18215,2091,9868,2820,10522,10751,2069,1945,2072,4943,56875,3775,250,22257,25614,0,1933,367
Assc degree-occupation/vocation,157926,0,0,5752,0,52869,3681,1289,1083,0,0,4328,16101,0,3708,0,0,0,0,0,0,7828,1392,2144,6296,0,0,0,0,2336,0,2987,1222,21947,0,288,0,0,1903,0,592,1295,0,0,9524,0,0,4929,4432,0,0,0
Assc degree-academic program,279262,0,0,0,0,93535,0,2082,0,0,16431,8117,10418,0,13255,0,3933,0,0,1929,0,2306,7650,6800,1594,0,2129,0,580,0,924,11362,1482,43157,1806,191,5097,3360,4728,0,0,2501,0,1970,14810,0,0,5966,9756,0,1393,0
"Bachelor's degree (BA,AB,BS)",2304964,9683,4275,22248,6320,697236,18494,25928,2926,2711,74165,80397,48283,456,117925,31478,7182,10603,2322,1070,1788,42081,75609,34924,29648,0,14666,393,3402,24529,5505,130435,4224,233868,26181,1684,38850,9543,2497,70912,3081,7813,2291,9909,186441,6460,541,98671,65764,3018,6534,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1396018,3093,0,27779,6339,363952,9804,13066,4557,3803,18886,31903,16802,1631,57671,13284,8930,6399,1723,3751,0,75162,36888,41420,14236,2667,9614,507,5659,3363,3632,101998,4198,111511,51872,0,10792,0,12973,30231,994,1282,1250,12632,157192,5087,0,48562,52827,0,5917,179
"Professional school degree (MD,DDS,DVM,L",195648,0,0,0,1099,24204,0,0,741,896,7823,8462,3318,0,6211,2258,1244,0,0,0,921,15804,11326,6962,2408,0,0,0,777,788,455,8912,1264,15871,14574,0,10668,0,5663,17371,0,0,0,0,7701,0,0,11562,6365,0,0,0
"Doctorate degree (PHD,EDD)",434656,1531,269,10652,817,101074,1216,3283,582,1114,15615,6167,2569,1091,20585,0,6934,1241,2635,2994,731,12423,17843,20026,0,0,0,0,1437,3278,441,25970,0,40552,5479,334,9436,2823,2558,19855,1972,4241,0,3478,47087,965,205,14071,9156,475,9261,190
 -> Total -> Total Female,158752884,2456555,242590,3402936,1478229,18530000,2733848,1749062,489435,360221,10589500,5290494,447580,863001,6239032,3247181,1534073,1351903,2186860,2292259,657173,3011985,3365664,4894847,2737489,1495621,2995182,497884,910838,1400159,673121,4453077,897554,9705425,5152421,335299,5650008,1656328,1989186,6283596,511798,2567975,381879,3358153,14185650,1535017,306871,4169218,3554508,873634,2796136,264429
 -> Total -> Total Female -> Total Hispanic,28485251,114126,16232,1223830,117957,7007405,629887,280542,35625,34321,2800304,501326,37017,87730,1183580,181803,100851,174354,53226,127249,20947,291714,422369,265507,134169,39563,126873,13250,85392,321752,33267,794607,440574,1887774,611731,9985,229541,219504,250626,399450,76565,145272,14717,223187,5475582,194701,2553,383285,478606,23362,134672,26789
 -> Total -> Total Female -> Total Hispanic -> Total White Only,26644384,107607,15571,1219072,111282,6677157,618320,210764,31853,25574,2691491,439789,24567,87730,1148085,168870,96380,160214,49310,118067,18631,205913,373950,232242,130285,38421,124330,12851,85392,307396,31322,711743,434039,1468548,526660,8616,216481,202540,235860,296032,57057,134497,12463,207759,5368552,186654,2290,367690,474254,21152,122272,26789
Children,6664056,32594,3961,284619,36420,1643847,167451,34845,12822,4699,522520,127280,9660,28962,306511,40206,31848,47153,12188,25957,1637,61008,100920,83585,39614,12957,28116,4287,23734,74687,9442,136343,100270,345130,127786,2393,71266,64684,70572,67161,12027,45828,3830,66214,1392981,55261,728,98217,142103,8976,29931,8825
Less Than 1st Grade,126226,0,0,7615,2719,43412,0,1175,0,154,5503,2023,0,0,1495,0,0,0,0,1030,0,0,0,0,0,0,0,0,3778,3382,0,1612,999,9929,0,0,2417,1360,3310,0,0,1582,0,0,27386,0,0,3842,1503,0,0,0
"1st,2nd,3rd,or 4th grade",471906,965,235,15787,928,185744,9314,2926,0,0,26518,10649,0,1760,12806,0,0,1754,0,3636,0,6824,12826,2805,2243,862,1520,855,1728,2843,1756,5290,4734,23584,14744,0,4241,3666,3146,3217,1725,1474,0,0,79847,2211,0,9784,4573,0,1968,418
5th Or 6th Grade,1065146,1152,257,66319,2461,369576,26371,3327,0,553,53497,27950,0,3159,47884,0,8519,2118,0,3682,0,0,6754,4432,13595,0,0,0,5932,5880,1446,19365,16470,60972,18698,0,0,6872,12785,2168,3034,2558,387,10909,212507,4131,0,14510,20051,0,4689,176
7th and 8th grade,754812,1742,0,37845,5122,200094,23296,9042,816,824,40074,30819,0,3573,33982,1432,2284,885,0,3671,0,4686,9619,0,1581,1583,0,0,1154,8677,1139,13515,11453,54772,20155,508,3194,3658,5074,6224,3460,2708,228,7774,162125,4880,0,13131,12870,0,4827,316
9th Grade,1032422,6371,446,54238,3957,235759,48504,13011,0,0,85318,16512,405,2406,40466,9692,4631,8440,6027,5499,844,11984,9931,4437,9769,974,0,0,3498,14993,729,16653,18564,37900,28752,0,6087,12319,7179,14789,3430,6338,0,11428,217737,7768,0,20419,20298,1032,2375,513
10th Grade,898264,778,0,36678,2639,214284,34598,17471,1227,192,74850,18611,0,6157,60591,5192,6319,10016,0,6428,986,11697,10990,4066,5858,0,3940,0,5214,5799,379,33315,13396,27276,17681,382,2820,5226,7312,0,0,6063,0,6405,200659,6194,0,8337,6471,0,11390,377
11th Grade,853811,4283,0,49602,2935,240997,17816,11741,3028,356,59277,4465,545,3244,47552,5408,3641,5585,0,3328,0,3896,13454,10240,1557,782,0,568,2855,9750,568,20677,18103,44224,21024,474,4635,7491,8019,13312,4093,6776,0,3002,172724,5531,0,7565,6998,821,0,869
12th Grade No Diploma,640092,1027,711,27835,0,218819,5551,1998,0,583,47097,16659,0,416,21896,1597,1245,979,1642,1840,0,0,7358,0,0,2959,1998,0,3140,10260,0,15079,11974,32312,12547,0,4342,4554,5897,7484,1742,7045,0,11482,129338,5860,0,8694,3738,0,2180,214
High school graduate-high school diploma,5524400,18020,1644,267692,23441,1386209,117390,43933,5093,2025,597308,108607,5272,19933,235937,36259,13619,31890,2816,24991,1927,39584,59058,49490,26804,4307,30894,1524,16760,66948,3950,174966,90823,301054,126357,2201,38679,35197,45370,75294,9125,21565,1788,38023,1086761,40738,344,45094,113247,2723,25536,6190
Some College But No Degree,3151444,14380,2151,174803,9323,904518,58938,35832,3930,1481,252588,24833,2384,12685,101658,13715,9925,17150,13452,12084,2597,20860,47571,27778,5342,8985,20942,2038,8374,47831,4649,92062,69452,160204,45820,1614,16118,21665,25346,38917,10430,11773,2165,23654,633389,26636,712,42466,46942,3716,11906,3660
Assc degree-occupation/vocation,666679,0,958,29934,2498,128610,7036,0,753,0,74293,5813,0,1561,44727,0,1382,7546,0,3198,523,5615,10265,6842,0,0,7597,0,0,6636,0,24280,10431,33140,11958,0,9486,3678,11460,8221,522,0,575,3544,163345,2459,0,13756,17878,0,5152,1007
Assc degree-academic program,1058403,1888,824,37686,5218,216125,18190,5743,362,0,183949,4813,2776,434,47621,14458,2805,9060,4228,3425,877,9826,18741,6544,3970,1341,5809,0,2626,11527,385,31261,16057,83893,17980,230,6403,12603,7637,7507,1864,3646,957,8990,190626,8811,0,14663,16051,1443,5309,1221
"Bachelor's degree (BA,AB,BS)",2652448,18569,2198,82600,7124,501432,61248,23077,2996,6375,460028,27973,3122,3440,117826,38802,8556,13139,5712,15476,3797,25236,34917,25657,14522,2629,19951,2173,5156,26041,6280,100038,34240,159289,44173,814,33588,12696,15627,37386,4694,10844,1310,10717,515100,10110,506,37804,39163,961,15488,1848
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",867350,3773,2186,34270,5839,156565,14292,4628,826,6382,147537,11003,403,0,24678,2109,1606,4499,3245,3822,4496,4697,23561,6366,5430,0,3563,1406,501,10138,0,25658,14055,71012,17170,0,8904,5698,6093,9701,911,4718,1223,5617,159734,3208,0,27155,16942,993,0,737
"Professional school degree (MD,DDS,DVM,L",81675,2065,0,1676,658,15983,0,0,0,1000,28396,0,0,0,0,0,0,0,0,0,947,0,6690,0,0,1042,0,0,942,0,599,0,1514,8428,0,0,0,1173,0,2379,0,0,0,0,6233,0,0,0,1679,0,0,271
"Doctorate degree (PHD,EDD)",135250,0,0,9873,0,15183,8325,2015,0,950,32738,1779,0,0,2455,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,2004,0,1629,1504,15429,1815,0,4301,0,1033,2272,0,1579,0,0,18060,2856,0,2253,3747,487,1521,147
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1512670,6519,661,4758,6675,164836,8704,53480,3198,8001,96154,61537,0,0,27970,12933,0,12997,3916,9182,977,85801,46347,28054,3884,0,2543,399,0,10375,1945,76781,4394,404567,68424,1369,13060,16964,0,90571,14832,10775,2254,15428,89160,8047,263,15595,4352,1588,12400,0
Children,372994,0,0,0,1618,33025,0,19424,1611,1714,9128,2939,0,0,8376,8371,0,0,3916,1931,977,19650,3475,13750,0,0,0,0,0,1047,602,26536,1719,111026,23411,749,5771,3877,0,31105,4729,0,1360,3098,22935,1283,0,3841,0,0,0,0
Less Than 1st Grade,5977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",11155,0,0,0,0,8160,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,34676,0,0,0,0,0,0,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,12601,4202,0,0,0,0,0,0,0,0,0,0,9368,0,0,0,0,0,0,0,2838,0,0,2944,0,0,0,0,0,0,0
7th and 8th grade,32527,0,0,0,1061,0,0,0,0,0,0,5454,0,0,3020,0,0,0,0,0,0,3781,0,4093,0,0,0,0,0,0,0,0,0,5189,5473,0,0,0,0,3254,1202,0,0,0,0,0,0,0,0,0,0,0
9th Grade,46221,0,0,2553,924,2501,0,6102,0,332,12269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,541,14080,2743,0,0,0,0,3534,0,0,438,0,0,0,0,0,0,0,0,0
10th Grade,49357,0,431,0,0,5666,4215,0,0,0,3001,3107,0,0,0,0,0,7561,0,0,0,2595,0,0,0,0,0,0,0,0,0,0,477,11392,2571,0,3636,4180,0,0,525,0,0,0,0,0,0,0,0,0,0,0
11th Grade,55840,0,0,0,0,4676,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,3243,0,0,0,0,0,0,0,0,0,4547,0,20662,4899,620,0,1668,0,3219,1868,0,0,4833,3672,0,0,0,0,817,0,0
12th Grade No Diploma,51210,3529,0,0,0,11646,0,2400,0,1134,3095,3615,0,0,0,0,0,0,0,0,0,3499,4879,0,0,0,0,0,0,0,0,0,0,11527,2278,0,0,0,0,0,0,0,0,0,3608,0,0,0,0,0,0,0
High school graduate-high school diploma,294493,0,0,0,3072,39113,0,2758,0,1238,20829,21271,0,0,0,2320,0,3805,0,0,0,13611,8251,6565,0,0,2543,195,0,1487,0,11319,0,83257,13115,0,3653,5361,0,18247,1966,1958,456,0,17346,2800,0,0,4352,771,2834,0
Some College But No Degree,217347,0,0,0,0,24187,0,8179,1587,1514,22957,9808,0,0,10434,2242,0,0,0,1719,0,3275,9737,0,3884,0,0,0,0,4014,0,5173,551,55698,3578,0,0,0,0,13783,3871,0,0,5248,18489,1010,0,3104,0,0,3305,0
Assc degree-occupation/vocation,54270,1244,0,0,0,2268,0,6579,0,0,3396,0,0,0,6140,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,1443,0,7135,0,12288,2737,0,0,0,0,2674,0,0,0,0,0,990,0,3189,0,0,2834,0
Assc degree-academic program,35225,0,0,0,0,5617,4489,0,0,0,6652,0,0,0,0,0,0,0,0,0,0,3419,1801,0,0,0,0,0,0,0,652,0,481,5671,0,0,0,0,0,0,0,0,0,2249,3194,1000,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",162514,1746,230,2205,0,22826,0,2463,0,670,5482,12416,0,0,0,0,0,0,0,3063,0,12044,9618,3646,0,0,0,0,0,0,691,17729,625,28868,7619,0,0,1878,0,9481,671,5979,0,0,5876,964,263,5461,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",63477,0,0,0,0,5151,0,2852,0,477,5643,2927,0,0,0,0,0,1631,0,0,0,8083,2139,0,0,0,0,0,0,2384,0,0,0,12393,0,0,0,0,0,5274,0,0,0,0,11096,0,0,0,0,0,3427,0
"Professional school degree (MD,DDS,DVM,L",22243,0,0,0,0,0,0,0,0,324,3702,0,0,0,0,0,0,0,0,0,0,0,2245,0,0,0,0,0,0,0,0,4342,0,11630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",3144,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,328197,0,0,0,0,165412,2863,16298,574,746,12659,0,12450,0,7525,0,4471,1143,0,0,1339,0,2072,5211,0,1142,0,0,0,3981,0,6083,2141,14659,16647,0,0,0,14766,12847,4676,0,0,0,17870,0,0,0,0,622,0,0
Children,84177,0,0,0,0,40999,2863,2747,0,0,0,0,4973,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,0,2984,0,2007,3194,0,0,0,5955,5520,2277,0,0,0,4152,0,0,0,0,0,0,0
Less Than 1st Grade,3869,0,0,0,0,2726,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
