export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
High school graduate-high school diploma,6342655,15856,3262,278815,32965,1640907,132361,50812,6790,2050,652702,128977,5179,24877,292321,45856,22404,48226,6719,24463,3964,52343,87543,56080,36185,13694,37675,2852,15357,106605,3210,189892,91728,286815,129843,2030,46476,59107,47504,90554,14404,32771,4537,36526,1216729,38729,407,66060,115561,1759,32862,7311
Some College But No Degree,2989524,8357,2760,142480,11395,927057,56553,22937,2831,1138,247516,35646,5721,9311,90003,18573,9108,10718,6304,7701,449,10933,33083,14809,12887,4831,7266,1618,9675,38136,452,85843,54692,183507,53467,487,12654,38215,22718,31135,4553,7315,1050,27254,546300,24536,432,71890,51292,1772,16627,3537
Assc degree-occupation/vocation,656435,0,189,26545,1591,144298,26488,3458,0,220,70697,9685,413,3999,39799,2299,2739,1397,1454,4835,433,7861,4376,6402,0,0,3852,0,3517,7192,1188,10791,9868,34597,12726,0,0,2368,8119,4759,0,2945,1133,3312,161826,3076,126,7830,9112,0,8349,571
Assc degree-academic program,870475,0,419,34379,0,178492,25560,5018,2367,199,148983,17261,363,1180,37758,6330,5354,4849,0,1855,667,9964,9435,5948,3637,1227,1848,225,1911,9121,0,35178,11625,51238,13083,0,3505,726,12380,12243,1792,1420,0,9516,168100,6301,186,0,22606,1399,4167,660
"Bachelor's degree (BA,AB,BS)",2159979,5156,892,85757,3638,474207,37183,24044,2988,5076,417427,25791,3086,3719,69157,8669,10784,7759,10586,10039,1660,25672,17595,13309,9077,2825,21996,1889,4501,19541,2445,83139,29258,164896,27395,466,6091,6665,16175,18680,1028,14536,705,10396,359153,14200,321,25416,37704,3414,11771,2102
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",694227,5019,769,16923,0,117627,30839,10819,1294,3088,130337,13237,0,348,26646,5537,6095,1964,0,1796,1482,17318,10427,9507,1938,601,3120,741,0,3520,0,20722,13484,57047,10256,0,5697,1027,3093,15124,1099,3317,2017,1268,101737,4653,564,13570,10977,0,7583,0
"Professional school degree (MD,DDS,DVM,L",114979,2477,0,1771,0,11716,0,0,0,972,32076,1779,0,426,2381,0,0,0,0,0,0,0,1315,3615,0,1042,0,0,2880,1947,1231,2845,1323,10731,2047,0,1712,0,0,5706,0,0,660,0,21622,623,0,2082,0,0,0,0
"Doctorate degree (PHD,EDD)",99999,1181,0,1760,1080,15259,1772,0,913,1088,19026,0,0,412,1931,0,0,921,1658,0,0,0,3023,3489,0,663,0,0,0,4071,0,1876,1033,5832,1657,0,1911,0,2011,6398,866,0,0,1883,12015,1640,141,4489,0,0,0,0
 -> Total -> Total Male -> Total Hispanic -> Total Black Only,1376032,0,955,9468,9701,154941,9166,37959,1939,6132,117061,75417,0,379,22970,8402,0,0,1925,4324,0,77978,34269,8289,4227,1823,0,657,0,14974,1343,49236,11034,365201,67819,1200,41081,0,0,53340,15423,9335,1855,29529,80973,10460,0,26541,2821,2643,2834,408
Children,388229,0,667,7095,4902,43530,0,19165,0,1003,26874,12397,0,0,2826,0,0,0,0,2971,0,8893,5593,5525,0,0,0,0,0,8985,0,11251,7274,107815,22071,318,11438,0,0,13877,3357,0,1417,18682,27551,3289,0,9463,0,0,0,0
